indication_mesh_id,indication_mesh_term,n_total,n_included,n_linked,n_A,n_B,included_A,included_B,retention_rate,linkage_rate,retention_A,retention_B
D018242,"Neuroectodermal Tumors, Primitive",3,1,1,0,3,0,1,0.3333333333333333,0.3333333333333333,,0.3333333333333333
D000755,"Anemia, Sickle Cell",3,2,2,0,3,0,2,0.6666666666666666,0.6666666666666666,,0.6666666666666666
D014565,Urogenital Neoplasms,3,2,2,0,3,0,2,0.6666666666666666,0.6666666666666666,,0.6666666666666666
D016399,"Lymphoma, T-Cell",3,0,0,0,3,0,0,0.0,0.0,,0.0
D004392,Dwarfism,3,0,0,0,3,0,0,0.0,0.0,,0.0
D016410,"Lymphoma, T-Cell, Cutaneous",3,0,0,0,3,0,0,0.0,0.0,,0.0
D005901,Glaucoma,3,3,3,0,3,0,3,1.0,1.0,,1.0
D013494,"Supranuclear Palsy, Progressive",3,3,3,0,3,0,3,1.0,1.0,,1.0
D005923,"Glomerulosclerosis, Focal Segmental",3,3,3,0,3,0,3,1.0,1.0,,1.0
D011618,Psychotic Disorders,3,3,3,1,2,1,2,1.0,1.0,1.0,1.0
D009062,Mouth Neoplasms,3,0,0,0,3,0,0,0.0,0.0,,0.0
D001778,Blood Coagulation Disorders,3,3,3,0,3,0,3,1.0,1.0,,1.0
D020521,Stroke,3,3,3,0,3,0,3,1.0,1.0,,1.0
D024821,Metabolic Syndrome,3,3,3,0,3,0,3,1.0,1.0,,1.0
D017681,Hypereosinophilic Syndrome,3,2,2,0,3,0,2,0.6666666666666666,0.6666666666666666,,0.6666666666666666
D018805,Sepsis,3,3,3,0,3,0,3,1.0,1.0,,1.0
D000347,Afibrinogenemia,3,0,0,3,0,0,0,0.0,0.0,0.0,
D058186,Acute Kidney Injury,3,3,3,0,3,0,3,1.0,1.0,,1.0
D012516,Osteosarcoma,3,0,0,0,3,0,0,0.0,0.0,,0.0
D012852,Sinusitis,3,3,3,0,3,0,3,1.0,1.0,,1.0
D009298,Nasal Polyps,3,3,3,0,3,0,3,1.0,1.0,,1.0
D009447,Neuroblastoma,3,0,0,0,3,0,0,0.0,0.0,,0.0
D008107,Liver Diseases,3,3,3,0,3,0,3,1.0,1.0,,1.0
D017719,Diabetic Foot,2,2,2,0,2,0,2,1.0,1.0,,1.0
D020178,"Sleep Disorders, Circadian Rhythm",2,1,1,1,1,1,0,0.5,0.5,1.0,0.0
D019578,Multiple System Atrophy,2,2,2,0,2,0,2,1.0,1.0,,1.0
D028227,"Amyloid Neuropathies, Familial",2,0,0,1,1,0,0,0.0,0.0,0.0,0.0
D018295,"Neoplasms, Basal Cell",2,0,0,1,1,0,0,0.0,0.0,0.0,0.0
D003117,Color Vision Defects,2,0,0,0,2,0,0,0.0,0.0,,0.0
D002836,Hemophilia B,2,0,0,2,0,0,0,0.0,0.0,0.0,
D020914,"Myopathies, Structural, Congenital",2,0,0,0,2,0,0,0.0,0.0,,0.0
D020920,Dyssomnias,2,1,1,0,2,0,1,0.5,0.5,,0.5
D004831,"Epilepsies, Myoclonic",2,0,0,0,2,0,0,0.0,0.0,,0.0
D005764,Gastroesophageal Reflux,2,2,2,1,1,1,1,1.0,1.0,1.0,1.0
D014842,von Willebrand Diseases,2,1,1,1,1,1,0,0.5,0.5,1.0,0.0
D014625,Vaginal Neoplasms,2,0,0,0,2,0,0,0.0,0.0,,0.0
D006255,"Rhinitis, Allergic, Seasonal",2,2,2,0,2,0,2,1.0,1.0,,1.0
D006689,Hodgkin Disease,2,2,2,0,2,0,2,1.0,1.0,,1.0
D006432,Hemochromatosis,2,1,1,0,2,0,1,0.5,0.5,,0.5
D006009,Glycogen Storage Disease Type II,2,0,0,1,1,0,0,0.0,0.0,0.0,0.0
D006073,Gout,2,2,2,1,1,1,1,1.0,1.0,1.0,1.0
D004393,"Dwarfism, Pituitary",2,0,0,0,2,0,0,0.0,0.0,,0.0
D005922,"Glomerulonephritis, IGA",2,2,2,0,2,0,2,1.0,1.0,,1.0
D003863,Depression,2,2,2,1,1,1,1,1.0,1.0,1.0,1.0
D003865,"Depressive Disorder, Major",2,2,2,1,1,1,1,1.0,1.0,1.0,1.0
D004700,Endocrine System Diseases,2,2,2,0,2,0,2,1.0,1.0,,1.0
D016511,Severe Combined Immunodeficiency,2,0,0,1,1,0,0,0.0,0.0,0.0,0.0
D017180,"Tachycardia, Ventricular",2,1,1,1,1,1,0,0.5,0.5,1.0,0.0
D008105,"Liver Cirrhosis, Biliary",2,1,1,1,1,0,1,0.5,0.5,0.0,1.0
D008072,Hyperlipoproteinemia Type I,2,1,1,2,0,1,0,0.5,0.5,0.5,
D012148,Restless Legs Syndrome,2,2,2,1,1,1,1,1.0,1.0,1.0,1.0
D008268,Macular Degeneration,2,0,0,0,2,0,0,0.0,0.0,,0.0
D008593,Menopause,2,2,2,1,1,1,1,1.0,1.0,1.0,1.0
D010003,Osteoarthritis,2,2,2,1,1,1,1,1.0,1.0,1.0,1.0
D009290,Narcolepsy,2,2,2,1,1,1,1,1.0,1.0,1.0,1.0
D009223,Myotonic Dystrophy,2,1,1,0,2,0,1,0.5,0.5,,0.5
D009216,Myopia,2,2,2,2,0,2,0,1.0,1.0,1.0,
D009203,Myocardial Infarction,2,2,2,1,1,1,1,1.0,1.0,1.0,1.0
D009771,Obsessive-Compulsive Disorder,2,2,2,0,2,0,2,1.0,1.0,,1.0
D057130,Leber Congenital Amaurosis,2,0,0,1,1,0,0,0.0,0.0,0.0,0.0
D057135,Wet Macular Degeneration,2,2,2,0,2,0,2,1.0,1.0,,1.0
D056693,Propionic Acidemia,2,0,0,0,2,0,0,0.0,0.0,,0.0
D000592,"Amino Acid Metabolism, Inborn Errors",2,0,0,1,1,0,0,0.0,0.0,0.0,0.0
D054179,"Angioedemas, Hereditary",2,0,0,1,1,0,0,0.0,0.0,0.0,0.0
D000437,Alcoholism,2,2,2,0,2,0,2,1.0,1.0,,1.0
D000152,Acne Vulgaris,2,0,2,0,2,0,0,0.0,1.0,,0.0
D000072861,"Phobia, Social",1,1,1,0,1,0,1,1.0,1.0,,1.0
D000073376,Epileptic Syndromes,1,0,0,0,1,0,0,0.0,0.0,,0.0
D000081207,Primary Immunodeficiency Diseases,1,0,0,1,0,0,0,0.0,0.0,0.0,
D000086382,COVID-19,1,1,1,1,0,1,0,1.0,1.0,1.0,
D000172,Acromegaly,1,0,0,0,1,0,0,0.0,0.0,,0.0
D000326,Adrenoleukodystrophy,1,0,0,1,0,0,0,0.0,0.0,0.0,
D000417,Albinism,1,1,1,0,1,0,1,1.0,1.0,,1.0
D000505,Alopecia,1,1,1,1,0,1,0,1.0,1.0,1.0,
D000746,"Anemia, Hemolytic, Congenital Nonspherocytic",1,0,0,1,0,0,0,0.0,0.0,0.0,
