ti_uid,ancestry,n_individuals,total_n,p
PTGER4-D004938,African,6597.0,893975.0,0.00737940098996057
PTGER4-D004938,East Asian,189321.0,893975.0,0.21177437847814537
PTGER4-D004938,European,692116.0,893975.0,0.7742006208227299
PTGER4-D004938,Hispanic/Latin American,5941.0,893975.0,0.006645599709164126
PTGER4-D013274,African,6597.0,1435060.0,0.004597020333644586
PTGER4-D013274,East Asian,730406.0,1435060.0,0.5089724471450671
PTGER4-D013274,European,692116.0,1435060.0,0.48229063593159865
PTGER4-D013274,Hispanic/Latin American,5941.0,1435060.0,0.004139896589689629
PTGER4-D015179,African,6597.0,1435060.0,0.004597020333644586
PTGER4-D015179,East Asian,730406.0,1435060.0,0.5089724471450671
PTGER4-D015179,European,692116.0,1435060.0,0.48229063593159865
PTGER4-D015179,Hispanic/Latin American,5941.0,1435060.0,0.004139896589689629
PTGS2-D001172,East Asian,253008.0,311292.0,0.8127674337920666
PTGS2-D001172,European,58284.0,311292.0,0.18723256620793338
PTPN1-D005901,European,1022814.0,1022814.0,1.0
PTPN1-D015179,East Asian,167691.0,730660.0,0.22950619987408644
PTPN1-D015179,European,562969.0,730660.0,0.7704938001259135
QPCT-D000544,European,467623.0,467623.0,1.0
RARG-D029424,European,743898.0,743898.0,1.0
REN-D006973,European,422000.0,422000.0,1.0
RHD-D016553,European,953315.0,953315.0,1.0
RLBP1-D012174,European,31764.0,31764.0,1.0
ROS1-D002289,East Asian,192792.0,192792.0,1.0
ROS1-D055752,East Asian,192792.0,192792.0,1.0
S1PR4-D057765,European,1494899.0,1494899.0,1.0
S1PR5-D011565,European,33394.0,33394.0,1.0
SCN1A-D004828,African,2670.0,39348.0,0.06785605367490088
SCN1A-D004828,East Asian,3365.0,39348.0,0.08551895903222527
SCN1A-D004828,European,33313.0,39348.0,0.8466249872928738
SCN2A-D001714,East Asian,6472.0,670530.0,0.00965206627593098
SCN2A-D001714,European,664058.0,670530.0,0.990347933724069
SCN3A-D001714,East Asian,6472.0,670530.0,0.00965206627593098
SCN3A-D001714,European,664058.0,670530.0,0.990347933724069
SCN5A-D001281,African,8967.0,2208467.0,0.004060282539879473
SCN5A-D001281,East Asian,196482.0,2208467.0,0.08896759607456213
SCN5A-D001281,European,1997996.0,2208467.0,0.9046981458178909
SCN5A-D001281,Hispanic/Latin American,5022.0,2208467.0,0.002273975567667527
SELE-D003920,East Asian,4525.0,4525.0,1.0
SLC10A2-D006937,European,398508.0,398508.0,1.0
SLC10A2-D006949,European,398508.0,398508.0,1.0
SLC12A1-D007676,European,437580.0,437580.0,1.0
SLC40A1-D006432,European,463399.0,463399.0,1.0
SLC5A1-D003920,African,4847.0,1192071.0,0.004066032979579236
SLC5A1-D003920,East Asian,71221.0,1192071.0,0.059745602401199256
SLC5A1-D003920,European,1109108.0,1192071.0,0.9304043131659104
SLC5A1-D003920,South Asian,6895.0,1192071.0,0.005784051453311087
SLC5A1-D003924,European,2012588.0,2012588.0,1.0
SLC6A4-D009765,European,915822.0,915822.0,1.0
SLC7A11-D001008,European,2422791.0,2422791.0,1.0
SLC7A11-D003863,European,1295946.0,1295946.0,1.0
SLC7A11-D009771,European,2422791.0,2422791.0,1.0
SLC9A3-D007676,European,437660.0,437660.0,1.0
SOD1-D007249,European,855581.0,855581.0,1.0
SRD5A2-D000505,European,52874.0,52874.0,1.0
SREBF1-D003920,East Asian,71221.0,853152.0,0.08347984884287911
SREBF1-D003920,European,781931.0,853152.0,0.9165201511571209
SREBF1-D009765,East Asian,173430.0,495584.0,0.3499507651578743
SREBF1-D009765,European,322154.0,495584.0,0.6500492348421256
STAT3-D011565,European,305801.0,305801.0,1.0
STAT6-D015179,European,92967.0,92967.0,1.0
SYK-D016553,European,1435508.0,1435508.0,1.0
TACR3-D004700,European,1550249.0,1550249.0,1.0
TBXAS1-D007249,European,436939.0,436939.0,1.0
TGFB1-D005923,East Asian,175359.0,653143.0,0.26848484941276257
TGFB1-D005923,European,477784.0,653143.0,0.7315151505872374
TGFB1-D015179,East Asian,100603.0,135849.0,0.7405501696736818
TGFB1-D015179,European,35246.0,135849.0,0.2594498303263182
TGFB2-D005901,African,757.0,457059.0,0.0016562413167665443
TGFB2-D005901,East Asian,9623.0,457059.0,0.021054174625157802
TGFB2-D005901,European,445312.0,457059.0,0.974298722921986
TGFB2-D005901,Hispanic/Latin American,1367.0,457059.0,0.0029908611360896513
THRB-D006937,African,8972.0,1853342.0,0.004840984556547038
THRB-D006937,East Asian,111667.0,1853342.0,0.06025169666472783
THRB-D006937,European,1717139.0,1853342.0,0.9265095163224056
THRB-D006937,Hispanic/Latin American,7795.0,1853342.0,0.004205915583847989
THRB-D006937,South Asian,7769.0,1853342.0,0.004191886872471459
THRB-D006938,African,8972.0,1853342.0,0.004840984556547038
THRB-D006938,East Asian,111667.0,1853342.0,0.06025169666472783
THRB-D006938,European,1717139.0,1853342.0,0.9265095163224056
THRB-D006938,Hispanic/Latin American,7795.0,1853342.0,0.004205915583847989
THRB-D006938,South Asian,7769.0,1853342.0,0.004191886872471459
TNFRSF13B-D009101,European,868479.0,868479.0,1.0
TNFRSF1A-D007249,European,855581.0,855581.0,1.0
TNFRSF1A-D008103,European,11375.0,11375.0,1.0
TNFRSF1A-D013167,East Asian,3117.0,25764.0,0.12098276665114113
TNFRSF1A-D013167,European,22647.0,25764.0,0.8790172333488588
TNFRSF1A-D015179,East Asian,100603.0,135849.0,0.7405501696736818
TNFRSF1A-D015179,European,35246.0,135849.0,0.2594498303263182
TNFRSF1A-D015535,East Asian,3117.0,25764.0,0.12098276665114113
TNFRSF1A-D015535,European,22647.0,25764.0,0.8790172333488588
TNFRSF1A-D018805,European,855581.0,855581.0,1.0
TNFSF13-D005922,East Asian,11871.0,11871.0,1.0
TNFSF15-D001249,East Asian,1881.0,305740.0,0.006152286256296199
TNFSF15-D001249,European,303859.0,305740.0,0.9938477137437038
TNFSF4-D003876,European,1656110.0,1656110.0,1.0
TP53-D003920,African,4847.0,776668.0,0.0062407618184346465
TP53-D003920,European,764926.0,776668.0,0.9848815710187622
TP53-D003920,South Asian,6895.0,776668.0,0.008877667162803153
TP53-D008545,European,411948.0,411948.0,1.0
TP53-D011471,European,140254.0,140254.0,1.0
TP53-D014565,European,140254.0,140254.0,1.0
TSHR-D006980,East Asian,747495.0,1678263.0,0.4453980097279151
TSHR-D006980,European,930768.0,1678263.0,0.5546019902720849
TSHR-D007037,East Asian,173770.0,583911.0,0.2975967227882331
TSHR-D007037,European,410141.0,583911.0,0.7024032772117669
TSLP-D003876,East Asian,113101.0,674554.0,0.16766782199794233
TSLP-D003876,European,561453.0,674554.0,0.8323321780020576
TSLP-D009298,East Asian,152006.0,1321112.0,0.11505913200394818
TSLP-D009298,European,1169106.0,1321112.0,0.8849408679960518
TSLP-D012852,East Asian,156843.0,609338.0,0.2573990133554776
TSLP-D012852,European,452495.0,609338.0,0.7426009866445225
TTK-D001943,East Asian,84874.0,554418.0,0.15308666024551873
TTK-D001943,European,457902.0,554418.0,0.8259147430278238
TTK-D001943,Other Asian,11642.0,554418.0,0.020998596726657503
TYK2-D001172,African,2308.0,1252759.0,0.0018423336012752653
TYK2-D001172,East Asian,499215.0,1252759.0,0.39849244746994433
TYK2-D001172,European,751236.0,1252759.0,0.5996652189287804
TYK2-D001249,European,371898.0,371898.0,1.0
TYK2-D001327,European,518467.0,518467.0,1.0
TYK2-D007249,European,5284.0,5284.0,1.0
TYK2-D008180,African,5422.0,119159.0,0.04550222811537526
TYK2-D008180,East Asian,13174.0,119159.0,0.11055816178383504
TYK2-D008180,European,96675.0,119159.0,0.8113109374868873
TYK2-D008180,Hispanic/Latin American,3888.0,119159.0,0.03262867261390243
TYK2-D008181,African,5422.0,119159.0,0.04550222811537526
TYK2-D008181,East Asian,13174.0,119159.0,0.11055816178383504
TYK2-D008181,European,96675.0,119159.0,0.8113109374868873
TYK2-D008181,Hispanic/Latin American,3888.0,119159.0,0.03262867261390243
TYK2-D012859,African,2308.0,1252759.0,0.0018423336012752653
TYK2-D012859,East Asian,499215.0,1252759.0,0.39849244746994433
TYK2-D012859,European,751236.0,1252759.0,0.5996652189287804
TYR-D008545,European,1431199.0,1431199.0,1.0
TYRP1-D008545,European,411948.0,411948.0,1.0
VEGFA-D008269,East Asian,5158.0,247045.0,0.020878787265477948
VEGFA-D008269,European,241658.0,247045.0,0.9781942561071869
VEGFA-D008269,South Asian,229.0,247045.0,0.0009269566273351009
VEGFA-D009216,European,542934.0,542934.0,1.0
VEGFA-D011471,African,22939.0,421625.0,0.05440616661725467
VEGFA-D011471,East Asian,29938.0,421625.0,0.07100622591165134
VEGFA-D011471,European,358079.0,421625.0,0.8492831307441446
VEGFA-D011471,Hispanic/Latin American,10669.0,421625.0,0.025304476726949302
VEGFA-D012174,East Asian,5158.0,247045.0,0.020878787265477948
VEGFA-D012174,European,241658.0,247045.0,0.9781942561071869
VEGFA-D012174,South Asian,229.0,247045.0,0.0009269566273351009
VEGFA-D014565,African,22939.0,421625.0,0.05440616661725467
VEGFA-D014565,East Asian,29938.0,421625.0,0.07100622591165134
VEGFA-D014565,European,358079.0,421625.0,0.8492831307441446
VEGFA-D014565,Hispanic/Latin American,10669.0,421625.0,0.025304476726949302
WT1-D010051,European,121885.0,121885.0,1.0
