replicate,estimator,n_valid_comparisons,mean_slope,median_slope
66,naive,104,1.0296535152542499,1.0084100809504593
66,fiqt,104,1.0452971643904136,1.0696000216981592
66,deming,104,1.0041014744563947,0.9898155041514585
67,naive,104,0.9627203866290354,1.0257208755807117
67,fiqt,104,0.9780989468108816,1.0789930914064376
67,deming,104,0.9751135413357118,0.9927379360442827
68,naive,104,1.046597581082692,1.0483433485578109
68,fiqt,104,1.0648269964439667,1.0746956674398027
68,deming,104,1.019785165278383,1.021568835160506
69,naive,104,0.8782136230570035,0.922038191198332
69,fiqt,104,0.8954667641354006,0.9276427663758993
69,deming,104,0.9360482140118527,0.9630987819301449
70,naive,104,0.9760651756328209,0.974705175030775
70,fiqt,104,0.9926725059694405,0.9909459900479005
70,deming,104,1.015849936305782,1.0007448988910606
71,naive,104,0.9611823619259602,1.0067673374189117
71,fiqt,104,0.9782563222425836,1.0264160382529761
71,deming,104,1.0025332640660307,0.9607886198240732
72,naive,104,1.0468018135762522,1.0237800900372394
72,fiqt,104,1.0664485016068328,1.0614571765544014
72,deming,104,1.0182697359319213,1.0244961972128566
73,naive,104,1.0276154395954455,0.9898934492051799
73,fiqt,104,1.0446107171875758,1.0210864755101106
73,deming,104,1.0428925000333598,1.0285195055994931
74,naive,104,1.0601026889055154,1.038047567001053
74,fiqt,104,1.0770765826185456,1.0712798631466955
74,deming,104,1.075263511110016,1.0388599918114736
75,naive,104,0.9898774227473274,0.9910674354046974
75,fiqt,104,1.0046109040498419,1.024818765744917
75,deming,104,1.0573649040297928,1.0107399915463873
76,naive,104,1.0239678558128371,1.0634145643617363
76,fiqt,104,1.041004274325566,1.0944882934790472
76,deming,104,1.0794848435985682,1.0392455680074748
77,naive,104,1.0963970030835979,1.0585294561027858
77,fiqt,104,1.1135493747418819,1.0898079826281446
77,deming,104,0.974726440444255,0.9601316976171308
78,naive,104,1.045566069146589,0.9716096242812432
78,fiqt,104,1.0635989878884045,0.9970006493651773
78,deming,104,0.9972216395983702,1.0148651632533745
79,naive,104,1.0516259653038402,1.0008819795455877
79,fiqt,104,1.0687940396014497,1.0158591935302104
79,deming,104,0.9705657502374243,0.9536461980717172
80,naive,104,0.9149288624756398,0.9763642025878592
80,fiqt,104,0.9330291939801658,0.994463635211023
80,deming,104,0.9563202658259462,0.957162826935429
81,naive,104,1.1614275926033675,1.09317099027537
81,fiqt,104,1.1817102244706634,1.11407692670458
81,deming,104,1.1008261113434255,1.055026531209627
82,naive,104,0.9613339647040783,0.9870218246127533
82,fiqt,104,0.9778995045640083,1.0176215379433189
82,deming,104,1.005847688025193,1.0232438521745526
83,naive,104,0.9409561330476343,0.96888613913285
83,fiqt,104,0.9582420416130975,0.9833953146968728
83,deming,104,0.9755072314162805,0.9682998457745581
84,naive,104,1.1109078627563698,1.088789437429919
84,fiqt,104,1.128289833973931,1.1315438176271133
84,deming,104,1.1081485201521595,1.037106355590971
85,naive,104,0.918084016972937,0.9274573683411849
85,fiqt,104,0.9341368082116583,0.9428729804449834
85,deming,104,1.000542980079141,1.00468107864147
86,naive,104,0.9751349555728429,1.0295523980794212
86,fiqt,104,0.9932394373507797,1.0478338186490648
86,deming,104,1.0348217907781014,1.021462092850932
87,naive,104,0.9866546931262206,0.9810087450475229
87,fiqt,104,1.00381907693322,0.9887574774756718
87,deming,104,0.974496286769797,0.9575034860333798
88,naive,104,1.1608907586949215,1.069041163892392
88,fiqt,104,1.179479455683008,1.0879745727288026
88,deming,104,1.0725749105311895,1.053519077779118
89,naive,104,0.9146075416357604,0.9422783600352717
89,fiqt,104,0.9293702227288065,0.9517496620080932
89,deming,104,0.9656582210861584,0.9631592434360092
90,naive,104,1.0230918186288174,0.9470846661676011
90,fiqt,104,1.0411150799938698,0.9964671889588779
90,deming,104,0.8925532221135156,0.9126454524764026
91,naive,104,0.9392781992421585,0.9790851661160677
91,fiqt,104,0.9554255952250326,1.0116435623732043
91,deming,104,0.9867346610469634,0.9945656507862671
92,naive,104,0.9463871094802786,1.0186929061090817
92,fiqt,104,0.9620862810092626,1.068119005896347
92,deming,104,1.0113881992092462,1.029437680831088
93,naive,104,1.0583530846955258,1.0110434693138577
93,fiqt,104,1.0759672490952137,1.0586637605430522
93,deming,104,1.0548593565249735,1.0498403942316927
94,naive,104,0.9573975523424222,1.0085955603949501
94,fiqt,104,0.9729778756534344,1.0248197861057418
94,deming,104,0.9941968665828942,0.9921138039967385
95,naive,104,0.9293320110576299,0.9544811510319224
95,fiqt,104,0.9455161712177651,0.9657525119601849
95,deming,104,0.9280925146070949,0.9611564216759421
96,naive,104,1.055847503529922,0.9997394614312993
96,fiqt,104,1.074138107443973,1.0226194153335242
96,deming,104,1.0315124504215558,1.0266362702049914
97,naive,104,1.001814528766896,0.969061850176421
97,fiqt,104,1.0188308536392923,0.9884169216519542
97,deming,104,0.9494010182480241,0.9975049295872793
98,naive,104,1.0003783808442757,1.021051324435338
98,fiqt,104,1.0167889054968984,1.0634544217815063
98,deming,104,1.0773188130889,1.0093126169483218
99,naive,104,1.0543036178529717,0.9875344689319921
99,fiqt,104,1.0725717723303678,1.0040701141646098
99,deming,104,0.9842720241388374,0.9901855255722415
