exposure,model_id,n,n_A,n_B,exposure_sd,observed_beta,observed_cluster_se,observed_or_per_unit,observed_or_per_sd,target_power,alpha,mde_beta_per_unit,mde_or_per_unit,mde_beta_per_sd,mde_or_per_sd,effect_or_per_sd,approximate_power
n_ancestries_initial,M1,790,157,633,1.8763564718891663,0.16158382978039876,0.053831233280624634,1.1753709851201406,1.3541701953226652,,0.05,,,,,1.5,0.9800257206844679
n_ancestries_initial,M2,790,157,633,1.8763564718891663,0.11214950847427303,0.07340178661305606,1.1186801002978561,1.2342116868679964,0.8,0.05,0.20564136035822023,1.228312603399538,0.38585649739623873,1.4708735814804248,,
n_ancestries_initial,M2,790,157,633,1.8763564718891663,0.11214950847427303,0.07340178661305606,1.1186801002978561,1.2342116868679964,,0.05,,,,,1.1,0.10640963906698442
n_ancestries_initial,M2,790,157,633,1.8763564718891663,0.11214950847427303,0.07340178661305606,1.1186801002978561,1.2342116868679964,,0.05,,,,,1.2,0.2628406669186857
n_ancestries_initial,M2,790,157,633,1.8763564718891663,0.11214950847427303,0.07340178661305606,1.1186801002978561,1.2342116868679964,,0.05,,,,,1.25,0.3671800358417444
n_ancestries_initial,M2,790,157,633,1.8763564718891663,0.11214950847427303,0.07340178661305606,1.1186801002978561,1.2342116868679964,,0.05,,,,,1.5,0.8374410705988015
n_ancestries_initial,M3,790,157,633,1.8763564718891663,0.1074401863545865,0.07435923379195655,1.1134242607908331,1.2233537822659633,0.8,0.05,0.2083237302217518,1.2316118149845756,0.39088957944967667,1.4782952702233332,,
n_ancestries_initial,M3,790,157,633,1.8763564718891663,0.1074401863545865,0.07435923379195655,1.1134242607908331,1.2233537822659633,,0.05,,,,,1.1,0.10493433887580628
n_ancestries_initial,M3,790,157,633,1.8763564718891663,0.1074401863545865,0.07435923379195655,1.1134242607908331,1.2233537822659633,,0.05,,,,,1.2,0.25734861269942266
n_ancestries_initial,M3,790,157,633,1.8763564718891663,0.1074401863545865,0.07435923379195655,1.1134242607908331,1.2233537822659633,,0.05,,,,,1.25,0.359366972359883
n_ancestries_initial,M3,790,157,633,1.8763564718891663,0.1074401863545865,0.07435923379195655,1.1134242607908331,1.2233537822659633,,0.05,,,,,1.5,0.8279484664391342
n_ancestries_initial,M4,790,157,633,1.8763564718891663,0.05745984183174933,0.08428785817948221,1.0591427365684758,1.1138418283429476,0.8,0.05,0.23613961754203963,1.2663511026532381,0.44308209964443857,1.5575001993054496,,
n_ancestries_initial,M4,790,157,633,1.8763564718891663,0.05745984183174933,0.08428785817948221,1.0591427365684758,1.1138418283429476,,0.05,,,,,1.1,0.09253386140486985
n_ancestries_initial,M4,790,157,633,1.8763564718891663,0.05745984183174933,0.08428785817948221,1.0591427365684758,1.1138418283429476,,0.05,,,,,1.2,0.21071551370896757
n_ancestries_initial,M4,790,157,633,1.8763564718891663,0.05745984183174933,0.08428785817948221,1.0591427365684758,1.1138418283429476,,0.05,,,,,1.25,0.29186402735597494
n_ancestries_initial,M4,790,157,633,1.8763564718891663,0.05745984183174933,0.08428785817948221,1.0591427365684758,1.1138418283429476,,0.05,,,,,1.5,0.7270050672348058
n_ancestries_replication,M1,790,157,633,1.5111363517004532,0.04996243015850785,0.06882234166011575,1.0512316010294895,1.0784232756343552,0.8,0.05,0.19281165507090062,1.2126543747068061,0.29136470100916695,1.3382525570205566,,
n_ancestries_replication,M1,790,157,633,1.5111363517004532,0.04996243015850785,0.06882234166011575,1.0512316010294895,1.0784232756343552,,0.05,,,,,1.1,0.15036503493877373
n_ancestries_replication,M1,790,157,633,1.5111363517004532,0.04996243015850785,0.06882234166011575,1.0512316010294895,1.0784232756343552,,0.05,,,,,1.2,0.41815764138276945
n_ancestries_replication,M1,790,157,633,1.5111363517004532,0.04996243015850785,0.06882234166011575,1.0512316010294895,1.0784232756343552,,0.05,,,,,1.25,0.5736598691466479
n_ancestries_replication,M1,790,157,633,1.5111363517004532,0.04996243015850785,0.06882234166011575,1.0512316010294895,1.0784232756343552,,0.05,,,,,1.5,0.9737335691726831
n_ancestries_replication,M2,790,157,633,1.5111363517004532,-0.1439175657982555,0.09097872390081252,0.8659591297666233,0.8045444476192699,0.8,0.05,0.25488464804329736,1.2903127721850314,0.38516545714860245,1.4698574997535556,,
n_ancestries_replication,M2,790,157,633,1.5111363517004532,-0.1439175657982555,0.09097872390081252,0.8659591297666233,0.8045444476192699,,0.05,,,,,1.1,0.10661683189982418
n_ancestries_replication,M2,790,157,633,1.5111363517004532,-0.1439175657982555,0.09097872390081252,0.8659591297666233,0.8045444476192699,,0.05,,,,,1.2,0.26361087228592517
n_ancestries_replication,M2,790,157,633,1.5111363517004532,-0.1439175657982555,0.09097872390081252,0.8659591297666233,0.8045444476192699,,0.05,,,,,1.25,0.36827328026536243
n_ancestries_replication,M2,790,157,633,1.5111363517004532,-0.1439175657982555,0.09097872390081252,0.8659591297666233,0.8045444476192699,,0.05,,,,,1.5,0.8387361966077778
n_ancestries_replication,M3,790,157,633,1.5111363517004532,-0.14367805486605822,0.11648090403240624,0.8661665612851049,0.8048356920513264,0.8,0.05,0.3263311789296246,1.3858742652359424,0.4931309071738207,1.6374348593294275,,
n_ancestries_replication,M3,790,157,633,1.5111363517004532,-0.14367805486605822,0.11648090403240624,0.8661665612851049,0.8048356920513264,,0.05,,,,,1.1,0.08420891309694856
n_ancestries_replication,M3,790,157,633,1.5111363517004532,-0.14367805486605822,0.11648090403240624,0.8661665612851049,0.8048356920513264,,0.05,,,,,1.2,0.1790715375883789
n_ancestries_replication,M3,790,157,633,1.5111363517004532,-0.14367805486605822,0.11648090403240624,0.8661665612851049,0.8048356920513264,,0.05,,,,,1.25,0.24501842214526526
n_ancestries_replication,M3,790,157,633,1.5111363517004532,-0.14367805486605822,0.11648090403240624,0.8661665612851049,0.8048356920513264,,0.05,,,,,1.5,0.6344261709803252
n_ancestries_replication,M4,790,157,633,1.5111363517004532,0.01728769676869943,0.13147834196999642,1.0174379938460782,1.0264682914402623,0.8,0.05,0.36834777936514385,1.4453446126082308,0.5566237194668069,1.7447717057875645,,
n_ancestries_replication,M4,790,157,633,1.5111363517004532,0.01728769676869943,0.13147834196999642,1.0174379938460782,1.0264682914402623,,0.05,,,,,1.1,0.07675333044512056
n_ancestries_replication,M4,790,157,633,1.5111363517004532,0.01728769676869943,0.13147834196999642,1.0174379938460782,1.0264682914402623,,0.05,,,,,1.2,0.1506380077599051
n_ancestries_replication,M4,790,157,633,1.5111363517004532,0.01728769676869943,0.13147834196999642,1.0174379938460782,1.0264682914402623,,0.05,,,,,1.25,0.20236469266178125
n_ancestries_replication,M4,790,157,633,1.5111363517004532,0.01728769676869943,0.13147834196999642,1.0174379938460782,1.0264682914402623,,0.05,,,,,1.5,0.5322363643651419
has_replication,M1,790,157,633,0.4996750159139572,0.33895777642840896,0.21273012138286013,1.4034840838509304,1.1845568428114814,0.8,0.05,0.5959815635135984,1.81481142366827,0.2977970972330824,1.3468884727544428,,
has_replication,M1,790,157,633,0.4996750159139572,0.33895777642840896,0.21273012138286013,1.4034840838509304,1.1845568428114814,,0.05,,,,,1.1,0.14596059359330127
has_replication,M1,790,157,633,0.4996750159139572,0.33895777642840896,0.21273012138286013,1.4034840838509304,1.1845568428114814,,0.05,,,,,1.2,0.4034485645017061
has_replication,M1,790,157,633,0.4996750159139572,0.33895777642840896,0.21273012138286013,1.4034840838509304,1.1845568428114814,,0.05,,,,,1.25,0.5554193379599293
has_replication,M1,790,157,633,0.4996750159139572,0.33895777642840896,0.21273012138286013,1.4034840838509304,1.1845568428114814,,0.05,,,,,1.5,0.9681682738894029
has_replication,M2,790,157,633,0.4996750159139572,0.0427567664991917,0.2529142095133605,1.0436840050603247,1.021594342644871,0.8,0.05,0.7085607108233571,2.031065862793098,0.3540500844566658,1.4248265463562804,,
has_replication,M2,790,157,633,0.4996750159139572,0.0427567664991917,0.2529142095133605,1.0436840050603247,1.021594342644871,,0.05,,,,,1.1,0.11727384346330127
has_replication,M2,790,157,633,0.4996750159139572,0.0427567664991917,0.2529142095133605,1.0436840050603247,1.021594342644871,,0.05,,,,,1.2,0.30282090548708607
has_replication,M2,790,157,633,0.4996750159139572,0.0427567664991917,0.2529142095133605,1.0436840050603247,1.021594342644871,,0.05,,,,,1.25,0.42309242185521156
has_replication,M2,790,157,633,0.4996750159139572,0.0427567664991917,0.2529142095133605,1.0436840050603247,1.021594342644871,,0.05,,,,,1.5,0.8940699676428137
has_replication,M3,790,157,633,0.4996750159139572,0.1808180347057594,0.3248522161998165,1.198197129161857,1.094557590152129,0.8,0.05,0.9101011669766441,2.4845738774981756,0.45475481509236565,1.5757869764811194,,
has_replication,M3,790,157,633,0.4996750159139572,0.1808180347057594,0.3248522161998165,1.198197129161857,1.094557590152129,,0.05,,,,,1.1,0.09033915793169212
has_replication,M3,790,157,633,0.4996750159139572,0.1808180347057594,0.3248522161998165,1.198197129161857,1.094557590152129,,0.05,,,,,1.2,0.20239203891406699
has_replication,M3,790,157,633,0.4996750159139572,0.1808180347057594,0.3248522161998165,1.198197129161857,1.094557590152129,,0.05,,,,,1.25,0.27961523934624655
