exposure,model_id,contrast,n,n_A,n_B,exposure_sd,low_value,high_value,predicted_approval_low,predicted_approval_high,approval_probability_difference,difference_standard_error,difference_ci_low,difference_ci_high
n_ancestries_initial,M4,one_sd_from_mean,790,157,633,1.8763564718891663,2.2759493670886077,4.1523058389777745,0.19627719704962696,0.21259337057181094,0.01631617352218398,0.0244386576058374,-0.03158271521576319,0.06421506226013116
n_ancestries_replication,M1,p10_to_p90,790,157,633,1.5111363517004532,0.0,4.0,0.19013554763992063,0.22282480888341277,0.03268926124349214,0.046211917925314316,-0.05788443354664485,0.12326295603362913
n_ancestries_replication,M1,observed_min_to_max,790,157,633,1.5111363517004532,0.0,7.0,0.19013554763992063,0.24985371016913177,0.05971816252921114,0.08773905080232607,-0.11224721708107807,0.23168354213950035
n_ancestries_replication,M1,one_sd_from_mean,790,157,633,1.5111363517004532,1.0645569620253164,2.5756933137257696,0.19846087445264998,0.21074480432328713,0.012283929870637145,0.01727790370583391,-0.02158013912114845,0.04614799886242274
n_ancestries_replication,M2,p10_to_p90,790,157,633,1.5111363517004532,0.0,4.0,0.22694422714426,0.14409152615835727,-0.08285270098590272,0.048270763488430866,-0.17746165892947824,0.011756256957672795
n_ancestries_replication,M2,observed_min_to_max,790,157,633,1.5111363517004532,0.0,7.0,0.22694422714426,0.09955473728704237,-0.12738948985721762,0.06423118321389272,-0.25328029564084104,-0.0014986840735942142
n_ancestries_replication,M2,one_sd_from_mean,790,157,633,1.5111363517004532,1.0645569620253164,2.5756933137257696,0.20211052167237703,0.1703525662962806,-0.031757955376096436,0.018767428838800067,-0.06854143998256293,0.005025529230370064
n_ancestries_replication,M3,p10_to_p90,790,157,633,1.5111363517004532,0.0,4.0,0.22689271262616287,0.14416678095204088,-0.08272593167412198,0.061396120395927185,-0.20306011644062433,0.03760825309238035
n_ancestries_replication,M3,observed_min_to_max,790,157,633,1.5111363517004532,0.0,7.0,0.22689271262616287,0.0996715558796196,-0.12722115674654327,0.08158604780741846,-0.2871268720900465,0.032684558596959956
n_ancestries_replication,M3,one_sd_from_mean,790,157,633,1.5111363517004532,1.0645569620253164,2.5756933137257696,0.20210162525923023,0.17039296212829713,-0.031708663130933096,0.023872173009610257,-0.07849726246247835,0.015079936200612161
n_ancestries_replication,M4,p10_to_p90,790,157,633,1.5111363517004532,0.0,4.0,0.19592289853776815,0.2061893605366696,0.010266461998901466,0.07869826725021259,-0.14397930745722323,0.16451223145502616
n_ancestries_replication,M4,observed_min_to_max,790,157,633,1.5111363517004532,0.0,7.0,0.19592289853776815,0.2141281400523391,0.018205241514570952,0.1413501988357373,-0.25883605741104965,0.2952465404401915
n_ancestries_replication,M4,one_sd_from_mean,790,157,633,1.5111363517004532,1.0645569620253164,2.5756933137257696,0.19861956570121944,0.20249189160999628,0.0038723259087768414,0.029637136099736526,-0.05421539345161864,0.06196004526917232
has_replication,M1,absent_to_present,790,157,633,0.4996750159139572,0.0,1.0,0.17066666666666672,0.2240963855421687,0.05342971887550199,0.03379339394526202,-0.012804116172585492,0.11966355392358947
has_replication,M2,absent_to_present,790,157,633,0.4996750159139572,0.0,1.0,0.19493336738593597,0.20163542797778297,0.006702060591846998,0.03970441103407637,-0.0711171550623174,0.0845212762460114
has_replication,M3,absent_to_present,790,157,633,0.4996750159139572,0.0,1.0,0.18328400781591792,0.21153205490128896,0.028248047085371042,0.05102056061244976,-0.07175041418607332,0.1282465083568154
has_replication,M4,absent_to_present,790,157,633,0.4996750159139572,0.0,1.0,0.16748736439686146,0.2278175467515739,0.060330182354712436,0.04819040740797248,-0.03412128056522584,0.15478164527465071
has_african,M1,absent_to_present,790,157,633,0.4574339303603788,0.0,1.0,0.16936936936936925,0.2680851063829786,0.09871573701360936,0.043018333689387095,0.014401352307484586,0.18303012171973415
has_african,M2,absent_to_present,790,157,633,0.4574339303603788,0.0,1.0,0.17976569764566389,0.23826300594032956,0.05849730829466568,0.049512487810964276,-0.03854538459980272,0.15554000118913408
has_african,M3,absent_to_present,790,157,633,0.4574339303603788,0.0,1.0,0.18045091771945862,0.23654074898704777,0.05608983126758915,0.05016725160136921,-0.04223617507445385,0.15441583760963215
has_african,M4,absent_to_present,790,157,633,0.4574339303603788,0.0,1.0,0.18230972668632156,0.23176165294834422,0.04945192626202266,0.05008099426759864,-0.04870501881242757,0.14760887133647288
has_east_asian,M1,absent_to_present,790,157,633,0.500316756446089,0.0,1.0,0.17468354430379746,0.22278481012658224,0.04810126582278479,0.0354770386951113,-0.021432452297767232,0.11763498394333681
has_east_asian,M2,absent_to_present,790,157,633,0.500316756446089,0.0,1.0,0.19933817445615742,0.19822660953614155,-0.0011115649200158784,0.04031673346877235,-0.08013091049311029,0.07790778065307853
has_east_asian,M3,absent_to_present,790,157,633,0.500316756446089,0.0,1.0,0.19839862618435433,0.1990178935254713,0.0006192673411169747,0.04002362289064115,-0.07782559205535257,0.07906412673758652
has_east_asian,M4,absent_to_present,790,157,633,0.500316756446089,0.0,1.0,0.19085158158237864,0.20581430935038503,0.01496272776800639,0.04262567676180596,-0.06858206350177921,0.098507519037792
has_south_asian,M1,absent_to_present,790,157,633,0.424544182519218,0.0,1.0,0.1788079470198677,0.2634408602150539,0.0846329131951862,0.043563286116929216,-0.0007495586422087974,0.1700153850325812
has_south_asian,M2,absent_to_present,790,157,633,0.424544182519218,0.0,1.0,0.1887972205133199,0.22664637129786253,0.03784915078454262,0.0391569998875183,-0.03889715873763219,0.11459546030671744
has_south_asian,M3,absent_to_present,790,157,633,0.424544182519218,0.0,1.0,0.1886022583175287,0.22724928850317974,0.03864703018565105,0.03938843959693948,-0.0385528928315817,0.1158469532028838
has_south_asian,M4,absent_to_present,790,157,633,0.424544182519218,0.0,1.0,0.19520966344133578,0.2080640885625289,0.012854425121193114,0.045444512655416554,-0.07621518297839802,0.10192403322078425
