margin_or_per_sd,lower_or_bound,upper_or_bound,beta_per_sd,se_per_sd,or_per_sd,ci90_or_low,ci90_or_high,p_lower,p_upper,p_tost,passes_alpha_0_05,exposure,model_id,n,n_A,n_B,exposure_sd,margin_role,formal_claim_allowed
1.2,0.8333333333333334,1.2,0.07550004443181625,0.10399994229174943,1.0784232756343552,0.9088596130241053,1.2796220062636745,0.0065865452659378265,0.15217951012235992,0.15217951012235992,False,n_ancestries_replication,M1,790,157,633,1.5111363517004532,descriptive_reference,False
1.25,0.8,1.25,0.07550004443181625,0.10399994229174943,1.0784232756343552,0.9088596130241053,1.2796220062636745,0.002042161648374341,0.077854816306417,0.077854816306417,False,n_ancestries_replication,M1,790,157,633,1.5111363517004532,descriptive_reference,False
1.2,0.8333333333333334,1.2,-0.2174790653259857,0.13748125691783666,0.8045444476192699,0.6417120414983126,1.0086950631059621,0.6009187256291659,0.0018185248133963303,0.6009187256291659,False,n_ancestries_replication,M2,790,157,633,1.5111363517004532,descriptive_reference,False
1.25,0.8,1.25,-0.2174790653259857,0.13748125691783666,0.8045444476192699,0.6417120414983126,1.0086950631059621,0.48356747822024204,0.0006753945240691234,0.48356747822024204,False,n_ancestries_replication,M2,790,157,633,1.5111363517004532,descriptive_reference,False
1.2,0.8333333333333334,1.2,-0.21711713164971277,0.17601852836230097,0.8048356920513264,0.6025155249261003,1.0750934447360285,0.5783527967205251,0.011625071541875377,0.5783527967205251,False,n_ancestries_replication,M3,790,157,633,1.5111363517004532,descriptive_reference,False
1.25,0.8,1.25,-0.21711713164971277,0.17601852836230097,0.8048356920513264,0.6025155249261003,1.0750934447360285,0.48634391499017193,0.0061883511630338945,0.48634391499017193,False,n_ancestries_replication,M3,790,157,633,1.5111363517004532,descriptive_reference,False
1.2,0.8333333333333334,1.2,0.02612406702435617,0.19868170201216495,1.0264682914402623,0.7403159302383553,1.4232263690355247,0.14705603018565694,0.21588410270541547,0.21588410270541547,False,n_ancestries_replication,M4,790,157,633,1.5111363517004532,descriptive_reference,False
1.25,0.8,1.25,0.02612406702435617,0.19868170201216495,1.0264682914402623,0.7403159302383553,1.4232263690355247,0.10481058043964431,0.16068810590611038,0.16068810590611038,False,n_ancestries_replication,M4,790,157,633,1.5111363517004532,descriptive_reference,False
1.2,0.8333333333333334,1.2,0.16936873233102478,0.10629592678735868,1.1845568428114814,0.994542438520528,1.4108748500856882,0.0004688249906256159,0.45150642704443594,0.45150642704443594,False,has_replication,M1,790,157,633,0.4996750159139572,descriptive_reference,False
1.25,0.8,1.25,0.16936873233102478,0.10629592678735868,1.1845568428114814,0.994542438520528,1.4108748500856882,0.00011097030785534034,0.3064643850812257,0.3064643850812257,False,has_replication,M1,790,157,633,0.4996750159139572,descriptive_reference,False
1.2,0.8333333333333334,1.2,0.021364487980912967,0.12637491166345433,1.021594342644871,0.8298554551124356,1.25763468143088,0.05350707301400093,0.10139421524004227,0.10139421524004227,False,has_replication,M2,790,157,633,0.4996750159139572,descriptive_reference,False
1.25,0.8,1.25,0.021364487980912967,0.12637491166345433,1.021594342644871,0.8298554551124356,1.25763468143088,0.02650846087075276,0.055169613903918335,0.055169613903918335,False,has_replication,M2,790,157,633,0.4996750159139572,descriptive_reference,False
1.2,0.8333333333333334,1.2,0.0903502543691308,0.16232053629932758,1.094557590152129,0.8380787002824605,1.4295272242998789,0.04649465586948187,0.2854919689934579,0.2854919689934579,False,has_replication,M3,790,157,633,0.4996750159139572,descriptive_reference,False
1.25,0.8,1.25,0.0903502543691308,0.16232053629932758,1.094557590152129,0.8380787002824605,1.4295272242998789,0.026721400293349795,0.20665203851436958,0.20665203851436958,False,has_replication,M3,790,157,633,0.4996750159139572,descriptive_reference,False
1.2,0.8333333333333334,1.2,0.2063697024305556,0.16393729662545997,1.229207561024656,0.9386776452409044,1.6096593284613796,0.008870611521564098,0.5583120859671347,0.5583120859671347,False,has_replication,M4,790,157,633,0.4996750159139572,descriptive_reference,False
1.25,0.8,1.25,0.2063697024305556,0.16393729662545997,1.229207561024656,0.9386776452409044,1.6096593284613796,0.00439668207626609,0.45925186167378323,0.45925186167378323,False,has_replication,M4,790,157,633,0.4996750159139572,descriptive_reference,False
1.2,0.8333333333333334,1.2,0.2679389561017753,0.11313329675347031,1.3072673368849486,1.0852943522632883,1.5746399919269836,3.447045896121104e-05,0.7754101758126225,0.7754101758126225,False,has_african,M1,790,157,633,0.4574339303603788,descriptive_reference,False
1.25,0.8,1.25,0.2679389561017753,0.11313329675347031,1.3072673368849486,1.0852943522632883,1.5746399919269836,7.100103343038455e-06,0.653929942540212,0.653929942540212,False,has_african,M1,790,157,633,0.4574339303603788,descriptive_reference,False
1.2,0.8333333333333334,1.2,0.16394597355480317,0.13529662316249105,1.1781506620810862,0.9430865983273313,1.4718043762088684,0.005243837911724336,0.44598297059382613,0.44598297059382613,False,has_african,M2,790,157,633,0.4574339303603788,descriptive_reference,False
1.25,0.8,1.25,0.16394597355480317,0.13529662316249105,1.1781506620810862,0.9430865983273313,1.4718043762088684,0.002111245528052419,0.33086017288153224,0.33086017288153224,False,has_african,M2,790,157,633,0.4574339303603788,descriptive_reference,False
1.2,0.8333333333333334,1.2,0.15757418108252905,0.13752477970726953,1.1706675961503434,0.9336683853389389,1.4678258814331815,0.006726933643365518,0.42859650558593787,0.42859650558593787,False,has_african,M3,790,157,633,0.4574339303603788,descriptive_reference,False
1.25,0.8,1.25,0.15757418108252905,0.13752477970726953,1.1706675961503434,0.9336683853389389,1.4678258814331815,0.002816982312309757,0.3167586027622249,0.3167586027622249,False,has_african,M3,790,157,633,0.4574339303603788,descriptive_reference,False
1.2,0.8333333333333334,1.2,0.14885685169497248,0.14783633403018293,1.1605068527293505,0.9099985448578902,1.4799761635246367,0.012539968805178492,0.41045947506960273,0.41045947506960273,False,has_african,M4,790,157,633,0.4574339303603788,descriptive_reference,False
1.25,0.8,1.25,0.14885685169497248,0.14783633403018293,1.1605068527293505,0.9099985448578902,1.4799761635246367,0.0059297280929870855,0.30766044317400654,0.30766044317400654,False,has_african,M4,790,157,633,0.4574339303603788,descriptive_reference,False
1.2,0.8333333333333334,1.2,0.1517360377073528,0.1137325620511899,1.1638529825805946,0.9652796957482855,1.403275932383199,0.001655843573742155,0.3939937334829666,0.3939937334829666,False,has_east_asian,M1,790,157,633,0.500316756446089,descriptive_reference,False
1.25,0.8,1.25,0.1517360377073528,0.1137325620511899,1.1638529825805946,0.9652796957482855,1.403275932383199,0.0004900982535128717,0.26504959327993916,0.26504959327993916,False,has_east_asian,M1,790,157,633,0.500316756446089,descriptive_reference,False
1.2,0.8333333333333334,1.2,-0.0035458172892924964,0.1285632550151191,0.99646046169726,0.8065305087165071,1.2311170389648949,0.08217847932962896,0.07412688855383548,0.08217847932962896,False,has_east_asian,M2,790,157,633,0.500316756446089,descriptive_reference,False
1.25,0.8,1.25,-0.0035458172892924964,0.1285632550151191,0.99646046169726,0.8065305087165071,1.2311170389648949,0.043809732766916576,0.03892902993182821,0.043809732766916576,True,has_east_asian,M2,790,157,633,0.500316756446089,descriptive_reference,False
1.2,0.8333333333333334,1.2,0.0019772998806343255,0.12781711910294535,1.001979256027127,0.8119933308749855,1.2364170878433542,0.07466600761055597,0.07912887972641952,0.07912887972641952,False,has_east_asian,M3,790,157,633,0.500316756446089,descriptive_reference,False
1.25,0.8,1.25,0.0019772998806343255,0.12781711910294535,1.001979256027127,0.8119933308749855,1.2364170878433542,0.039096096945098524,0.04178534792613552,0.04178534792613552,True,has_east_asian,M3,790,157,633,0.500316756446089,descriptive_reference,False
