exposure,model_id,exposure_value,predicted_approval_probability,probability_standard_error,probability_ci_low,probability_ci_high
n_ancestries_replication,M1,7.0,0.24985371016913177,0.07895069475583373,0.09511319189328235,0.40459422844498116
n_ancestries_replication,M2,0.0,0.22694422714426,0.027957696527744828,0.17214814885917962,0.28174030542934037
n_ancestries_replication,M2,1.0,0.20355841121963153,0.019828363316987205,0.16469553324596145,0.2424212891933016
n_ancestries_replication,M2,2.0,0.1819707266923841,0.020597135229798915,0.1416010834572771,0.2223403699274911
n_ancestries_replication,M2,3.0,0.16216323712890496,0.026555992370520035,0.11011444850896523,0.21421202574884468
n_ancestries_replication,M2,4.0,0.14409152615835727,0.03318468209518355,0.07905074441338633,0.2091323079033282
n_ancestries_replication,M2,5.0,0.12768973589954508,0.03890752986947886,0.05143237862795012,0.20394709317114001
n_ancestries_replication,M2,6.0,0.11287552661332971,0.043338254691416514,0.027934108265329313,0.19781694496133012
n_ancestries_replication,M2,7.0,0.09955473728704237,0.04645531024230828,0.008504002321483448,0.19060547225260127
n_ancestries_replication,M3,0.0,0.22689271262616287,0.031301241937320604,0.16554340575763973,0.288242019494686
n_ancestries_replication,M3,1.0,0.20354711661536953,0.01990505031762904,0.16453393488235904,0.24256029834838003
n_ancestries_replication,M3,2.0,0.1819938809504057,0.02215879160913706,0.1385634474555687,0.2254243144452427
n_ancestries_replication,M3,3.0,0.16221515732682226,0.03143175850327862,0.10061004268963558,0.22382027196400894
n_ancestries_replication,M3,4.0,0.14416678095204088,0.04083561725244734,0.06413044185078162,0.22420312005330015
n_ancestries_replication,M3,5.0,0.12778326941838017,0.04867901129631533,0.03237416047458368,0.22319237836217665
n_ancestries_replication,M3,6.0,0.11298274408852395,0.05467206002936408,0.005827475470358501,0.2201380127066894
n_ancestries_replication,M3,7.0,0.0996715558796196,0.05887898345984439,0.0,0.21507224290724414
n_ancestries_replication,M4,0.0,0.19592289853776815,0.029001330468061148,0.13908133531662414,0.25276446175891215
n_ancestries_replication,M4,1.0,0.19845529722437297,0.01890659410549301,0.16139905370728938,0.23551154074145655
n_ancestries_replication,M4,2.0,0.20101052115677742,0.02487551872155282,0.15225540036578206,0.2497656419477728
n_ancestries_replication,M4,3.0,0.20358855062473577,0.04081270909646673,0.12359711068415072,0.2835799905653208
n_ancestries_replication,M4,4.0,0.2061893605366696,0.059492437584648276,0.08958632551826191,0.3227923955550773
n_ancestries_replication,M4,5.0,0.20881292035951915,0.07925677301190825,0.053472499725312816,0.3641533409937255
n_ancestries_replication,M4,6.0,0.21145919406071453,0.09967403801905036,0.016101669349699754,0.4068167187717293
n_ancestries_replication,M4,7.0,0.2141281400523391,0.12059051951275924,0.0,0.4504812151743218
has_replication,M1,0.0,0.17066666666666672,0.023020078923836187,0.1255481410546782,0.21578519227865522
has_replication,M1,1.0,0.2240963855421687,0.02833703155838973,0.1685568242589499,0.2796359468253875
has_replication,M2,0.0,0.19493336738593597,0.027129689839903742,0.14176015238798242,0.24810658238388952
has_replication,M2,1.0,0.20163542797778297,0.028391152300569336,0.14598979198907558,0.25728106396649036
has_replication,M3,0.0,0.18328400781591792,0.02966729721036758,0.12513717376495184,0.241430841866884
has_replication,M3,1.0,0.21153205490128896,0.034186444175021376,0.14452785555875794,0.27853625424382
has_replication,M4,0.0,0.16748736439686146,0.026684697389896476,0.11518631857431438,0.21978841021940854
has_replication,M4,1.0,0.2278175467515739,0.033733070870722776,0.16170194275702005,0.29393315074612775
has_african,M1,0.0,0.16936936936936925,0.02328075702762465,0.12373992406239717,0.21499881467634133
has_african,M1,1.0,0.2680851063829786,0.03645031155354121,0.1966438085127736,0.3395264042531836
has_african,M2,0.0,0.17976569764566389,0.026035448490564977,0.12873715628280882,0.23079423900851895
has_african,M2,1.0,0.23826300594032956,0.038029882192403046,0.16372580650691843,0.3128002053737407
has_african,M3,0.0,0.18045091771945862,0.02630666214193702,0.12889080736779873,0.2320110280711185
has_african,M3,1.0,0.23654074898704777,0.038183150371456295,0.16170314944271624,0.3113783485313793
has_african,M4,0.0,0.18230972668632156,0.02539423178125063,0.1325379469800079,0.23208150639263522
has_african,M4,1.0,0.23176165294834422,0.037882139900085904,0.15751402308686807,0.30600928280982037
has_east_asian,M1,0.0,0.17468354430379746,0.02699533743172057,0.12177365518711913,0.22759343342047578
has_east_asian,M1,1.0,0.22278481012658224,0.02622914184109801,0.17137663677263754,0.27419298348052695
has_east_asian,M2,0.0,0.19933817445615742,0.03183504230214554,0.13694263809764307,0.2617337108146718
has_east_asian,M2,1.0,0.19822660953614155,0.024573493924825964,0.15006344646916883,0.24638977260311426
has_east_asian,M3,0.0,0.19839862618435433,0.03150961841034714,0.1366409089334737,0.26015634343523497
has_east_asian,M3,1.0,0.1990178935254713,0.0246591402043608,0.15068686683520047,0.24734892021574215
has_east_asian,M4,0.0,0.19085158158237864,0.030258178147280088,0.13154664217591278,0.2501565209888445
has_east_asian,M4,1.0,0.20581430935038503,0.026497332009437526,0.15388049292548714,0.25774812577528294
has_south_asian,M1,0.0,0.1788079470198677,0.02114516739466897,0.13736418047924587,0.22025171356048956
has_south_asian,M1,1.0,0.2634408602150539,0.04059118503974891,0.183883599447345,0.34299812098276283
has_south_asian,M2,0.0,0.1887972205133199,0.02206016859687156,0.14556008457057015,0.23203435645606965
has_south_asian,M2,1.0,0.22664637129786253,0.03530621269794085,0.15744746597938775,0.2958452766163373
has_south_asian,M3,0.0,0.1886022583175287,0.022065699738830595,0.14535428153574587,0.23185023509931152
has_south_asian,M3,1.0,0.22724928850317974,0.035420750673634226,0.1578258928774838,0.2966726841288757
has_south_asian,M4,0.0,0.19520966344133578,0.022710045150334045,0.15069879285940252,0.23972053402326904
has_south_asian,M4,1.0,0.2080640885625289,0.0375371047544707,0.13449271515985908,0.28163546196519873
