comparison_uid,gene_trait_uid,gene,candidate_source,candidate_trait_key,candidate_trait_name,comparison_population,unit_analysis_role,mixed_pool,primary_approval_eligible,maf_threshold,gws_p_threshold,min_portability_variants_pre_ld,min_coloc_variants,n_raw_eur_variants,n_raw_comparison_variants,n_raw_shared_rows,n_duplicate_key_rows_excluded,n_harmonized_exact,n_harmonized_swapped,n_harmonized_primary,n_harmonized_sensitivity,n_valid_biallelic_snp,n_valid_beta_se,n_valid_p,n_valid_af,n_maf_pass,n_quality_pass,n_qc_qualified,n_qc_qualified_sensitivity,n_eur_gws_qc,n_comparison_gws_qc,n_eur_gws_qc_sensitivity,n_comparison_gws_qc_sensitivity,sample_metadata_usable,gbmi_swapped_sensitivity_only,n_eur_strand_flip_flagged,n_comparison_strand_flip_flagged,n_eur_diff_af_gnomad_flagged,n_comparison_diff_af_gnomad_flagged,eur_trait_type,eur_coloc_type,eur_n_cases_median,eur_n_controls_median,eur_n_total_median,eur_case_fraction_median,eur_usable,comparison_trait_type,comparison_coloc_type,comparison_n_cases_median,comparison_n_controls_median,comparison_n_total_median,comparison_case_fraction_median,comparison_usable,portability_pre_ld_eligible,portability_failure_reason,coloc_input_eligible,coloc_failure_reason,coloc_powered_both_ancestries,harmonized_parquet,harmonized_sidecar,cache_action,eur_n_cases,eur_n_controls,eur_n_total,eur_case_fraction,comparison_n_cases,comparison_n_controls,comparison_n_total,comparison_case_fraction,is_primary_mapping,is_nonmixed,primary_mechanistic_universe,portability_primary_locked,portability_sensitivity_locked,coloc_primary_locked,coloc_powered_primary_locked,coloc_sensitivity_locked,coloc_powered_sensitivity_locked,approval_analysis_eligible
cmp_dd1b21bbc45eb2a0,gt_02cc00fae6333219,IL5,Pan-UKB,Pan-UKB::continuous|3062|both_sexes||irnt,Forced vital capacity (FVC),CSA,SENSITIVITY,False,False,0.01,5e-08,3,50,2029,2029,2029.0,0,2029,0,2029,2029,1864,1024,1024,1014,479,821,410,,0,0,,,True,False,,,,,continuous,quant,,,,,True,continuous,quant,,,,,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_dd1b21bbc45eb2a0.parquet,intermediate/15b4/comparisons/cmp_dd1b21bbc45eb2a0.json,PROCESSED_NOW,383471.0,,383471.0,,8080.0,,8080.0,,False,True,False,False,False,False,False,True,False,False
cmp_7e307816e12f7868,gt_02cc00fae6333219,IL5,Pan-UKB,Pan-UKB::continuous|3062|both_sexes||irnt,Forced vital capacity (FVC),MID,SENSITIVITY,False,False,0.01,5e-08,3,50,2029,2029,2029.0,0,2029,0,2029,2029,1864,937,937,925,482,879,411,,0,0,,,True,False,,,,,continuous,quant,,,,,True,continuous,quant,,,,,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_7e307816e12f7868.parquet,intermediate/15b4/comparisons/cmp_7e307816e12f7868.json,PROCESSED_NOW,383471.0,,383471.0,,1432.0,,1432.0,,False,True,False,False,False,False,False,True,False,False
cmp_2fa9bc3784a6aba4,gt_fc6dc0881ba598e4,IL6,Pan-UKB,Pan-UKB::continuous|3062|both_sexes||irnt,Forced vital capacity (FVC),AFR,SENSITIVITY,False,False,0.01,5e-08,3,50,2634,2634,2634.0,0,2634,0,2634,2634,2457,1462,1462,1462,782,1290,696,,0,0,,,True,False,,,,,continuous,quant,,,,,True,continuous,quant,,,,,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_2fa9bc3784a6aba4.parquet,intermediate/15b4/comparisons/cmp_2fa9bc3784a6aba4.json,PROCESSED_NOW,383471.0,,383471.0,,5978.0,,5978.0,,False,True,False,False,False,False,False,True,False,False
cmp_50685ea08e3c4a7f,gt_fc6dc0881ba598e4,IL6,Pan-UKB,Pan-UKB::continuous|3062|both_sexes||irnt,Forced vital capacity (FVC),CSA,SENSITIVITY,False,False,0.01,5e-08,3,50,2634,2634,2634.0,0,2634,0,2634,2634,2457,1270,1270,1270,853,1110,764,,0,0,,,True,False,,,,,continuous,quant,,,,,True,continuous,quant,,,,,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_50685ea08e3c4a7f.parquet,intermediate/15b4/comparisons/cmp_50685ea08e3c4a7f.json,PROCESSED_NOW,383471.0,,383471.0,,8080.0,,8080.0,,False,True,False,False,False,False,False,True,False,False
cmp_0c97a6b69a46b5a0,gt_fc6dc0881ba598e4,IL6,Pan-UKB,Pan-UKB::continuous|3062|both_sexes||irnt,Forced vital capacity (FVC),MID,SENSITIVITY,False,False,0.01,5e-08,3,50,2634,2634,2634.0,0,2634,0,2634,2634,2457,1089,1089,1089,850,1047,761,,0,0,,,True,False,,,,,continuous,quant,,,,,True,continuous,quant,,,,,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_0c97a6b69a46b5a0.parquet,intermediate/15b4/comparisons/cmp_0c97a6b69a46b5a0.json,PROCESSED_NOW,383471.0,,383471.0,,1432.0,,1432.0,,False,True,False,False,False,False,False,True,False,False
cmp_531b60e1603b1cea,gt_58869ee37c53092a,ITGB7,Pan-UKB,Pan-UKB::continuous|3062|both_sexes||irnt,Forced vital capacity (FVC),AFR,SENSITIVITY,False,False,0.01,5e-08,3,50,2045,2045,2045.0,0,2045,0,2045,2045,1888,1128,1128,1128,470,999,383,,0,0,,,True,False,,,,,continuous,quant,,,,,True,continuous,quant,,,,,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_531b60e1603b1cea.parquet,intermediate/15b4/comparisons/cmp_531b60e1603b1cea.json,PROCESSED_NOW,383471.0,,383471.0,,5978.0,,5978.0,,False,True,False,False,False,False,False,True,False,False
cmp_db58ffbf80fabc8d,gt_58869ee37c53092a,ITGB7,Pan-UKB,Pan-UKB::continuous|3062|both_sexes||irnt,Forced vital capacity (FVC),CSA,SENSITIVITY,False,False,0.01,5e-08,3,50,2045,2045,2045.0,0,2045,0,2045,2045,1888,950,950,950,550,759,458,,0,0,,,True,False,,,,,continuous,quant,,,,,True,continuous,quant,,,,,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_db58ffbf80fabc8d.parquet,intermediate/15b4/comparisons/cmp_db58ffbf80fabc8d.json,PROCESSED_NOW,383471.0,,383471.0,,8080.0,,8080.0,,False,True,False,False,False,False,False,True,False,False
cmp_2e7bc5fc5c721c2d,gt_58869ee37c53092a,ITGB7,Pan-UKB,Pan-UKB::continuous|3062|both_sexes||irnt,Forced vital capacity (FVC),MID,SENSITIVITY,False,False,0.01,5e-08,3,50,2045,2045,2045.0,0,2045,0,2045,2045,1888,888,888,888,573,851,479,,0,0,,,True,False,,,,,continuous,quant,,,,,True,continuous,quant,,,,,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_2e7bc5fc5c721c2d.parquet,intermediate/15b4/comparisons/cmp_2e7bc5fc5c721c2d.json,PROCESSED_NOW,383471.0,,383471.0,,1432.0,,1432.0,,False,True,False,False,False,False,False,True,False,False
cmp_3b391f47afc6f174,gt_a92d4e31f988cf77,KIT,Pan-UKB,Pan-UKB::continuous|3062|both_sexes||irnt,Forced vital capacity (FVC),AFR,SENSITIVITY,False,False,0.01,5e-08,3,50,2932,2932,2932.0,0,2932,0,2932,2932,2727,1761,1761,1761,806,1544,704,,0,0,,,True,False,,,,,continuous,quant,,,,,True,continuous,quant,,,,,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_3b391f47afc6f174.parquet,intermediate/15b4/comparisons/cmp_3b391f47afc6f174.json,PROCESSED_NOW,383471.0,,383471.0,,5978.0,,5978.0,,False,True,False,False,False,False,False,True,False,False
cmp_d76d5d00dd99397d,gt_a92d4e31f988cf77,KIT,Pan-UKB,Pan-UKB::continuous|3062|both_sexes||irnt,Forced vital capacity (FVC),CSA,SENSITIVITY,False,False,0.01,5e-08,3,50,2932,2932,2932.0,0,2932,0,2932,2932,2727,1651,1651,1651,894,1323,786,,0,0,,,True,False,,,,,continuous,quant,,,,,True,continuous,quant,,,,,True,False,fewer_than_3_qualified_EUR_GWS_variants,True,,False,intermediate/15b4/comparisons/cmp_d76d5d00dd99397d.parquet,intermediate/15b4/comparisons/cmp_d76d5d00dd99397d.json,PROCESSED_NOW,383471.0,,383471.0,,8080.0,,8080.0,,False,True,False,False,False,False,False,True,False,False
