==============================================================================
STEP 15E — CROSS-ANCESTRY COLOCALIZATION
==============================================================================
Primary comparisons: 538
Powered in both ancestries: 17
Pending caches: 535
Priors: p1=0.0001, p2=0.0001, p12=1e-06, 1e-05, 0.0001
Primary p12: 1e-05
==============================================================================
[134/535] cmp_23dc1acd8f48ad21 | HCRTR1 | EAS
[135/535] cmp_d6892d31bc8e5b1a | HRH4 | AFR
[136/535] cmp_296850778fbada3a | HRH4 | AMR
[137/535] cmp_650706fba16caa25 | HRH4 | EAS
[138/535] cmp_923a11e3e50006fd | IL13 | AFR
[139/535] cmp_02626343e8b15fa9 | IL13 | AMR
[140/535] cmp_192f316675024137 | IL13 | EAS
[141/535] cmp_dc366550312e136a | IL1R1 | AFR
[142/535] cmp_a3b094a43f523b4d | IL1R1 | AMR
[143/535] cmp_7b1eeb79ae2032bb | IL1R1 | EAS
[144/535] cmp_84c689815498ec84 | IL1RL1 | AFR
[145/535] cmp_86cebedd52e15c1e | IL1RL1 | AMR
[146/535] cmp_b518c6b92cc176ea | IL1RL1 | EAS
[147/535] cmp_1f5f078aefada531 | IL33 | AFR
[148/535] cmp_ef38db3809ac0455 | IL33 | AMR
[149/535] cmp_81d128e184d782cd | IL33 | EAS
[150/535] cmp_7a2e01760a226fa2 | IL4R | AFR
[151/535] cmp_47717a5272c50ec7 | IL4R | AMR
[152/535] cmp_aae53e41eb3803b2 | IL4R | EAS
[153/535] cmp_12d1c37ade212f9d | NR3C1 | AFR
[154/535] cmp_a04249cddb013204 | NR3C1 | AMR
[155/535] cmp_ce170ceef72f1244 | NR3C1 | EAS
[156/535] cmp_9132cd16ecfec364 | PDE3A | AFR
[157/535] cmp_c312c3b9fd0f2973 | PDE3A | AMR
[158/535] cmp_1c12533753670edd | PDE3A | EAS
[159/535] cmp_d46edc983b4eee0b | PDE4B | AFR
[160/535] cmp_ef3380af92b3bfd4 | PDE4B | AMR
[161/535] cmp_b52aa1a4b27054a7 | PDE4B | EAS
[162/535] cmp_a6291206b522856e | PDE4D | AFR
[163/535] cmp_5a4c5c9533060800 | PDE4D | AMR
[164/535] cmp_c025e4310d9f52fc | PDE4D | EAS
[165/535] cmp_9b4fd35c5baf7dbd | RARG | AFR
[166/535] cmp_13e27a7fdfa0eb30 | RARG | AMR
[167/535] cmp_514e180b55a9b84f | RARG | EAS
[168/535] cmp_0263f1dc95002377 | SERPINA1 | AFR
[169/535] cmp_e973d965c03b787d | SERPINA1 | AMR
[170/535] cmp_e25a0fa2823ae3a3 | SERPINA1 | EAS
[171/535] cmp_c35377dfaf49ea97 | TSLP | AFR
[172/535] cmp_c063a7c82b7e6460 | TSLP | AMR
[173/535] cmp_a0f1de8e567920f2 | TSLP | EAS
[174/535] cmp_6800e614a6b5f52f | PPARG | AFR
[175/535] cmp_a534830fc4deffe0 | PPARG | AMR
[176/535] cmp_aa25e446bf465f9f | PPARG | EAS
[177/535] cmp_f6c8d3d544ec5e35 | SLC22A12 | AFR
[178/535] cmp_463c53e9f46e30d8 | SLC22A12 | AMR
[179/535] cmp_ed5bdc4e95af264b | SLC22A12 | EAS
[180/535] cmp_c885448f2de8c219 | ENPEP | AFR
[181/535] cmp_6e7939515f8cf701 | ENPEP | AMR
[182/535] cmp_57f23e9f3c62a4e3 | ENPEP | EAS
[183/535] cmp_4be46e9df16bdc7f | GRM7 | AFR
[184/535] cmp_2d9c2479a74e3976 | GRM7 | AMR
[185/535] cmp_79fcc73cc62d5315 | GRM7 | EAS
[186/535] cmp_780fe24835686fbc | NOS3 | AFR
