indication_mesh_id,indication_mesh_term,mesh2026_preferred_term,n_pairs,n_genes,n_A,n_B,direct_candidate_1_trait_key,direct_candidate_1_name,direct_candidate_1_source,direct_candidate_1_build,direct_candidate_1_pops,direct_candidate_1_score,direct_candidate_2_trait_key,direct_candidate_2_name,direct_candidate_2_source,direct_candidate_2_build,direct_candidate_2_pops,direct_candidate_2_score,direct_candidate_3_trait_key,direct_candidate_3_name,direct_candidate_3_source,direct_candidate_3_build,direct_candidate_3_pops,direct_candidate_3_score,direct_candidate_4_trait_key,direct_candidate_4_name,direct_candidate_4_source,direct_candidate_4_build,direct_candidate_4_pops,direct_candidate_4_score,direct_candidate_5_trait_key,direct_candidate_5_name,direct_candidate_5_source,direct_candidate_5_build,direct_candidate_5_pops,direct_candidate_5_score,selected_trait_key_1,mapping_tier_1,mapping_rationale_1,reviewer_notes_1,selected_trait_key_2,mapping_tier_2,mapping_rationale_2,reviewer_notes_2,selected_trait_key_3,mapping_tier_3,mapping_rationale_3,reviewer_notes_3,selected_trait_key_4,mapping_tier_4,mapping_rationale_4,reviewer_notes_4,selected_trait_key_5,mapping_tier_5,mapping_rationale_5,reviewer_notes_5,indication_review_status,exclude_reason
D001327,Autoimmune Diseases,Autoimmune Diseases,10,10,0,10,Pan-UKB::phecode|530|both_sexes||,Diseases of esophagus,Pan-UKB,GRCh37,"EUR,MID",8.25,Pan-UKB::phecode|411|both_sexes||,Ischemic Heart Disease,Pan-UKB,GRCh37,"CSA,EUR",7.5,Pan-UKB::phecode|530.1|both_sexes||,"Esophagitis, GERD and related diseases",Pan-UKB,GRCh37,"EUR,MID",7.5,Pan-UKB::icd10|Z86|both_sexes||,Z86 Personal history of certain other diseases,Pan-UKB,GRCh37,"EUR,MID",7.377049180327869,Pan-UKB::phecode|318|both_sexes||,Tobacco use disorder,Pan-UKB,GRCh37,"EAS,EUR",7.105263157894736,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,
D008180,"Lupus Erythematosus, Systemic","Lupus Erythematosus, Systemic",10,10,0,10,Pan-UKB::phecode|411|both_sexes||,Ischemic Heart Disease,Pan-UKB,GRCh37,"CSA,EUR",7.857142857142858,Pan-UKB::phecode|530|both_sexes||,Diseases of esophagus,Pan-UKB,GRCh37,"EUR,MID",7.317073170731707,Pan-UKB::phecode|530.1|both_sexes||,"Esophagitis, GERD and related diseases",Pan-UKB,GRCh37,"EUR,MID",6.842105263157895,Pan-UKB::phecode|318|both_sexes||,Tobacco use disorder,Pan-UKB,GRCh37,"EAS,EUR",6.75,Pan-UKB::icd10|I25|both_sexes||,I25 Chronic ischaemic heart disease,Pan-UKB,GRCh37,"CSA,EUR",6.470588235294118,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,
D013921,Thrombocytopenia,Thrombocytopenia,10,10,4,6,GBMI::VTE,Venous thromboembolism,GBMI,GRCh38,,8.571428571428571,Pan-UKB::phecode|306|both_sexes||,Other mental disorder,Pan-UKB,GRCh37,"EAS,EUR",7.0588235294117645,Pan-UKB::icd10|J45|both_sexes||,J45 Asthma,Pan-UKB,GRCh37,"CSA,EUR,MID",6.666666666666666,Pan-UKB::icd10|K44|both_sexes||,K44 Diaphragmatic hernia,Pan-UKB,GRCh37,"EUR,MID",6.666666666666666,Pan-UKB::phecode|550.2|both_sexes||,Diaphragmatic hernia,Pan-UKB,GRCh37,"CSA,EUR,MID",6.666666666666666,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,
D013922,Thrombocytosis,Thrombocytosis,10,10,2,8,GBMI::VTE,Venous thromboembolism,GBMI,GRCh38,,8.68421052631579,Pan-UKB::phecode|496.2|both_sexes||,Chronic bronchitis,Pan-UKB,GRCh37,"CSA,EUR",8.4375,Pan-UKB::phecode|740|both_sexes||,Osteoarthrosis,Pan-UKB,GRCh37,"EUR,MID",7.5,Pan-UKB::phecode|716.9|both_sexes||,Arthropathy NOS,Pan-UKB,GRCh37,"EAS,EUR",7.241379310344828,Pan-UKB::phecode|411.4|both_sexes||,Coronary atherosclerosis,Pan-UKB,GRCh37,"CSA,EUR",7.105263157894736,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,
D015535,"Arthritis, Psoriatic","Arthritis, Psoriatic",9,9,3,6,Pan-UKB::phecode|716|both_sexes||,Other arthropathies,Pan-UKB,GRCh37,"EAS,EUR",88.92857142857143,Pan-UKB::phecode|716.9|both_sexes||,Arthropathy NOS,Pan-UKB,GRCh37,"EAS,EUR",88.33333333333333,Pan-UKB::phecode|714|both_sexes||,Rheumatoid arthritis and other inflammatory polyarthropathies,Pan-UKB,GRCh37,"CSA,EUR",42.625,Pan-UKB::icd10|R07|both_sexes||,R07 Pain in throat and chest,Pan-UKB,GRCh37,"CSA,EUR",8.297872340425533,Pan-UKB::phecode|740|both_sexes||,Osteoarthrosis,Pan-UKB,GRCh37,"EUR,MID",8.181818181818182,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,
D050197,Atherosclerosis,Atherosclerosis,9,9,1,8,Pan-UKB::phecode|411.4|both_sexes||,Coronary atherosclerosis,Pan-UKB,GRCh37,"CSA,EUR",134.03846153846155,Pan-UKB::phecode|740|both_sexes||,Osteoarthrosis,Pan-UKB,GRCh37,"EUR,MID",8.88888888888889,Pan-UKB::phecode|401|both_sexes||,Hypertension,Pan-UKB,GRCh37,"CSA,EUR",8.4,Pan-UKB::phecode|496.2|both_sexes||,Chronic bronchitis,Pan-UKB,GRCh37,"CSA,EUR",7.272727272727273,Pan-UKB::phecode|306|both_sexes||,Other mental disorder,Pan-UKB,GRCh37,"EAS,EUR",7.0588235294117645,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,
D015212,Inflammatory Bowel Diseases,Inflammatory Bowel Diseases,9,9,0,9,Pan-UKB::phecode|714|both_sexes||,Rheumatoid arthritis and other inflammatory polyarthropathies,Pan-UKB,GRCh37,"CSA,EUR",43.13636363636364,Pan-UKB::phecode|459|both_sexes||,Other disorders of circulatory system,Pan-UKB,GRCh37,"CSA,EUR",7.5,Pan-UKB::icd10|Z86|both_sexes||,Z86 Personal history of certain other diseases,Pan-UKB,GRCh37,"EUR,MID",7.391304347826087,Pan-UKB::phecode|530.1|both_sexes||,"Esophagitis, GERD and related diseases",Pan-UKB,GRCh37,"EUR,MID",7.03125,Pan-UKB::phecode|411|both_sexes||,Ischemic Heart Disease,Pan-UKB,GRCh37,"CSA,EUR",6.875,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,
D065631,"Rhinitis, Allergic","Rhinitis, Allergic",9,9,1,8,Pan-UKB::phecode|496.2|both_sexes||,Chronic bronchitis,Pan-UKB,GRCh37,"CSA,EUR",8.571428571428571,Pan-UKB::icd10|K44|both_sexes||,K44 Diaphragmatic hernia,Pan-UKB,GRCh37,"EUR,MID",7.297297297297297,Pan-UKB::phecode|550.2|both_sexes||,Diaphragmatic hernia,Pan-UKB,GRCh37,"CSA,EUR,MID",7.297297297297297,GBMI::UtC,Uterine cancer,GBMI,GRCh38,,7.272727272727273,Pan-UKB::phecode|496.21|both_sexes||,Obstructive chronic bronchitis,Pan-UKB,GRCh37,"CSA,EUR",7.0212765957446805,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,
D006938,Hyperlipoproteinemia Type II,Hyperlipoproteinemia Type II,8,8,3,5,Pan-UKB::phecode|401.1|both_sexes||,Essential hypertension,Pan-UKB,GRCh37,"CSA,EUR",52.05128205128205,Pan-UKB::phecode|250.2|both_sexes||,Type 2 diabetes,Pan-UKB,GRCh37,"CSA,EUR",48.80952380952381,Pan-UKB::icd10|G47|both_sexes||,G47 Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",11.351351351351353,Pan-UKB::phecode|327|both_sexes||,Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",11.351351351351353,Pan-UKB::phecode|317|both_sexes||,Alcohol-related disorders,Pan-UKB,GRCh37,"AFR,EUR",10.212765957446809,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,
D001008,Anxiety Disorders,Anxiety Disorders,7,7,1,6,Pan-UKB::icd10|G47|both_sexes||,G47 Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",10.3125,Pan-UKB::phecode|327|both_sexes||,Sleep disorders,Pan-UKB,GRCh37,"CSA,EUR",10.3125,Pan-UKB::phecode|317|both_sexes||,Alcohol-related disorders,Pan-UKB,GRCh37,"AFR,EUR",9.285714285714286,Pan-UKB::phecode|318|both_sexes||,Tobacco use disorder,Pan-UKB,GRCh37,"EAS,EUR",9.166666666666668,Pan-UKB::phecode|272|both_sexes||,Disorders of lipoid metabolism,Pan-UKB,GRCh37,"CSA,EUR",8.297872340425533,,,,,,,,,,,,,,,,,,,,,UNREVIEWED,
