gene,candidate_source,candidate_trait_key,candidate_trait_name,phenotype_id,genome_build,canonical_group,gene_trait_uid,unit_analysis_role,locked_mapping_tier,mapping_tiers_contributing,roles_contributing,n_pair_trait_rows,n_target_indication_pairs,n_indications,indication_mesh_ids,indications,pools,n_A_pairs,n_B_pairs,mixed_pool,primary_approval_eligible,sensitivity_pool_assignment,pops_available,non_eur_pops_available,mapping_uids
ADIPOR2,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_1ee1da015e26f543,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,B,0,1,False,True,B,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
CALCA,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_a3ed78d49b0c5aac,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,B,0,1,False,True,B,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
CALCR,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_a0bbc31bfcb23525,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,B,0,1,False,True,B,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
DPP4,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_7ef45295ac72754b,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,B,0,1,False,True,B,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
FGFR1,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_07bc6b913823d770,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,B,0,1,False,True,B,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
FGFR4,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_5aa064f396f10864,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,B,0,1,False,True,B,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
GDF15,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_d79e322e54d14839,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,B,0,1,False,True,B,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
GFRAL,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_a4b99530ba80c8ab,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,B,0,1,False,True,B,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
GHR,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_d815e2aa4bbcd69a,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,B,0,1,False,True,B,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
GIPR,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),continuous|21001|both_sexes||irnt,GRCh37,body_mass_index,gt_e8a2392ea6c7a9e1,PRIMARY,Direct quantitative readout,Direct quantitative readout,PRIMARY,1,1,1,D009765,Obesity,B,0,1,False,True,B,"AFR,CSA,EUR,MID","AFR,CSA,MID",map_0b18d3fa6d5f91c0
