gene_trait_uid,estimator,n_comparison_ancestries,comparison_ancestries,unit_iv_fixed_slope,unit_iv_fixed_se,unit_iv_fixed_ci_lower,unit_iv_fixed_ci_upper,within_unit_tau2,within_unit_i2_percent,gene,candidate_trait_name,candidate_source,sensitivity_pool_assignment
gt_8eacc233dce7b2c8,fiqt,4,AFR || AMR || CSA || EAS,0.6218219982827393,0.15955784921002303,0.3090943603804215,0.9345496361850572,0.34033609096490364,74.66413578010022,IL5,Asthma,GBMI,B
gt_8eacc233dce7b2c8,naive,4,AFR || AMR || CSA || EAS,0.6178769909855714,0.15779091981709337,0.3086124710566209,0.9271415109145218,0.33884990486747496,74.94310389623388,IL5,Asthma,GBMI,B
gt_93b3040bef26dfa3,deming,3,AFR || CSA || MID,0.57631795611513,0.06512082321123991,0.4486834879774998,0.7039524242527603,0.0,0.0,LPL,Triglycerides,Pan-UKB,B
gt_93b3040bef26dfa3,fiqt,3,AFR || CSA || MID,0.6527940117093349,0.07260639511445001,0.510488092237728,0.7950999311809419,0.011206543183832997,37.444352700855646,LPL,Triglycerides,Pan-UKB,B
gt_93b3040bef26dfa3,naive,3,AFR || CSA || MID,0.6315240663727427,0.07187601024665517,0.49064967493686673,0.7723984578086187,0.008653660440568804,32.08376870217044,LPL,Triglycerides,Pan-UKB,B
gt_95af7ca2e8a7e102,deming,1,CSA,0.4513572095135062,0.1507415112549348,0.15590927647869485,0.7468051425483175,0.0,0.0,ABCA1,LDL direct,Pan-UKB,B
gt_95af7ca2e8a7e102,fiqt,1,CSA,0.40939142989259,0.15074151133049588,0.11394349670968157,0.7048393630754983,0.0,0.0,ABCA1,LDL direct,Pan-UKB,B
gt_95af7ca2e8a7e102,naive,1,CSA,0.4079602338488599,0.15074151133049588,0.11251230066595147,0.7034081670317682,0.0,0.0,ABCA1,LDL direct,Pan-UKB,B
gt_9974caf98cb25074,deming,4,AFR || AMR || CSA || EAS,0.7111545153467266,0.08523034481696452,0.544106109115546,0.8782029215779071,0.0,0.0,TSLP,Asthma,GBMI,A
gt_9974caf98cb25074,fiqt,4,AFR || AMR || CSA || EAS,0.9053818751054109,0.13374125965318545,0.6432538229381476,1.167509927272674,0.0,0.0,TSLP,Asthma,GBMI,A
gt_9974caf98cb25074,naive,4,AFR || AMR || CSA || EAS,0.8988467907160619,0.13299454609930011,0.6381822702211817,1.159511311210942,0.0,0.0,TSLP,Asthma,GBMI,A
gt_aff18fde645e6a6f,deming,4,AFR || AMR || CSA || EAS,0.9385984312764483,0.0930419028949575,0.7562396525492585,1.120957210003638,0.1684891917804249,79.75117545382739,IL4R,Asthma,GBMI,A
gt_aff18fde645e6a6f,fiqt,4,AFR || AMR || CSA || EAS,0.9937412929357586,0.09325950052532232,0.8109560306899326,1.1765265551815847,0.21575073575908707,83.74883069203361,IL4R,Asthma,GBMI,A
gt_aff18fde645e6a6f,naive,4,AFR || AMR || CSA || EAS,0.9811817997570478,0.09297990356362305,0.7989445374863392,1.1634190620277565,0.21258317637974786,83.63400517447488,IL4R,Asthma,GBMI,A
gt_b328521a0423f5c5,deming,3,AFR || CSA || MID,0.7807908911076363,0.1412268602611068,0.503991331346196,1.0575904508690765,0.0,0.0,ANGPTL3,Triglycerides,Pan-UKB,B
gt_b328521a0423f5c5,fiqt,3,AFR || CSA || MID,0.8898341160096257,0.1828391412724773,0.5314759841513392,1.2481922478679122,0.03646031781947316,22.039399137326747,ANGPTL3,Triglycerides,Pan-UKB,B
gt_b328521a0423f5c5,naive,3,AFR || CSA || MID,0.8859109265397351,0.18167463792328706,0.5298351793057379,1.2419866737737324,0.035441585218463766,21.80654762711666,ANGPTL3,Triglycerides,Pan-UKB,B
gt_b5915a3fe7e0c8ef,deming,4,AFR || AMR || CSA || EAS,0.786163165281532,0.11729596404325401,0.5562673002248489,1.016059030338215,0.013534628814008088,18.95262429634591,IL13,Asthma,GBMI,B
gt_b5915a3fe7e0c8ef,fiqt,4,AFR || AMR || CSA || EAS,0.8557814420629578,0.13430917006423984,0.5925403059435825,1.119022578182333,0.17144137121251818,69.87345349913353,IL13,Asthma,GBMI,B
gt_b5915a3fe7e0c8ef,naive,4,AFR || AMR || CSA || EAS,0.8518347919187337,0.13401398566046324,0.5891722065995585,1.114497377237909,0.1691167730449871,69.68364776387246,IL13,Asthma,GBMI,B
gt_bc3d66c41e611627,deming,2,CSA || EAS,1.598125530069274,0.2116326791156309,1.1833331010509154,2.0129179590876327,0.09367401204383893,51.11540977356659,ADRB1,"Systolic blood pressure, automated reading",Pan-UKB,A
gt_bc3d66c41e611627,fiqt,2,CSA || EAS,1.4236953748253838,0.2116326800917071,1.008902943893951,1.8384878057568166,0.0,0.0,ADRB1,"Systolic blood pressure, automated reading",Pan-UKB,A
gt_bc3d66c41e611627,naive,2,CSA || EAS,1.4189763461913556,0.21163268009170708,1.0041839152599228,1.8337687771227884,0.0,0.0,ADRB1,"Systolic blood pressure, automated reading",Pan-UKB,A
gt_c2f3696fd5d03431,deming,2,AFR || CSA,0.6130004205585805,0.1391399852911553,0.3402910605784833,0.8857097805386778,0.06583176355410049,62.847593294904705,PNPLA3,Alanine aminotransferase,Pan-UKB,B
gt_c2f3696fd5d03431,fiqt,2,AFR || CSA,0.38921925928564144,0.18933705094316486,0.018125458498012836,0.76031306007327,0.23393945954748427,74.88896666882935,PNPLA3,Alanine aminotransferase,Pan-UKB,B
gt_c2f3696fd5d03431,naive,2,AFR || CSA,0.38792320309919726,0.18837510105623725,0.018714789444879143,0.7571316167535154,0.23433004423905537,75.12376525381667,PNPLA3,Alanine aminotransferase,Pan-UKB,B
gt_d1d00e9dc71a2499,deming,3,AFR || CSA || EAS,1.5653626180959925,0.3282075101774976,0.922087718692534,2.208637517499451,0.5732421301655887,61.419064423632065,PIK3CA,Platelet count,Pan-UKB,B
gt_d1d00e9dc71a2499,fiqt,3,AFR || CSA || EAS,1.828063811316038,0.32820750992819764,1.1847889124011983,2.4713387102308775,1.6632280471647392,82.20311024822382,PIK3CA,Platelet count,Pan-UKB,B
gt_d1d00e9dc71a2499,naive,3,AFR || CSA || EAS,1.8147892822670697,0.32820750992819775,1.17151438335223,2.4580641811819097,1.6322412026514264,81.92631378221114,PIK3CA,Platelet count,Pan-UKB,B
gt_d690685489730e56,deming,1,CSA,0.334332098652151,0.18588543969779683,-0.0299966684059228,0.6986608657102249,0.0,0.0,PCSK9,LDL direct,Pan-UKB,A
gt_d690685489730e56,fiqt,1,CSA,0.24051826771550816,0.2347803870612502,-0.21964283520091593,0.7006793706319323,0.0,0.0,PCSK9,LDL direct,Pan-UKB,A
gt_d690685489730e56,naive,1,CSA,0.2391138475548656,0.23260782268713248,-0.216789107434193,0.6950168025439242,0.0,0.0,PCSK9,LDL direct,Pan-UKB,A
gt_d79e322e54d14839,deming,2,AFR || MID,-0.06537876518308264,0.044720106597629726,-0.15302856349922894,0.02227103313306368,0.19629018740419266,78.38794211866376,GDF15,Body mass index (BMI),Pan-UKB,B
gt_d79e322e54d14839,fiqt,2,AFR || MID,-0.06840334003136825,0.04472010658505154,-0.15605313832286177,0.019246458260125276,0.14824162501747404,73.25635554298697,GDF15,Body mass index (BMI),Pan-UKB,B
gt_d79e322e54d14839,naive,2,AFR || MID,-0.06775832635219867,0.04472010658505155,-0.15540812464369222,0.019891471939294886,0.14604965815490253,72.9634958093245,GDF15,Body mass index (BMI),Pan-UKB,B
gt_dab1180e9c6840b2,deming,2,CSA || MID,1.127696800542091,0.1815156229420739,0.7719327169442738,1.4834608841399084,0.09257325609301845,19.952327623606994,VEGFA,Glycated haemoglobin (HbA1c),Pan-UKB,B
gt_dab1180e9c6840b2,fiqt,2,CSA || MID,1.1780480089679306,0.18508824478264174,0.8152817152322192,1.540814302703642,0.20279074751327714,33.332307933603495,VEGFA,Glycated haemoglobin (HbA1c),Pan-UKB,B
gt_dab1180e9c6840b2,naive,2,CSA || MID,1.167402849362278,0.18374336298138802,0.8072724755204872,1.5275332232040686,0.19920555250975217,33.156939136955664,VEGFA,Glycated haemoglobin (HbA1c),Pan-UKB,B
gt_e0253f9da76890c4,deming,4,AFR || AMR || CSA || EAS,0.6958569830388671,0.10292022665652295,0.49413704551138293,0.8975769205663513,0.12004137303522361,62.80106597290317,IL1RL1,Asthma,GBMI,B
gt_e0253f9da76890c4,fiqt,4,AFR || AMR || CSA || EAS,1.25520916882709,0.14017136057018117,0.9804783504455572,1.529939987208623,0.0,0.0,IL1RL1,Asthma,GBMI,B
gt_e0253f9da76890c4,naive,4,AFR || AMR || CSA || EAS,1.2512521384330195,0.138745823979769,0.9793153204273385,1.5231889564387004,0.0,0.0,IL1RL1,Asthma,GBMI,B
gt_e31188cc7b292717,deming,3,AFR || CSA || MID,1.0571297062086908,0.11064444470730975,0.8402705794929304,1.2739888329244513,0.34299928083493514,87.67034543763745,MC4R,Body mass index (BMI),Pan-UKB,A
gt_e31188cc7b292717,fiqt,3,AFR || CSA || MID,1.0113887405896553,0.16361210953136465,0.690714898473558,1.3320625827057526,0.2701638777881937,72.40692951395545,MC4R,Body mass index (BMI),Pan-UKB,A
gt_e31188cc7b292717,naive,3,AFR || CSA || MID,1.0060510994633627,0.16217085934747763,0.6882020558003958,1.3239001431263295,0.26736134603910094,72.55489092024011,MC4R,Body mass index (BMI),Pan-UKB,A
gt_e4eae46191577e93,deming,1,CSA,0.5245948664586343,0.31123700051702863,-0.08541844521101605,1.1346081781282846,0.0,0.0,APOC3,LDL direct,Pan-UKB,B
gt_e4eae46191577e93,fiqt,1,CSA,0.5536653553552494,0.18825470447892173,0.18469291465633164,0.9226377960541672,0.0,0.0,APOC3,LDL direct,Pan-UKB,B
gt_e4eae46191577e93,naive,1,CSA,0.550259431987854,0.18535270696319284,0.18697480190298954,0.9135440620727184,0.0,0.0,APOC3,LDL direct,Pan-UKB,B
gt_e581489a9e9ecfc2,deming,1,CSA,0.9595200903919985,0.43509747970862306,0.10674470039895034,1.8122954803850466,0.0,0.0,EGLN3,Haemoglobin concentration,Pan-UKB,A
gt_e581489a9e9ecfc2,fiqt,1,CSA,1.1022701208068122,0.4350974787600499,0.24949473267293332,1.955045508940691,0.0,0.0,EGLN3,Haemoglobin concentration,Pan-UKB,A
gt_e581489a9e9ecfc2,naive,1,CSA,1.1008117778397313,0.4350974787600499,0.2480363897058524,1.9535871659736102,0.0,0.0,EGLN3,Haemoglobin concentration,Pan-UKB,A
gt_e879daaa8470efb6,deming,1,CSA,0.4421018503320879,0.16479627117209258,0.11910709404829006,0.7650966066158857,0.0,0.0,CSF3R,White blood cell (leukocyte) count,Pan-UKB,A
gt_e879daaa8470efb6,fiqt,1,CSA,0.1956748117926485,0.16479627126368868,-0.12731994467067437,0.5186695682559714,0.0,0.0,CSF3R,White blood cell (leukocyte) count,Pan-UKB,A
gt_e879daaa8470efb6,naive,1,CSA,0.19494067497658046,0.16479627126368873,-0.12805408148674252,0.5179354314399034,0.0,0.0,CSF3R,White blood cell (leukocyte) count,Pan-UKB,A
gt_e89d07b40f69aeb9,deming,3,AFR || CSA || MID,0.8008395637160284,0.16240095727452666,0.482539536403128,1.1191395910289288,0.021186146984943123,16.203510383579072,APOB,Triglycerides,Pan-UKB,B
gt_e89d07b40f69aeb9,fiqt,3,AFR || CSA || MID,1.4102027259558632,0.2837121527448029,0.8541371245997229,1.9662683273120034,0.0,0.0,APOB,Triglycerides,Pan-UKB,B
gt_e89d07b40f69aeb9,naive,3,AFR || CSA || MID,1.4038726231221796,0.2796045372815323,0.8558578001363896,1.9518874461079698,0.0,0.0,APOB,Triglycerides,Pan-UKB,B
gt_f49766f3ae4b8a2f,deming,2,CSA || MID,0.7817312898945562,0.6180918105780014,-0.4297063979774799,1.9931689777665924,0.0,0.0,SREBF1,Glycated haemoglobin (HbA1c),Pan-UKB,B
