bootstrap_requested_replicates,bootstrap_valid_replicates,candidate_source,candidate_trait_key,candidate_trait_name,ci_lower,ci_method,ci_upper,comparison_population,comparison_reference_population,comparison_uid,deming_bound,deming_near_boundary,deming_objective,deming_success,estimator,gene,gene_trait_uid,genome_build,is_primary_threshold,lead_sign_concordant,median_abs_eur_z,mixed_pool,n_variants,pearson_r,primary_approval_eligible,r2_threshold,sign_concordance,slope,unit_analysis_role,slope_se_approx,eur_analysis_n,comparison_analysis_n,comparison_population_feasibility,gene_feasibility,candidate_trait_name_feasibility,candidate_source_feasibility,sample_size_ratio,median_variant_se_ratio,median_eur_variant_se,median_comparison_variant_se,n_variant_effect_rows,gene_unit,candidate_trait_name_unit,candidate_source_unit,sensitivity_pool_assignment,comparison_prior_stability,primary_pp_h3,primary_pp_h4,primary_conditional_h4,primary_category,shared_vs_other
1000,1000,Pan-UKB,Pan-UKB::continuous|30080|both_sexes||irnt,Platelet count,0.5429967871263233,percentile bootstrap over ancestry-paired LD-pruned variants,1.0416304391010354,AFR,AFR,cmp_88c6906de1ea612c,4.300497293394297,False,9.199438786417698,True,deming,THPO,gt_5a525d6a0e697a02,GRCh37,True,True,9.709352517985613,False,9,0.9136832659946373,True,0.1,0.7777777777777778,0.8812524253991286,PRIMARY,0.12720479965649134,,,AFR,THPO,Platelet count,Pan-UKB,,6.5670816044260025,0.003475,0.0335,9,THPO,Platelet count,Pan-UKB,B,PRIOR_SENSITIVE,0.6987066655962487,0.3012692364105512,0.3012764965695169,INCONCLUSIVE,NOT_ROBUST_SHARED
1000,1000,Pan-UKB,Pan-UKB::continuous|30140|both_sexes||irnt,Neutrophill count,0.411994974367837,percentile bootstrap over ancestry-paired LD-pruned variants,1.4403905473460854,CSA,CSA,cmp_899b25b2a6459d69,5.198916541365837,False,46.632399305546514,True,naive,CSF3,gt_38057e29398d09a6,GRCh37,True,True,11.96132266921332,False,17,0.6597316631381744,True,0.1,0.7647058823529411,0.8617175649006351,PRIMARY,0.26235063018762117,,,CSA,CSF3,Neutrophill count,Pan-UKB,,7.42918062747487,0.005578,0.04878,17,CSF3,Neutrophill count,Pan-UKB,A,PRIOR_SENSITIVE,0.12937250883291018,0.8706274843573647,0.8706274902860985,SHARED_H4_GE_0P8,NOT_ROBUST_SHARED
1000,1000,Pan-UKB,Pan-UKB::continuous|30140|both_sexes||irnt,Neutrophill count,0.4148091782741698,percentile bootstrap over ancestry-paired LD-pruned variants,1.4494159441712346,CSA,CSA,cmp_899b25b2a6459d69,5.198916541365837,False,46.632399305546514,True,fiqt,CSF3,gt_38057e29398d09a6,GRCh37,True,True,11.96132266921332,False,17,0.6597316631381744,True,0.1,0.7647058823529411,0.8673349115504053,PRIMARY,0.2639351472929888,,,CSA,CSF3,Neutrophill count,Pan-UKB,,7.42918062747487,0.005578,0.04878,17,CSF3,Neutrophill count,Pan-UKB,A,PRIOR_SENSITIVE,0.12937250883291018,0.8706274843573647,0.8706274902860985,SHARED_H4_GE_0P8,NOT_ROBUST_SHARED
1000,1000,Pan-UKB,Pan-UKB::continuous|30140|both_sexes||irnt,Neutrophill count,0.45648979769646014,percentile bootstrap over ancestry-paired LD-pruned variants,1.2889883537060907,CSA,CSA,cmp_899b25b2a6459d69,5.198916541365837,False,46.632399305546514,True,deming,CSF3,gt_38057e29398d09a6,GRCh37,True,True,11.96132266921332,False,17,0.6597316631381744,True,0.1,0.7647058823529411,0.8291091223146158,PRIMARY,0.2123759830732281,,,CSA,CSF3,Neutrophill count,Pan-UKB,,7.42918062747487,0.005578,0.04878,17,CSF3,Neutrophill count,Pan-UKB,A,PRIOR_SENSITIVE,0.12937250883291018,0.8706274843573647,0.8706274902860985,SHARED_H4_GE_0P8,NOT_ROBUST_SHARED
1000,1000,Pan-UKB,Pan-UKB::biomarkers|30870|both_sexes||irnt,Triglycerides,0.46954063010943675,percentile bootstrap over ancestry-paired LD-pruned variants,1.0960461384664284,CSA,CSA,cmp_9de93e69fed596e7,4.182498754855416,False,41.67639294193859,True,naive,LPL,gt_93b3040bef26dfa3,GRCh37,True,True,16.55512093065631,False,22,0.8170550248705017,True,0.1,0.7727272727272727,0.8364997509710832,PRIMARY,0.1598257706005792,,,CSA,LPL,Triglycerides,Pan-UKB,,6.435281331712094,0.0043055,0.029855,22,LPL,Triglycerides,Pan-UKB,B,ROBUST_DISTINCT,0.9861146489970338,0.01388533480581001,0.01388533503071295,DISTINCT_H3_GE_0P8,NOT_ROBUST_SHARED
1000,1000,Pan-UKB,Pan-UKB::biomarkers|30870|both_sexes||irnt,Triglycerides,0.48617108885042715,percentile bootstrap over ancestry-paired LD-pruned variants,1.1070320957244735,CSA,CSA,cmp_9de93e69fed596e7,4.182498754855416,False,41.67639294193859,True,fiqt,LPL,gt_93b3040bef26dfa3,GRCh37,True,True,16.55512093065631,False,22,0.8170550248705017,True,0.1,0.7727272727272727,0.8587575144586661,PRIMARY,0.15838582029346426,,,CSA,LPL,Triglycerides,Pan-UKB,,6.435281331712094,0.0043055,0.029855,22,LPL,Triglycerides,Pan-UKB,B,ROBUST_DISTINCT,0.9861146489970338,0.01388533480581001,0.01388533503071295,DISTINCT_H3_GE_0P8,NOT_ROBUST_SHARED
1000,1000,Pan-UKB,Pan-UKB::biomarkers|30870|both_sexes||irnt,Triglycerides,0.4288792566150135,percentile bootstrap over ancestry-paired LD-pruned variants,0.8058655398937564,CSA,CSA,cmp_9de93e69fed596e7,4.182498754855416,False,41.67639294193859,True,deming,LPL,gt_93b3040bef26dfa3,GRCh37,True,True,16.55512093065631,False,22,0.8170550248705017,True,0.1,0.7727272727272727,0.6048000409418313,PRIMARY,0.09617173740241214,,,CSA,LPL,Triglycerides,Pan-UKB,,6.435281331712094,0.0043055,0.029855,22,LPL,Triglycerides,Pan-UKB,B,ROBUST_DISTINCT,0.9861146489970338,0.01388533480581001,0.01388533503071295,DISTINCT_H3_GE_0P8,NOT_ROBUST_SHARED
1000,1000,GBMI,GBMI::Asthma,Asthma,0.35294844906450074,percentile bootstrap over ancestry-paired LD-pruned variants,1.4221081074495379,EAS,EAS,cmp_a54e8bec4ce3739c,5.225188891150664,False,41.40644377878884,True,naive,TSLP,gt_9974caf98cb25074,GRCh38,True,True,7.643122362869199,False,5,0.8545435671282952,True,0.1,0.8,1.0450377782301328,PRIMARY,0.2727498226545059,,,EAS,TSLP,Asthma,GBMI,,2.4002290173459433,0.0053891,0.01356,5,TSLP,Asthma,GBMI,A,ROBUST_SHARED,9.094947017737654e-16,1.0,0.9999999999999991,SHARED_H4_GE_0P8,ROBUST_SHARED
1000,1000,GBMI,GBMI::Asthma,Asthma,0.35431583196299443,percentile bootstrap over ancestry-paired LD-pruned variants,1.4236004493700891,EAS,EAS,cmp_a54e8bec4ce3739c,5.225188891150664,False,41.40644377878884,True,fiqt,TSLP,gt_9974caf98cb25074,GRCh38,True,True,7.643122362869199,False,5,0.8545435671282952,True,0.1,0.8,1.0488627903738035,PRIMARY,0.2727817005418149,,,EAS,TSLP,Asthma,GBMI,,2.4002290173459433,0.0053891,0.01356,5,TSLP,Asthma,GBMI,A,ROBUST_SHARED,9.094947017737654e-16,1.0,0.9999999999999991,SHARED_H4_GE_0P8,ROBUST_SHARED
1000,1000,GBMI,GBMI::Asthma,Asthma,0.2668358745874271,percentile bootstrap over ancestry-paired LD-pruned variants,1.2702146062522766,EAS,EAS,cmp_a54e8bec4ce3739c,5.225188891150664,False,41.40644377878884,True,deming,TSLP,gt_9974caf98cb25074,GRCh38,True,True,7.643122362869199,False,5,0.8545435671282952,True,0.1,0.8,0.948021005044679,PRIMARY,0.2559686656436988,,,EAS,TSLP,Asthma,GBMI,,2.4002290173459433,0.0053891,0.01356,5,TSLP,Asthma,GBMI,A,ROBUST_SHARED,9.094947017737654e-16,1.0,0.9999999999999991,SHARED_H4_GE_0P8,ROBUST_SHARED
