gene_trait_uid,gene,candidate_source,candidate_trait_key,candidate_trait_name,unit_analysis_role,mixed_pool,primary_approval_eligible,n_comparison_ancestries,comparison_ancestries,n_portability_pre_ld_eligible_ancestries,n_coloc_input_eligible_ancestries,n_coloc_powered_both_ancestries,minimum_qc_qualified_variants,median_qc_qualified_variants,maximum_qc_qualified_variants,maximum_eur_gws_qc_variants,maximum_comparison_gws_qc_variants,primary_mechanistic_universe,portability_primary_locked,portability_sensitivity_locked,coloc_primary_locked,coloc_powered_primary_locked,coloc_sensitivity_locked,coloc_powered_sensitivity_locked,all_ancestries_coloc_input_eligible,all_ancestries_portability_pre_ld_eligible,genome_build,canonical_group,locked_mapping_tier,mapping_tiers_contributing,sensitivity_pool_assignment,pools,n_A_pairs,n_B_pairs,n_target_indication_pairs,n_indications,indications,non_eur_pops_available,approval_pool,approval_group,portability_deming_slope,portability_fiqt_slope,portability_naive_slope,portability_n_comparison_ancestries,portability_comparison_ancestries,portability_n_variants_total,portability_n_variants_minimum,portability_n_variants_median,portability_sign_concordance,portability_pearson_r,portability_any_deming_near_boundary,portability_primary_r2_threshold,unit_stability_final,primary_unit_category,coloc_n_powered_comparisons,coloc_powered_comparison_ancestries,coloc_comparison_stability_classes,coloc_primary_pp_h4_minimum,coloc_primary_pp_h4_median,coloc_primary_pp_h4_maximum,portability_final_available,coloc_powered_final_available,both_final_mechanisms_available,mechanistic_availability
gt_a1149966f4c395a3,TNFSF4,GBMI,GBMI::Asthma,Asthma,PRIMARY,False,True,4,AFR || AMR || CSA || EAS,0,4,0,363,455.0,514,1,0,True,False,False,True,False,True,False,True,False,GRCh38,Asthma,Direct disease,Direct disease,B,B,0,1,1,1,Asthma,"AFR,AMR,CSA,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_9974caf98cb25074,TSLP,GBMI,GBMI::Asthma,Asthma,PRIMARY,False,True,4,AFR || AMR || CSA || EAS,4,4,1,439,451.5,516,214,40,True,True,True,True,True,True,True,True,True,GRCh38,Asthma,Direct disease,Direct disease,A,A,1,0,1,1,Asthma,"AFR,AMR,CSA,EAS",A,Launched/approved,0.7187054331037204,0.9570090269669145,0.9519586287370558,4.0,AFR || AMR || CSA || EAS,29.0,5.0,7.5,0.873015873015873,0.7910122500505683,False,0.1,ROBUST_SHARED,CONSISTENT_SHARED,1.0,EAS,ROBUST_SHARED,1.0,1.0,1.0,True,True,True,BOTH
gt_03d37cdcec9e6d39,TYK2,GBMI,GBMI::Asthma,Asthma,PRIMARY,False,True,4,AFR || AMR || CSA || EAS,0,4,0,410,484.0,542,0,0,True,False,False,True,False,True,False,True,False,GRCh38,Asthma,Direct disease,Direct disease,B,B,0,1,1,1,Asthma,"AFR,AMR,CSA,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_9881a68950024bfa,ADORA1,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,PRIMARY,False,True,3,AFR || AMR || EAS,0,3,0,609,617.0,718,0,0,True,False,False,True,False,True,False,True,False,GRCh38,COPD,Direct disease,Direct disease,B,B,0,1,1,1,"Pulmonary Disease, Chronic Obstructive","AFR,AMR,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_4fb43f1edb670fad,ADRB2,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,PRIMARY,False,True,3,AFR || AMR || EAS,0,3,0,495,535.0,584,0,0,True,False,False,True,False,True,False,True,False,GRCh38,COPD,Direct disease,Direct disease,A,A,1,0,1,1,"Pulmonary Disease, Chronic Obstructive","AFR,AMR,EAS",A,Launched/approved,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_8517bb33d43dbd6b,CHRM3,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,PRIMARY,False,True,3,AFR || AMR || EAS,0,3,0,1559,1806.0,1983,0,0,True,False,False,True,False,True,False,True,False,GRCh38,COPD,Direct disease,Direct disease,A,A,1,0,1,1,"Pulmonary Disease, Chronic Obstructive","AFR,AMR,EAS",A,Launched/approved,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_516ff4c0d959d8ab,CSF2,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,PRIMARY,False,True,3,AFR || AMR || EAS,0,3,0,294,327.0,354,0,0,True,False,False,True,False,True,False,True,False,GRCh38,COPD,Direct disease,Direct disease,B,B,0,1,1,1,"Pulmonary Disease, Chronic Obstructive","AFR,AMR,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_d84fcd64ca861af7,EPHX2,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,PRIMARY,False,True,3,AFR || AMR || EAS,3,3,0,584,730.0,774,27,0,True,True,True,True,False,True,False,True,True,GRCh38,COPD,Direct disease,Direct disease,B,B,0,1,1,1,"Pulmonary Disease, Chronic Obstructive","AFR,AMR,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_9c552df762f04c46,GATA3,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,PRIMARY,False,True,3,AFR || AMR || EAS,0,3,0,556,695.0,808,0,0,True,False,False,True,False,True,False,True,False,GRCh38,COPD,Direct disease,Direct disease,B,B,0,1,1,1,"Pulmonary Disease, Chronic Obstructive","AFR,AMR,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_51f32a4cc0304948,HCRTR1,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,PRIMARY,False,True,3,AFR || AMR || EAS,0,3,0,397,424.0,462,0,0,True,False,False,True,False,True,False,True,False,GRCh38,COPD,Direct disease,Direct disease,B,B,0,1,1,1,"Pulmonary Disease, Chronic Obstructive","AFR,AMR,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_c155d3285e50020d,HRH4,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,PRIMARY,False,True,3,AFR || AMR || EAS,0,3,0,550,668.0,692,0,0,True,False,False,True,False,True,False,True,False,GRCh38,COPD,Direct disease,Direct disease,B,B,0,1,1,1,"Pulmonary Disease, Chronic Obstructive","AFR,AMR,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_7f0a185215562536,IL13,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,PRIMARY,False,True,3,AFR || AMR || EAS,0,3,0,262,265.0,284,0,0,True,False,False,True,False,True,False,True,False,GRCh38,COPD,Direct disease,Direct disease,B,B,0,1,1,1,"Pulmonary Disease, Chronic Obstructive","AFR,AMR,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_75373d2e995e29c7,IL1R1,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,PRIMARY,False,True,3,AFR || AMR || EAS,0,3,0,779,865.0,930,0,0,True,False,False,True,False,True,False,True,False,GRCh38,COPD,Direct disease,Direct disease,B,B,0,1,1,1,"Pulmonary Disease, Chronic Obstructive","AFR,AMR,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_04df48c5ba39ad54,IL1RL1,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,PRIMARY,False,True,3,AFR || AMR || EAS,0,3,0,653,776.0,802,1,0,True,False,False,True,False,True,False,True,False,GRCh38,COPD,Direct disease,Direct disease,B,B,0,1,1,1,"Pulmonary Disease, Chronic Obstructive","AFR,AMR,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_06e6ca91a1d5c2c3,IL33,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,PRIMARY,False,True,3,AFR || AMR || EAS,0,3,0,294,602.0,643,0,0,True,False,False,True,False,True,False,True,False,GRCh38,COPD,Direct disease,Direct disease,B,B,0,1,1,1,"Pulmonary Disease, Chronic Obstructive","AFR,AMR,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_6f6609fa8e0d87fe,IL4R,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,PRIMARY,False,True,3,AFR || AMR || EAS,0,3,0,431,581.0,630,0,0,True,False,False,True,False,True,False,True,False,GRCh38,COPD,Direct disease,Direct disease,B,B,0,1,1,1,"Pulmonary Disease, Chronic Obstructive","AFR,AMR,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_f34cd2ca051e960b,NR3C1,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,PRIMARY,False,True,3,AFR || AMR || EAS,0,3,0,506,604.0,640,0,0,True,False,False,True,False,True,False,True,False,GRCh38,COPD,Direct disease,Direct disease,A,A,1,0,1,1,"Pulmonary Disease, Chronic Obstructive","AFR,AMR,EAS",A,Launched/approved,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_f3dc92ab28823f74,PDE3A,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,PRIMARY,False,True,3,AFR || AMR || EAS,0,3,0,1315,1625.0,1761,0,0,True,False,False,True,False,True,False,True,False,GRCh38,COPD,Direct disease,Direct disease,B,B,0,1,1,1,"Pulmonary Disease, Chronic Obstructive","AFR,AMR,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_d6af00b513deb475,PDE4B,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,PRIMARY,False,True,3,AFR || AMR || EAS,0,3,0,1756,1878.0,2022,0,0,True,False,False,True,False,True,False,True,False,GRCh38,COPD,Direct disease,Direct disease,B,B,0,1,1,1,"Pulmonary Disease, Chronic Obstructive","AFR,AMR,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_67779b85c25ee171,PDE4D,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,PRIMARY,False,True,3,AFR || AMR || EAS,0,3,0,3233,3808.0,4247,0,0,True,False,False,True,False,True,False,True,False,GRCh38,COPD,Direct disease,Direct disease,B,B,0,1,1,1,"Pulmonary Disease, Chronic Obstructive","AFR,AMR,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_1c362988229c8005,RARG,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,PRIMARY,False,True,3,AFR || AMR || EAS,0,3,0,326,349.0,376,0,0,True,False,False,True,False,True,False,True,False,GRCh38,COPD,Direct disease,Direct disease,B,B,0,1,1,1,"Pulmonary Disease, Chronic Obstructive","AFR,AMR,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_3ff7791c43db60b1,SERPINA1,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,PRIMARY,False,True,3,AFR || AMR || EAS,0,3,0,545,753.0,814,1,0,True,False,False,True,False,True,False,True,False,GRCh38,COPD,Direct disease,Direct disease,B,B,0,1,1,1,"Pulmonary Disease, Chronic Obstructive","AFR,AMR,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_44622dded6eb753b,TSLP,GBMI,GBMI::COPD,Chronic obstructive pulmonary disease,PRIMARY,False,True,3,AFR || AMR || EAS,0,3,0,449,464.0,521,0,0,True,False,False,True,False,True,False,True,False,GRCh38,COPD,Direct disease,Direct disease,B,B,0,1,1,1,"Pulmonary Disease, Chronic Obstructive","AFR,AMR,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_e905fdaa484f8536,PPARG,GBMI,GBMI::Gout,Gout,PRIMARY,False,True,3,AFR || AMR || EAS,0,3,0,715,765.0,884,0,0,True,False,False,True,False,True,False,True,False,GRCh38,Gout,Direct disease,Direct disease,B,B,0,1,1,1,Gout,"AFR,AMR,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_2a7e2fce1378c79e,SLC22A12,GBMI,GBMI::Gout,Gout,PRIMARY,False,True,3,AFR || AMR || EAS,3,3,1,236,243.0,287,151,99,True,True,True,True,True,True,True,True,True,GRCh38,Gout,Direct disease,Direct disease,A,A,1,0,1,1,Gout,"AFR,AMR,EAS",A,Launched/approved,-0.7143098886348315,-0.9351119779702272,-0.9268437369114539,1.0,AFR,3.0,3.0,3.0,0.3333333333333333,-0.8710916706867925,False,0.1,ROBUST_DISTINCT,CONSISTENT_DISTINCT,1.0,EAS,ROBUST_DISTINCT,6.585850505864262e-10,6.585850505864262e-10,6.585850505864262e-10,True,True,True,BOTH
gt_a079fbca689ff34a,ENPEP,GBMI,GBMI::HF,Heart failure,PRIMARY,False,True,3,AFR || AMR || EAS,0,3,0,896,936.0,986,0,0,True,False,False,True,False,True,False,True,False,GRCh38,HF,Direct disease,Direct disease,B,B,0,1,1,1,Heart Failure,"AFR,AMR,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_03254368f30b6f1a,GRM7,GBMI,GBMI::Stroke,Stroke,PRIMARY,False,True,3,AFR || AMR || EAS,0,3,0,3014,3430.0,3670,0,0,True,False,False,True,False,True,False,True,False,GRCh38,Stroke,Direct disease,Direct disease,B,B,0,1,1,1,Stroke,"AFR,AMR,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_df4ae7bd29d46c68,NOS3,GBMI,GBMI::Stroke,Stroke,PRIMARY,False,True,3,AFR || AMR || EAS,0,3,0,377,421.0,441,0,0,True,False,False,True,False,True,False,True,False,GRCh38,Stroke,Direct disease,Direct disease,B,B,0,1,1,1,Stroke,"AFR,AMR,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_7833a3b8c0f390b0,PDE3A,GBMI,GBMI::Stroke,Stroke,PRIMARY,False,True,3,AFR || AMR || EAS,0,3,0,1280,1618.0,1660,0,0,True,False,False,True,False,True,False,True,False,GRCh38,Stroke,Direct disease,Direct disease,B,B,0,1,1,1,Stroke,"AFR,AMR,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_9ef583411089c1bf,F10,GBMI,GBMI::VTE,Venous thromboembolism,PRIMARY,False,True,3,AFR || AMR || EAS,0,3,0,346,425.0,482,1,0,True,False,False,True,False,True,False,True,False,GRCh38,VTE,Direct disease,Direct disease,A,A,1,0,1,1,Venous Thrombosis,"AFR,AMR,EAS",A,Launched/approved,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_fd539737d1f5d9cb,F11,GBMI,GBMI::VTE,Venous thromboembolism,PRIMARY,False,True,3,AFR || AMR || EAS,3,3,0,589,686.0,689,225,0,True,True,True,True,False,True,False,True,True,GRCh38,VTE,Direct disease,Direct disease,B,B,0,1,1,1,Venous Thrombosis,"AFR,AMR,EAS",B,Phase I-III/not launched,0.4266267365860111,0.11438076875490408,0.11232313106545172,3.0,AFR || AMR || EAS,23.0,6.0,8.0,0.6666666666666666,0.15323345945112482,False,0.1,,,,,,,,,True,False,False,PORTABILITY_ONLY
gt_698ec9454245813e,F2,GBMI,GBMI::VTE,Venous thromboembolism,PRIMARY,False,True,3,AFR || AMR || EAS,3,3,0,149,227.0,260,45,0,True,True,True,True,False,True,False,True,True,GRCh38,VTE,Direct disease,Direct disease,A,A,2,0,2,2,Pulmonary Embolism || Venous Thrombosis,"AFR,AMR,EAS",A,Launched/approved,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_eb75fbbeba239dab,VWF,GBMI,GBMI::VTE,Venous thromboembolism,PRIMARY,False,True,3,AFR || AMR || EAS,3,3,0,659,966.0,1166,36,0,True,True,True,True,False,True,False,True,True,GRCh38,VTE,Direct disease,Direct disease,B,B,0,1,1,1,Venous Thrombosis,"AFR,AMR,EAS",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_c2f3696fd5d03431,PNPLA3,Pan-UKB,Pan-UKB::biomarkers|30620|both_sexes||irnt,Alanine aminotransferase,PRIMARY,False,True,2,AFR || CSA,2,2,0,818,857.0,896,239,0,True,True,True,True,False,True,False,True,True,GRCh37,alanine_aminotransferase,Proxy biomarker,Proxy biomarker,B,B,0,1,1,1,Non-alcoholic Fatty Liver Disease,"AFR,CSA",B,Phase I-III/not launched,0.5967330685714508,0.5051107647233655,0.5033171170694805,2.0,AFR || CSA,13.0,6.0,6.5,0.6309523809523809,0.390472695909404,False,0.1,,,,,,,,,True,False,False,PORTABILITY_ONLY
gt_e2a7ed2a815c1261,TNFRSF1A,Pan-UKB,Pan-UKB::biomarkers|30600|both_sexes||irnt,Albumin,PRIMARY,False,True,2,AFR || CSA,0,2,0,514,548.0,582,0,0,True,False,False,True,False,True,False,True,False,GRCh37,albumin,Proxy biomarker,Proxy biomarker,B,B,0,1,1,1,Liver Cirrhosis,"AFR,CSA",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_0c5a522d1cea1ece,IL12B,Pan-UKB,Pan-UKB::biomarkers|30610|both_sexes||irnt,Alkaline phosphatase,PRIMARY,False,True,2,CSA || MID,0,2,0,458,467.0,476,0,0,True,False,False,True,False,True,False,True,False,GRCh37,alkaline_phosphatase,Proxy biomarker,Proxy biomarker,B,B,0,1,1,1,"Liver Cirrhosis, Biliary","CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_1ee1da015e26f543,ADIPOR2,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),PRIMARY,False,True,3,AFR || CSA || MID,0,3,0,774,921.0,942,0,0,True,False,False,True,False,True,False,True,False,GRCh37,body_mass_index,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Obesity,"AFR,CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_a3ed78d49b0c5aac,CALCA,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),PRIMARY,False,True,3,AFR || CSA || MID,0,3,0,256,296.0,305,0,0,True,False,False,True,False,True,False,True,False,GRCh37,body_mass_index,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Obesity,"AFR,CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_a0bbc31bfcb23525,CALCR,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),PRIMARY,False,True,3,AFR || CSA || MID,0,3,0,792,842.0,890,0,0,True,False,False,True,False,True,False,True,False,GRCh37,body_mass_index,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Obesity,"AFR,CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_7ef45295ac72754b,DPP4,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),PRIMARY,False,True,3,AFR || CSA || MID,0,3,0,428,618.0,622,0,0,True,False,False,True,False,True,False,True,False,GRCh37,body_mass_index,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Obesity,"AFR,CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_07bc6b913823d770,FGFR1,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),PRIMARY,False,True,3,AFR || CSA || MID,3,3,0,373,442.0,466,15,0,True,True,True,True,False,True,False,True,True,GRCh37,body_mass_index,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Obesity,"AFR,CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_5aa064f396f10864,FGFR4,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),PRIMARY,False,True,3,AFR || CSA || MID,3,3,0,454,653.0,662,4,0,True,True,True,True,False,True,False,True,True,GRCh37,body_mass_index,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Obesity,"AFR,CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_d79e322e54d14839,GDF15,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),PRIMARY,False,True,3,AFR || CSA || MID,3,3,0,485,534.0,554,36,0,True,True,True,True,False,True,False,True,True,GRCh37,body_mass_index,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Obesity,"AFR,CSA,MID",B,Phase I-III/not launched,0.27513665311236013,0.2377045663848132,0.23668718379848264,2.0,AFR || MID,6.0,3.0,3.0,0.3333333333333333,0.14708072297417085,False,0.1,,,,,,,,,True,False,False,PORTABILITY_ONLY
gt_a4b99530ba80c8ab,GFRAL,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),PRIMARY,False,True,3,AFR || CSA || MID,0,3,0,945,999.0,1320,0,0,True,False,False,True,False,True,False,True,False,GRCh37,body_mass_index,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Obesity,"AFR,CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_d815e2aa4bbcd69a,GHR,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),PRIMARY,False,True,3,AFR || CSA || MID,0,3,0,923,1139.0,1196,0,0,True,False,False,True,False,True,False,True,False,GRCh37,body_mass_index,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Obesity,"AFR,CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_e8a2392ea6c7a9e1,GIPR,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),PRIMARY,False,True,3,AFR || CSA || MID,3,3,0,489,534.0,550,26,0,True,True,True,True,False,True,False,True,True,GRCh37,body_mass_index,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Obesity,"AFR,CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_25ecabe6d3e507e8,GLP1R,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),PRIMARY,False,True,3,AFR || CSA || MID,0,3,0,712,798.0,826,0,0,True,False,False,True,False,True,False,True,False,GRCh37,body_mass_index,Direct quantitative readout,Direct quantitative readout,A,A,1,0,1,1,Obesity,"AFR,CSA,MID",A,Launched/approved,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_c3e1332e6c837d81,HSD11B1,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),PRIMARY,False,True,3,AFR || CSA || MID,0,3,0,555,704.0,725,0,0,True,False,False,True,False,True,False,True,False,GRCh37,body_mass_index,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Obesity,"AFR,CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_c1f964477a2c60d2,HTR1A,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),PRIMARY,False,True,3,AFR || CSA || MID,0,3,0,250,314.0,327,0,0,True,False,False,True,False,True,False,True,False,GRCh37,body_mass_index,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Obesity,"AFR,CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_c613c2c57d405093,IAPP,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),PRIMARY,False,True,3,AFR || CSA || MID,0,3,0,797,864.0,923,0,0,True,False,False,True,False,True,False,True,False,GRCh37,body_mass_index,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Obesity,"AFR,CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_3118096966414b21,INSR,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),PRIMARY,False,True,3,AFR || CSA || MID,0,3,0,958,1012.0,1039,0,0,True,False,False,True,False,True,False,True,False,GRCh37,body_mass_index,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Obesity,"AFR,CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_46885db53b6cf531,LEPR,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),PRIMARY,False,True,3,AFR || CSA || MID,3,3,0,1257,1346.0,1362,35,0,True,True,True,True,False,True,False,True,True,GRCh37,body_mass_index,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Obesity,"AFR,CSA,MID",B,Phase I-III/not launched,0.5793492619514347,-3.8143900596295133,-3.7678793552031546,1.0,MID,3.0,3.0,3.0,0.6666666666666666,-0.640217394218009,False,0.1,,,,,,,,,True,False,False,PORTABILITY_ONLY
gt_61df4e5e9ce876ed,MAPK1,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),PRIMARY,False,True,3,AFR || CSA || MID,0,3,0,657,854.0,876,0,0,True,False,False,True,False,True,False,True,False,GRCh37,body_mass_index,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Obesity,"AFR,CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_6925bb9b57369884,MAPK3,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),PRIMARY,False,True,3,AFR || CSA || MID,3,3,0,172,197.0,216,111,0,True,True,True,True,False,True,False,True,True,GRCh37,body_mass_index,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Obesity,"AFR,CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_6514a4bcc5411b53,MC1R,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),PRIMARY,False,True,3,AFR || CSA || MID,0,3,0,624,780.0,848,0,0,True,False,False,True,False,True,False,True,False,GRCh37,body_mass_index,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Obesity,"AFR,CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_e31188cc7b292717,MC4R,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),PRIMARY,False,True,3,AFR || CSA || MID,3,3,0,531,565.0,615,195,0,True,True,True,True,False,True,False,True,True,GRCh37,body_mass_index,Direct quantitative readout,Direct quantitative readout,A,A,1,0,1,1,Obesity,"AFR,CSA,MID",A,Launched/approved,1.149674891002018,0.6079558620566992,0.6042548187940305,3.0,AFR || CSA || MID,14.0,4.0,5.0,0.8,0.7798620334918254,False,0.1,,,,,,,,,True,False,False,PORTABILITY_ONLY
gt_d14085384e769d40,MTTP,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),PRIMARY,False,True,3,AFR || CSA || MID,0,3,0,694,797.0,924,0,0,True,False,False,True,False,True,False,True,False,GRCh37,body_mass_index,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Obesity,"AFR,CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
