gene_trait_uid,gene,candidate_source,candidate_trait_key,candidate_trait_name,unit_analysis_role,mixed_pool,primary_approval_eligible,n_comparison_ancestries,comparison_ancestries,n_portability_pre_ld_eligible_ancestries,n_coloc_input_eligible_ancestries,n_coloc_powered_both_ancestries,minimum_qc_qualified_variants,median_qc_qualified_variants,maximum_qc_qualified_variants,maximum_eur_gws_qc_variants,maximum_comparison_gws_qc_variants,primary_mechanistic_universe,portability_primary_locked,portability_sensitivity_locked,coloc_primary_locked,coloc_powered_primary_locked,coloc_sensitivity_locked,coloc_powered_sensitivity_locked,all_ancestries_coloc_input_eligible,all_ancestries_portability_pre_ld_eligible,genome_build,canonical_group,locked_mapping_tier,mapping_tiers_contributing,sensitivity_pool_assignment,pools,n_A_pairs,n_B_pairs,n_target_indication_pairs,n_indications,indications,non_eur_pops_available,approval_pool,approval_group,portability_deming_slope,portability_fiqt_slope,portability_naive_slope,portability_n_comparison_ancestries,portability_comparison_ancestries,portability_n_variants_total,portability_n_variants_minimum,portability_n_variants_median,portability_sign_concordance,portability_pearson_r,portability_any_deming_near_boundary,portability_primary_r2_threshold,unit_stability_final,primary_unit_category,coloc_n_powered_comparisons,coloc_powered_comparison_ancestries,coloc_comparison_stability_classes,coloc_primary_pp_h4_minimum,coloc_primary_pp_h4_median,coloc_primary_pp_h4_maximum,portability_final_available,coloc_powered_final_available,both_final_mechanisms_available,mechanistic_availability
gt_4129badd0cfdf3a3,PPARD,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),PRIMARY,False,True,3,AFR || CSA || MID,3,3,0,519,575.0,687,85,0,True,True,True,True,False,True,False,True,True,GRCh37,body_mass_index,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Obesity,"AFR,CSA,MID",B,Phase I-III/not launched,0.9634978888961963,1.3940860499416985,1.3886204351108624,2.0,CSA || MID,6.0,3.0,3.0,1.0,0.8387828103794122,False,0.1,,,,,,,,,True,False,False,PORTABILITY_ONLY
gt_00419bc476176825,PPARG,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),PRIMARY,False,True,3,AFR || CSA || MID,3,3,0,731,879.0,914,3,0,True,True,True,True,False,True,False,True,True,GRCh37,body_mass_index,Direct quantitative readout,Direct quantitative readout,A,A,1,0,1,1,Obesity,"AFR,CSA,MID",A,Launched/approved,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_5d3db36ffbf5ebc1,SLC6A4,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),PRIMARY,False,True,3,AFR || CSA || MID,3,3,0,290,341.0,359,5,0,True,True,True,True,False,True,False,True,True,GRCh37,body_mass_index,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Obesity,"AFR,CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_3bedb9eda24a2e46,SREBF1,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),PRIMARY,False,True,3,AFR || CSA || MID,0,3,0,230,274.0,285,0,0,True,False,False,True,False,True,False,True,False,GRCh37,body_mass_index,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Obesity,"AFR,CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_86b456c209fcf4df,SREBF2,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),PRIMARY,False,True,3,AFR || CSA || MID,0,3,0,533,638.0,648,2,0,True,False,False,True,False,True,False,True,False,GRCh37,body_mass_index,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Obesity,"AFR,CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_fa7c0f92ccea41a7,ALDH2,Pan-UKB,Pan-UKB::continuous|eGFR|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine",PRIMARY,False,True,2,CSA || MID,2,2,0,304,307.5,311,5,0,True,True,True,True,False,True,False,True,True,GRCh37,egfr_creatinine,Proxy biomarker,Proxy biomarker,B,B,0,1,1,1,Renal Insufficiency,"CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_2f8ebd8b90936da0,APOL1,Pan-UKB,Pan-UKB::continuous|eGFR|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine",PRIMARY,False,True,2,CSA || MID,2,2,0,773,793.5,814,10,0,True,True,True,True,False,True,False,True,True,GRCh37,egfr_creatinine,Proxy biomarker,Proxy biomarker,B,B,0,2,2,2,"Glomerulosclerosis, Focal Segmental || Renal Insufficiency","CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_37da45aa8547319c,AXL,Pan-UKB,Pan-UKB::continuous|eGFR|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine",PRIMARY,False,True,2,CSA || MID,0,2,0,642,647.0,652,0,0,True,False,False,True,False,True,False,True,False,GRCh37,egfr_creatinine,Proxy biomarker,Proxy biomarker,B,B,0,1,1,1,"Glomerulonephritis, IGA","CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_815416408d11e054,GLP1R,Pan-UKB,Pan-UKB::continuous|eGFR|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine",PRIMARY,False,True,2,CSA || MID,2,2,0,798,812.5,827,16,0,True,True,True,True,False,True,False,True,True,GRCh37,egfr_creatinine,Proxy biomarker,Proxy biomarker,B,B,0,1,1,1,Renal Insufficiency,"CSA,MID",B,Phase I-III/not launched,,,,,,,,,,,,,,,,,,,,,False,False,False,NEITHER
gt_72ede56b8ff4d0df,KCNJ1,Pan-UKB,Pan-UKB::continuous|eGFR|both_sexes||irnt,"Estimated glomerular filtration rate, serum creatinine",PRIMARY,False,True,2,CSA || MID,2,2,0,784,793.5,803,72,0,True,True,True,True,False,True,False,True,True,GRCh37,egfr_creatinine,Proxy biomarker,Proxy biomarker,B,B,0,1,1,1,Renal Insufficiency,"CSA,MID",B,Phase I-III/not launched,0.9371792413646647,0.9117250559825446,0.9049973402223881,2.0,CSA || MID,6.0,3.0,3.0,0.6666666666666666,-0.11734205506025297,False,0.1,,,,,,,,,True,False,False,PORTABILITY_ONLY
