comparison_uid,gene_trait_uid,gene,candidate_source,candidate_trait_key,candidate_trait_name,comparison_population,unit_analysis_role,mixed_pool,primary_approval_eligible,eur_extraction_key,comparison_extraction_key,eur_extraction_status,eur_extraction_parquet,comparison_extraction_status,comparison_extraction_parquet,both_extractions_available
cmp_ffb3cf3226c5feca,gt_c3e1332e6c837d81,HSD11B1,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),AFR,PRIMARY,False,True,gt_c3e1332e6c837d81,gt_c3e1332e6c837d81,EXTRACTED,intermediate/15b3/Pan-UKB/gt_c3e1332e6c837d81.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_c3e1332e6c837d81.parquet,True
cmp_968af00a51bb2df7,gt_c3e1332e6c837d81,HSD11B1,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),CSA,PRIMARY,False,True,gt_c3e1332e6c837d81,gt_c3e1332e6c837d81,EXTRACTED,intermediate/15b3/Pan-UKB/gt_c3e1332e6c837d81.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_c3e1332e6c837d81.parquet,True
cmp_9bf2694e57943858,gt_c3e1332e6c837d81,HSD11B1,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),MID,PRIMARY,False,True,gt_c3e1332e6c837d81,gt_c3e1332e6c837d81,EXTRACTED,intermediate/15b3/Pan-UKB/gt_c3e1332e6c837d81.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_c3e1332e6c837d81.parquet,True
cmp_80175672b39655ce,gt_c1f964477a2c60d2,HTR1A,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),AFR,PRIMARY,False,True,gt_c1f964477a2c60d2,gt_c1f964477a2c60d2,EXTRACTED,intermediate/15b3/Pan-UKB/gt_c1f964477a2c60d2.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_c1f964477a2c60d2.parquet,True
cmp_e1e56086d8f841e1,gt_c1f964477a2c60d2,HTR1A,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),CSA,PRIMARY,False,True,gt_c1f964477a2c60d2,gt_c1f964477a2c60d2,EXTRACTED,intermediate/15b3/Pan-UKB/gt_c1f964477a2c60d2.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_c1f964477a2c60d2.parquet,True
cmp_885f982fca055dee,gt_c1f964477a2c60d2,HTR1A,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),MID,PRIMARY,False,True,gt_c1f964477a2c60d2,gt_c1f964477a2c60d2,EXTRACTED,intermediate/15b3/Pan-UKB/gt_c1f964477a2c60d2.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_c1f964477a2c60d2.parquet,True
cmp_71b7ddb719e3cb03,gt_c613c2c57d405093,IAPP,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),AFR,PRIMARY,False,True,gt_c613c2c57d405093,gt_c613c2c57d405093,EXTRACTED,intermediate/15b3/Pan-UKB/gt_c613c2c57d405093.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_c613c2c57d405093.parquet,True
cmp_ea327d1dd0a42d69,gt_c613c2c57d405093,IAPP,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),CSA,PRIMARY,False,True,gt_c613c2c57d405093,gt_c613c2c57d405093,EXTRACTED,intermediate/15b3/Pan-UKB/gt_c613c2c57d405093.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_c613c2c57d405093.parquet,True
cmp_586b6611324ad428,gt_c613c2c57d405093,IAPP,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),MID,PRIMARY,False,True,gt_c613c2c57d405093,gt_c613c2c57d405093,EXTRACTED,intermediate/15b3/Pan-UKB/gt_c613c2c57d405093.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_c613c2c57d405093.parquet,True
cmp_e34cdd484ad3fd0a,gt_3118096966414b21,INSR,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),AFR,PRIMARY,False,True,gt_3118096966414b21,gt_3118096966414b21,EXTRACTED,intermediate/15b3/Pan-UKB/gt_3118096966414b21.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_3118096966414b21.parquet,True
cmp_6ec0097c5bdac67b,gt_3118096966414b21,INSR,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),CSA,PRIMARY,False,True,gt_3118096966414b21,gt_3118096966414b21,EXTRACTED,intermediate/15b3/Pan-UKB/gt_3118096966414b21.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_3118096966414b21.parquet,True
cmp_72dfdcaeb4fc2bab,gt_3118096966414b21,INSR,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),MID,PRIMARY,False,True,gt_3118096966414b21,gt_3118096966414b21,EXTRACTED,intermediate/15b3/Pan-UKB/gt_3118096966414b21.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_3118096966414b21.parquet,True
cmp_04802c9d74f9e732,gt_46885db53b6cf531,LEPR,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),AFR,PRIMARY,False,True,gt_46885db53b6cf531,gt_46885db53b6cf531,EXTRACTED,intermediate/15b3/Pan-UKB/gt_46885db53b6cf531.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_46885db53b6cf531.parquet,True
cmp_fd7bee0b4f0c8705,gt_46885db53b6cf531,LEPR,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),CSA,PRIMARY,False,True,gt_46885db53b6cf531,gt_46885db53b6cf531,EXTRACTED,intermediate/15b3/Pan-UKB/gt_46885db53b6cf531.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_46885db53b6cf531.parquet,True
cmp_e3f2f647f7cf5c3c,gt_46885db53b6cf531,LEPR,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),MID,PRIMARY,False,True,gt_46885db53b6cf531,gt_46885db53b6cf531,EXTRACTED,intermediate/15b3/Pan-UKB/gt_46885db53b6cf531.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_46885db53b6cf531.parquet,True
cmp_78452397ae97612a,gt_61df4e5e9ce876ed,MAPK1,Pan-UKB,Pan-UKB::continuous|21001|both_sexes||irnt,Body mass index (BMI),AFR,PRIMARY,False,True,gt_61df4e5e9ce876ed,gt_61df4e5e9ce876ed,EXTRACTED,intermediate/15b3/Pan-UKB/gt_61df4e5e9ce876ed.parquet,EXTRACTED,intermediate/15b3/Pan-UKB/gt_61df4e5e9ce876ed.parquet,True
