gene_trait_uid,gene,candidate_source,candidate_trait_key,candidate_trait_name,unit_analysis_role,mixed_pool,primary_approval_eligible,n_comparison_ancestries,comparison_ancestries,n_portability_pre_ld_eligible_ancestries,n_coloc_input_eligible_ancestries,n_coloc_powered_both_ancestries,minimum_qc_qualified_variants,median_qc_qualified_variants,maximum_qc_qualified_variants,maximum_eur_gws_qc_variants,maximum_comparison_gws_qc_variants,primary_mechanistic_universe,portability_primary_locked,portability_sensitivity_locked,coloc_primary_locked,coloc_powered_primary_locked,coloc_sensitivity_locked,coloc_powered_sensitivity_locked,all_ancestries_coloc_input_eligible,all_ancestries_portability_pre_ld_eligible,genome_build,canonical_group,locked_mapping_tier,mapping_tiers_contributing,sensitivity_pool_assignment,pools,n_A_pairs,n_B_pairs,n_target_indication_pairs,n_indications,indications,non_eur_pops_available
gt_5b728915d445b416,PPARG,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),PRIMARY,False,True,2,CSA || MID,2,2,0,881,896.5,912,325,0,True,True,True,True,False,True,False,True,True,GRCh37,hba1c,Direct quantitative readout,Direct quantitative readout,A,A,1,0,1,1,"Diabetes Mellitus, Type 2","CSA,MID"
gt_f49766f3ae4b8a2f,SREBF1,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),PRIMARY,False,True,2,CSA || MID,2,2,0,274,279.5,285,183,0,True,True,True,True,False,True,False,True,True,GRCh37,hba1c,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Diabetes Mellitus,"CSA,MID"
gt_f9d79082a44b2223,TP53,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),PRIMARY,False,True,2,CSA || MID,2,2,0,565,580.0,595,123,0,True,True,True,True,False,True,False,True,True,GRCh37,hba1c,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Diabetes Mellitus,"CSA,MID"
gt_dab1180e9c6840b2,VEGFA,Pan-UKB,Pan-UKB::biomarkers|30750|both_sexes||irnt,Glycated haemoglobin (HbA1c),PRIMARY,False,True,2,CSA || MID,2,2,0,593,599.0,605,28,0,True,True,True,True,False,True,False,True,True,GRCh37,hba1c,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,"Diabetes Mellitus, Type 2","CSA,MID"
gt_df32c27b840a5558,ACVRL1,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,PRIMARY,False,True,1,CSA,1,1,0,476,476.0,476,19,0,True,True,True,True,False,True,False,True,True,GRCh37,haemoglobin,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Anemia,CSA
gt_6543c2a00ddc02f5,EGLN1,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,PRIMARY,False,True,1,CSA,1,1,0,658,658.0,658,255,0,True,True,True,True,False,True,False,True,True,GRCh37,haemoglobin,Direct quantitative readout,Direct quantitative readout,A,A,1,0,1,1,Anemia,CSA
gt_6100c7305905baed,EGLN2,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,PRIMARY,False,True,1,CSA,1,1,0,805,805.0,805,109,0,True,True,True,True,False,True,False,True,True,GRCh37,haemoglobin,Direct quantitative readout,Direct quantitative readout,A,A,1,0,1,1,Anemia,CSA
gt_e581489a9e9ecfc2,EGLN3,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,PRIMARY,False,True,1,CSA,1,1,0,2543,2543.0,2543,33,0,True,True,True,True,False,True,False,True,True,GRCh37,haemoglobin,Direct quantitative readout,Direct quantitative readout,A,A,1,0,1,1,Anemia,CSA
gt_75fe57ef3df525f5,PKLR,Pan-UKB,Pan-UKB::continuous|30020|both_sexes||irnt,Haemoglobin concentration,PRIMARY,False,True,1,CSA,1,1,0,212,212.0,212,30,0,True,True,True,True,False,True,False,True,True,GRCh37,haemoglobin,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Anemia,CSA
gt_709069d1feb6b869,ESR1,Pan-UKB,Pan-UKB::continuous|3148|both_sexes||irnt,Heel bone mineral density (BMD),PRIMARY,False,True,1,CSA,1,1,0,2117,2117.0,2117,480,0,True,True,True,True,False,True,False,True,True,GRCh37,heel_bone_mineral_density,Direct quantitative readout,Direct quantitative readout,A,A,1,0,1,1,Osteoporosis,CSA
gt_49fc2519dd5d448f,GHRHR,Pan-UKB,Pan-UKB::continuous|3148|both_sexes||irnt,Heel bone mineral density (BMD),PRIMARY,False,True,1,CSA,1,1,0,759,759.0,759,58,0,True,True,True,True,False,True,False,True,True,GRCh37,heel_bone_mineral_density,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Osteoporosis,CSA
gt_1a54193972b2aa21,SOST,Pan-UKB,Pan-UKB::continuous|3148|both_sexes||irnt,Heel bone mineral density (BMD),PRIMARY,False,True,1,CSA,1,1,0,390,390.0,390,180,0,True,True,True,True,False,True,False,True,True,GRCh37,heel_bone_mineral_density,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Osteoporosis,CSA
gt_95af7ca2e8a7e102,ABCA1,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,PRIMARY,False,True,1,CSA,1,1,0,1286,1286.0,1286,73,0,True,True,True,True,False,True,False,True,True,GRCh37,ldl_cholesterol,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Hyperlipidemias,CSA
gt_bbdbb86b1024cfac,ADRB1,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,PRIMARY,False,True,1,CSA,1,1,0,497,497.0,497,13,0,True,True,True,True,False,True,False,True,True,GRCh37,ldl_cholesterol,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Hyperlipidemias,CSA
gt_1c018fe9f451c0ea,ANGPTL8,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,PRIMARY,False,True,1,CSA,1,1,0,663,663.0,663,177,0,True,True,True,True,False,True,False,True,True,GRCh37,ldl_cholesterol,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Hyperlipidemias,CSA
gt_25de020ab85c0f34,APOA1,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,PRIMARY,False,True,1,CSA,1,1,0,605,605.0,605,250,0,True,True,True,True,False,True,False,True,True,GRCh37,ldl_cholesterol,Direct quantitative readout,Direct quantitative readout,B,B,0,3,3,3,Hypercholesterolemia || Hyperlipidemias || Hyperlipoproteinemia Type II,CSA
gt_e4eae46191577e93,APOC3,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,PRIMARY,False,True,1,CSA,1,1,0,599,599.0,599,252,0,True,True,True,True,False,True,False,True,True,GRCh37,ldl_cholesterol,Direct quantitative readout,Direct quantitative readout,B,B,0,3,3,3,Dyslipidemias || Hypercholesterolemia || Hyperlipidemias,CSA
gt_0b0678ba83486ccf,APOE,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,PRIMARY,False,True,1,CSA,1,1,1,612,612.0,612,403,11,True,True,True,True,True,True,True,True,True,GRCh37,ldl_cholesterol,Direct quantitative readout,Direct quantitative readout,B,B,0,1,1,1,Hyperlipoproteinemia Type II,CSA
gt_cbb5ddcaa2f8a827,CETP,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,PRIMARY,False,True,1,CSA,1,1,0,805,805.0,805,52,0,True,True,True,True,False,True,False,True,True,GRCh37,ldl_cholesterol,Direct quantitative readout,Direct quantitative readout,B,B,0,3,3,3,Hypercholesterolemia || Hyperlipidemias || Hyperlipoproteinemia Type II,CSA
gt_fdbaedc51aaa106f,HMGCR,Pan-UKB,Pan-UKB::biomarkers|30780|both_sexes||irnt,LDL direct,PRIMARY,False,True,1,CSA,1,1,0,474,474.0,474,371,0,True,True,True,True,False,True,False,True,True,GRCh37,ldl_cholesterol,Direct quantitative readout,Direct quantitative readout,A,A,3,0,3,3,Dyslipidemias || Hypercholesterolemia || Hyperlipidemias,CSA
