indication_mesh_id,indication_mesh_term,n_pairs,n_A,n_B,exposure,A_mean,B_mean,A_minus_B
D007676,"Kidney Failure, Chronic",6,1,5,has_african,0.0,0.6,-0.6
D007676,"Kidney Failure, Chronic",6,1,5,has_east_asian,0.0,0.2,-0.2
D007676,"Kidney Failure, Chronic",6,1,5,has_south_asian,0.0,0.4,-0.4
D008269,Macular Edema,4,1,3,n_ancestries_all,3.0,1.0,2.0
D008269,Macular Edema,4,1,3,n_ancestries_initial,3.0,1.0,2.0
D008269,Macular Edema,4,1,3,n_ancestries_replication,2.0,1.0,1.0
D008269,Macular Edema,4,1,3,has_replication,1.0,1.0,0.0
D008269,Macular Edema,4,1,3,has_african,0.0,0.0,0.0
D008269,Macular Edema,4,1,3,has_east_asian,1.0,0.0,1.0
D008269,Macular Edema,4,1,3,has_south_asian,1.0,0.0,1.0
D008593,Menopause,2,1,1,n_ancestries_all,2.0,2.0,0.0
D008593,Menopause,2,1,1,n_ancestries_initial,2.0,2.0,0.0
D008593,Menopause,2,1,1,n_ancestries_replication,0.0,0.0,0.0
D008593,Menopause,2,1,1,has_replication,0.0,0.0,0.0
D008593,Menopause,2,1,1,has_african,0.0,0.0,0.0
D008593,Menopause,2,1,1,has_east_asian,1.0,1.0,0.0
D008593,Menopause,2,1,1,has_south_asian,0.0,0.0,0.0
D008881,Migraine Disorders,3,2,1,n_ancestries_all,1.0,1.0,0.0
D008881,Migraine Disorders,3,2,1,n_ancestries_initial,1.0,1.0,0.0
D008881,Migraine Disorders,3,2,1,n_ancestries_replication,0.0,1.0,-1.0
D008881,Migraine Disorders,3,2,1,has_replication,0.0,1.0,-1.0
D008881,Migraine Disorders,3,2,1,has_african,0.0,0.0,0.0
D008881,Migraine Disorders,3,2,1,has_east_asian,0.0,0.0,0.0
D008881,Migraine Disorders,3,2,1,has_south_asian,0.0,0.0,0.0
D009203,Myocardial Infarction,2,1,1,n_ancestries_all,6.0,6.0,0.0
D009203,Myocardial Infarction,2,1,1,n_ancestries_initial,6.0,6.0,0.0
D009203,Myocardial Infarction,2,1,1,n_ancestries_replication,0.0,0.0,0.0
D009203,Myocardial Infarction,2,1,1,has_replication,0.0,0.0,0.0
D009203,Myocardial Infarction,2,1,1,has_african,1.0,1.0,0.0
D009203,Myocardial Infarction,2,1,1,has_east_asian,1.0,1.0,0.0
