estimator,model_id,exposure_model,term,beta,standard_error,odds_ratio,ci_low,ci_high,p_value
fixed_effect_logit_cluster_gene,W3,n_ancestries_all,earliest_year_centered,-0.01495611383197296,0.05569616319295529,0.9851551733398441,0.8832750890510697,1.0987864682122193,0.7882910662635918
conditional_logit,W1,n_ancestries_initial,n_ancestries_initial,0.10406793659764017,0.06336643531974664,1.1096758399559021,0.9800732213378277,1.2564168094512036,0.10052379416372124
fixed_effect_logit_cluster_gene,W1,n_ancestries_initial,Intercept,-2.4208917693740757,1.118751198844823,0.08884235523130933,0.009916018226004093,0.7959811996258123,0.030470237543213676
fixed_effect_logit_cluster_gene,W1,n_ancestries_initial,n_ancestries_initial,0.11435100620538345,0.09243629904125175,1.1211455848840952,0.9353627932506683,1.343828759894071,0.21605774787707654
conditional_logit,W2,n_ancestries_initial,n_ancestries_initial,-0.11601409441156642,0.09239565179006405,0.8904626726616328,0.7429650724030027,1.067242325186448,0.2092527318645201
conditional_logit,W2,n_ancestries_initial,log_studies,0.6593666576669771,0.19711188211516867,1.9335673364735173,1.313945532851276,2.845386320210938,0.0008224132257716422
fixed_effect_logit_cluster_gene,W2,n_ancestries_initial,Intercept,-3.41698459057394,1.365951720222637,0.03281122519536361,0.002255912420430926,0.4772244210682677,0.012365403214322092
fixed_effect_logit_cluster_gene,W2,n_ancestries_initial,n_ancestries_initial,-0.13273992503421297,0.12460404507015393,0.8756928082730023,0.685943946182015,1.1179308436633932,0.28674296721580395
fixed_effect_logit_cluster_gene,W2,n_ancestries_initial,log_studies,0.7417807062356643,0.24613078134771643,2.0996710849242564,1.2961174765490888,3.4014036108863723,0.002580263014061125
conditional_logit,W3,n_ancestries_initial,n_ancestries_initial,-0.11648088163945143,0.0923442033356464,0.8900471130556299,0.7426932339955884,1.0666367043588372,0.20717294377590878
conditional_logit,W3,n_ancestries_initial,log_studies,0.6344105806839033,0.2388405468907785,1.885910221884289,1.1809175378001557,3.011774532227782,0.007902445387586032
conditional_logit,W3,n_ancestries_initial,earliest_year_centered,-0.008279087606151165,0.04485704980942979,0.9917550896557586,0.9082848031678312,1.0828961955849854,0.853569432167953
fixed_effect_logit_cluster_gene,W3,n_ancestries_initial,Intercept,-3.3744749811094312,1.34633741686256,0.03423608818702861,0.002446130650509207,0.47916890052704425,0.01219637400534197
fixed_effect_logit_cluster_gene,W3,n_ancestries_initial,n_ancestries_initial,-0.1331358632140837,0.12492441383636879,0.8753461566871964,0.6852420022719684,1.1181902035872773,0.28654510528416655
fixed_effect_logit_cluster_gene,W3,n_ancestries_initial,log_studies,0.7130884776801335,0.26741501124076583,2.0402829060557903,1.2079982933511701,3.445993557818158,0.007662314091356091
fixed_effect_logit_cluster_gene,W3,n_ancestries_initial,earliest_year_centered,-0.00942939616824202,0.05415172092408781,0.9906149211831321,0.8908628256346885,1.101536503525703,0.8617639207427863
conditional_logit,W1,n_ancestries_replication,n_ancestries_replication,0.2093948512017487,0.07829027698789745,1.2329317270053517,1.0575434599420999,1.4374072565676168,0.007481938149607424
fixed_effect_logit_cluster_gene,W1,n_ancestries_replication,Intercept,-2.48628475872396,1.1166768901543072,0.08321857001834136,0.009326166328841215,0.7425698997540889,0.025980489521254597
