indication_mesh_id,indication_mesh_term,n_pairs,n_genes,n_A,n_B,has_exact_candidate,best_overall_score,binary_candidate_1,binary_candidate_2,binary_candidate_3,selected_panukb_phenotype_id,mapping_tier,mapping_rationale,reviewer_notes,exclude_reason,quantitative_candidate_1,quantitative_candidate_2
D000437,Alcoholism,2,2,0,2,False,14.25,"id=categorical|20117|both_sexes|0| | type=categorical | description=Alcohol drinker status | pops=AFR,CSA,EUR,MID | N_AFR=1011 | N_AMR=64 | N_CSA=3558 | N_EAS=555 | N_EUR=13195 | N_MID=469 | rank_score=14.25 | containment=0.0 | exact=False","id=categorical|20117|both_sexes|1| | type=categorical | description=Alcohol drinker status | pops=EUR,MID | N_AFR=344 | N_CSA=472 | N_EAS=118 | N_EUR=14616 | N_MID=111 | rank_score=14.25 | containment=0.0 | exact=False","id=categorical|20117|both_sexes|2| | type=categorical | description=Alcohol drinker status | pops=AFR,CSA,EUR,MID | N_AFR=5189 | N_AMR=868 | N_CSA=4618 | N_EAS=1983 | N_EUR=392125 | N_MID=979 | rank_score=14.25 | containment=0.0 | exact=False",,,,,,"id=biomarkers|30680|both_sexes||irnt | type=biomarkers | description=Calcium | pops=CSA,EUR | N_AFR=5758 | N_AMR=856 | N_CSA=7697 | N_EAS=2344 | N_EUR=367050 | N_MID=1361 | rank_score=11.764705882352942 | containment=0.0 | exact=False",
D000755,"Anemia, Sickle Cell",2,2,0,2,False,30.270078180525942,,,,,,,,,"id=continuous|30270|both_sexes||irnt | type=continuous | description=Mean sphered cell volume | pops=AFR,CSA,EUR | N_AFR=6108 | N_AMR=926 | N_CSA=8315 | N_EAS=2582 | N_EUR=401345 | N_MID=1518 | rank_score=30.270078180525942 | containment=0.3333333333333333 | exact=False","id=continuous|30000|both_sexes||irnt | type=continuous | description=White blood cell (leukocyte) count | pops=CSA,EUR | N_AFR=6281 | N_AMR=950 | N_CSA=8532 | N_EAS=2632 | N_EUR=407990 | N_MID=1548 | rank_score=25.720078546882668 | containment=0.3333333333333333 | exact=False"
D002289,"Carcinoma, Non-Small-Cell Lung",2,2,1,1,False,27.9147465437788,"id=categorical|20002|both_sexes|1065| | type=categorical | description=Non-cancer illness code, self-reported | pops=CSA,EAS,EUR | N_AFR=2519 | N_AMR=203 | N_CSA=2564 | N_EAS=563 | N_EUR=109307 | N_MID=374 | rank_score=22.34236515573563 | containment=0.2 | exact=False","id=categorical|20002|both_sexes|1074| | type=categorical | description=Non-cancer illness code, self-reported | pops=CSA,EUR | N_AFR=150 | N_CSA=494 | N_EUR=13408 | N_MID=72 | rank_score=22.34236515573563 | containment=0.2 | exact=False","id=categorical|20002|both_sexes|1111| | type=categorical | description=Non-cancer illness code, self-reported | pops=CSA,EUR | N_AFR=795 | N_AMR=106 | N_CSA=1083 | N_EAS=238 | N_EUR=48865 | N_MID=176 | rank_score=22.34236515573563 | containment=0.2 | exact=False",,,,,,"id=continuous|NAP|both_sexes||irnt | type=continuous | description=Non-albumin protein | pops=CSA,EAS,EUR | N_AFR=5765 | N_AMR=858 | N_CSA=7707 | N_EAS=2344 | N_EUR=368642 | N_MID=1367 | rank_score=27.9147465437788 | containment=0.3333333333333333 | exact=False","id=continuous|30270|both_sexes||irnt | type=continuous | description=Mean sphered cell volume | pops=AFR,CSA,EUR | N_AFR=6108 | N_AMR=926 | N_CSA=8315 | N_EAS=2582 | N_EUR=401345 | N_MID=1518 | rank_score=24.95315549772284 | containment=0.25 | exact=False"
D003863,Depression,2,2,1,1,False,54.70802315963606,"id=categorical|20111|both_sexes|1| | type=categorical | description=Illnesses of siblings | pops=AFR,EUR | N_AFR=233 | N_AMR=57 | N_CSA=1178 | N_EAS=191 | N_EUR=34434 | N_MID=132 | rank_score=54.70802315963606 | containment=1.0 | exact=False","id=categorical|20111|both_sexes|100| | type=categorical | description=Illnesses of siblings | pops=CSA,EUR | N_AFR=2911 | N_AMR=514 | N_CSA=3631 | N_EAS=1325 | N_EUR=223101 | N_MID=767 | rank_score=54.70802315963606 | containment=1.0 | exact=False","id=categorical|20111|both_sexes|101| | type=categorical | description=Illnesses of siblings | pops=AFR,EUR | N_AFR=4471 | N_AMR=635 | N_CSA=6489 | N_EAS=1930 | N_EUR=281648 | N_MID=1060 | rank_score=54.70802315963606 | containment=1.0 | exact=False",,,,,,,
D003865,"Depressive Disorder, Major",2,2,1,1,False,47.129841789416254,"id=icd10|F32|both_sexes|| | type=icd10 | description=F32 Depressive episode | pops=CSA,EUR | N_AFR=187 | N_CSA=277 | N_EUR=15674 | N_MID=76 | rank_score=47.129841789416254 | containment=0.5 | exact=False","id=categorical|1538|both_sexes|0| | type=categorical | description=Major dietary changes in the last 5 years | pops=CSA,EUR | N_AFR=2892 | N_AMR=473 | N_CSA=4511 | N_EAS=1726 | N_EUR=257507 | N_MID=855 | rank_score=34.307245386192754 | containment=0.5 | exact=False","id=categorical|1538|both_sexes|1| | type=categorical | description=Major dietary changes in the last 5 years | pops=CSA,EUR | N_AFR=1260 | N_AMR=114 | N_CSA=1766 | N_EAS=236 | N_EUR=44564 | N_MID=288 | rank_score=34.307245386192754 | containment=0.5 | exact=False",,,,,,"id=continuous|20519|both_sexes|| | type=continuous | description=Recent feelings of tiredness or low energy | pops=CSA,EUR | N_AFR=934 | N_AMR=251 | N_CSA=1177 | N_EAS=593 | N_EUR=136086 | N_MID=280 | rank_score=30.04234701931003 | containment=0.5 | exact=False","id=continuous|20508|both_sexes|| | type=continuous | description=Recent trouble concentrating on things | pops=CSA,EUR | N_AFR=935 | N_CSA=1179 | N_EAS=594 | N_EUR=136161 | N_MID=282 | rank_score=27.424055829228244 | containment=0.5 | exact=False"
D017719,Diabetic Foot,2,2,0,2,False,13.666666666666666,"id=phecode|250|both_sexes|| | type=phecode | description=Diabetes mellitus | pops=CSA,EUR | N_AFR=843 | N_CSA=1695 | N_EAS=154 | N_EUR=24348 | N_MID=175 | rank_score=13.666666666666666 | containment=0.0 | exact=False","id=categorical|4294|both_sexes|0| | type=categorical | description=Final attempt correct | pops=CSA,EUR | N_AFR=541 | N_AMR=61 | N_CSA=822 | N_EAS=166 | N_EUR=5328 | N_MID=110 | rank_score=12.215686274509803 | containment=0.0 | exact=False","id=categorical|2443|both_sexes|2443| | type=categorical | description=Diabetes diagnosed by doctor | pops=CSA,EUR | N_AFR=777 | N_CSA=1554 | N_EAS=159 | N_EUR=20294 | N_MID=175 | rank_score=11.812642145714062 | containment=0.0 | exact=False",,,,,,,
D004700,Endocrine System Diseases,2,2,0,2,False,39.95652173913044,"id=phecode|530|both_sexes|| | type=phecode | description=Diseases of esophagus | pops=EUR,MID | N_AFR=519 | N_AMR=95 | N_CSA=964 | N_EAS=151 | N_EUR=42944 | N_MID=172 | rank_score=39.95652173913044 | containment=0.5 | exact=False","id=icd10|Z86|both_sexes|| | type=icd10 | description=Z86 Personal history of certain other diseases | pops=EUR,MID | N_AFR=798 | N_AMR=131 | N_CSA=1069 | N_EAS=190 | N_EUR=64593 | N_MID=230 | rank_score=33.40164061290822 | containment=0.3333333333333333 | exact=False","id=phecode|530.1|both_sexes|| | type=phecode | description=Esophagitis, GERD and related diseases | pops=EUR,MID | N_AFR=478 | N_AMR=87 | N_CSA=910 | N_EAS=139 | N_EUR=40018 | N_MID=157 | rank_score=33.32258064516129 | containment=0.3333333333333333 | exact=False",,,,,,,
D004827,Epilepsy,2,2,2,0,False,11.695652173913045,"id=phecode|327|both_sexes|| | type=phecode | description=Sleep disorders | pops=CSA,EUR | N_AFR=141 | N_CSA=174 | N_EUR=6623 | N_MID=52 | rank_score=11.695652173913045 | containment=0.0 | exact=False","id=icd10|G47|both_sexes|| | type=icd10 | description=G47 Sleep disorders | pops=CSA,EUR | N_AFR=140 | N_CSA=173 | N_EUR=6557 | N_MID=52 | rank_score=11.316498316498317 | containment=0.0 | exact=False","id=phecode|716|both_sexes|| | type=phecode | description=Other arthropathies | pops=EAS,EUR | N_AFR=607 | N_AMR=74 | N_CSA=881 | N_EAS=117 | N_EUR=42030 | N_MID=123 | rank_score=10.407407407407408 | containment=0.0 | exact=False",,,,,,,
D004829,"Epilepsy, Generalized",2,2,2,0,False,11.723640399556048,"id=icd10|Z72|both_sexes|| | type=icd10 | description=Z72 Problems related to lifestyle | pops=AFR,EUR | N_AFR=230 | N_CSA=294 | N_EUR=21081 | N_MID=70 | rank_score=11.723640399556048 | containment=0.0 | exact=False","id=categorical|1707|both_sexes|1| | type=categorical | description=Handedness (chirality/laterality) | pops=CSA,EUR | N_AFR=6038 | N_AMR=880 | N_CSA=7976 | N_EAS=2450 | N_EUR=373044 | N_MID=1435 | rank_score=11.54243795420266 | containment=0.0 | exact=False","id=categorical|1707|both_sexes|2| | type=categorical | description=Handedness (chirality/laterality) | pops=EAS,EUR,MID | N_AFR=413 | N_AMR=63 | N_CSA=509 | N_EAS=133 | N_EUR=40185 | N_MID=108 | rank_score=11.54243795420266 | containment=0.0 | exact=False",,,,,,,
D057180,Frontotemporal Dementia,2,2,0,2,False,30.498125234345707,"id=categorical|20110|both_sexes|100| | type=categorical | description=Illnesses of mother | pops=AFR,CSA,EUR | N_AFR=1814 | N_AMR=365 | N_CSA=2579 | N_EAS=922 | N_EUR=160672 | N_MID=583 | rank_score=30.498125234345707 | containment=0.5 | exact=False","id=categorical|20110|both_sexes|8| | type=categorical | description=Illnesses of mother | pops=AFR,EUR | N_AFR=3097 | N_AMR=310 | N_CSA=3163 | N_EAS=966 | N_EUR=118286 | N_MID=528 | rank_score=30.498125234345707 | containment=0.5 | exact=False","id=categorical|20110|both_sexes|9| | type=categorical | description=Illnesses of mother | pops=AFR,EUR | N_AFR=1556 | N_AMR=117 | N_CSA=2418 | N_EAS=452 | N_EUR=36007 | N_MID=267 | rank_score=30.498125234345707 | containment=0.5 | exact=False",,,,,,,
D005764,Gastroesophageal Reflux,2,2,1,1,False,47.914414414414416,"id=icd10|K21|both_sexes|| | type=icd10 | description=K21 Gastro-oesophageal reflux disease | pops=EUR,MID | N_AFR=395 | N_AMR=63 | N_CSA=729 | N_EAS=117 | N_EUR=29975 | N_MID=128 | rank_score=47.914414414414416 | containment=0.5 | exact=False","id=phecode|530|both_sexes|| | type=phecode | description=Diseases of esophagus | pops=EUR,MID | N_AFR=519 | N_AMR=95 | N_CSA=964 | N_EAS=151 | N_EUR=42944 | N_MID=172 | rank_score=13.0 | containment=0.0 | exact=False","id=phecode|530.1|both_sexes|| | type=phecode | description=Esophagitis, GERD and related diseases | pops=EUR,MID | N_AFR=478 | N_AMR=87 | N_CSA=910 | N_EAS=139 | N_EUR=40018 | N_MID=157 | rank_score=11.666666666666668 | containment=0.0 | exact=False",,,,,,,
D005770,Gastrointestinal Neoplasms,2,2,0,2,False,14.273809523809524,"id=icd10|K21|both_sexes|| | type=icd10 | description=K21 Gastro-oesophageal reflux disease | pops=EUR,MID | N_AFR=395 | N_AMR=63 | N_CSA=729 | N_EAS=117 | N_EUR=29975 | N_MID=128 | rank_score=14.273809523809524 | containment=0.0 | exact=False","id=icd10|M17|both_sexes|| | type=icd10 | description=M17 Gonarthrosis [arthrosis of knee] | pops=EUR,MID | N_AFR=408 | N_CSA=595 | N_EAS=73 | N_EUR=24753 | N_MID=76 | rank_score=12.75 | containment=0.0 | exact=False","id=icd10|M16|both_sexes|| | type=icd10 | description=M16 Coxarthrosis [arthrosis of hip] | pops=CSA,EUR | N_AFR=71 | N_CSA=60 | N_EUR=14999 | rank_score=12.207627118644067 | containment=0.0 | exact=False",,,,,,,
D005922,"Glomerulonephritis, IGA",2,2,0,2,False,11.739495798319329,"id=categorical|2020|both_sexes|2020| | type=categorical | description=Loneliness, isolation | pops=AFR,EUR | N_AFR=1634 | N_AMR=241 | N_CSA=2200 | N_EAS=461 | N_EUR=74098 | N_MID=427 | rank_score=11.739495798319329 | containment=0.0 | exact=False","id=icd10|K80|both_sexes|| | type=icd10 | description=K80 Cholelithiasis | pops=EAS,EUR | N_AFR=120 | N_CSA=253 | N_EAS=67 | N_EUR=16983 | rank_score=11.38888888888889 | containment=0.0 | exact=False","id=icd10|K44|both_sexes|| | type=icd10 | description=K44 Diaphragmatic hernia | pops=EUR,MID | N_AFR=326 | N_AMR=70 | N_CSA=660 | N_EAS=88 | N_EUR=33359 | N_MID=139 | rank_score=11.345410628019325 | containment=0.0 | exact=False",,,,,,,
D006073,Gout,2,2,1,1,False,9.444444444444445,"id=icd10|E66|both_sexes|| | type=icd10 | description=E66 Obesity | pops=EUR,MID | N_AFR=421 | N_CSA=362 | N_EUR=15917 | N_MID=79 | rank_score=9.444444444444445 | containment=0.0 | exact=False","id=phecode|530.11|both_sexes|| | type=phecode | description=GERD | pops=EUR,MID | N_AFR=395 | N_AMR=63 | N_CSA=729 | N_EAS=117 | N_EUR=29975 | N_MID=128 | rank_score=8.0 | containment=0.0 | exact=False","id=categorical|20116|both_sexes|0| | type=categorical | description=Smoking status | pops=AFR,EAS,EUR | N_AFR=4595 | N_AMR=477 | N_CSA=6777 | N_EAS=1970 | N_EUR=227144 | N_MID=802 | rank_score=7.8391812865497075 | containment=0.0 | exact=False",,,,,,"id=continuous|23098|both_sexes||irnt | type=continuous | description=Weight | pops=AFR,CSA,EUR | N_AFR=6458 | N_AMR=962 | N_CSA=8658 | N_EAS=2662 | N_EUR=413194 | N_MID=1535 | rank_score=8.476190476190476 | containment=0.0 | exact=False","id=continuous|21002|both_sexes||irnt | type=continuous | description=Weight | pops=AFR,CSA,EUR,MID | N_AFR=6558 | N_AMR=972 | N_CSA=8771 | N_EAS=2693 | N_EUR=419316 | N_MID=1574 | rank_score=8.27972027972028 | containment=0.0 | exact=False"
D006258,Head and Neck Neoplasms,2,2,0,2,False,11.993055555555555,"id=categorical|6155|both_sexes|100| | type=categorical | description=Vitamin and mineral supplements | pops=CSA,EUR | N_AFR=3398 | N_AMR=548 | N_CSA=5284 | N_EAS=1604 | N_EUR=287888 | N_MID=1066 | rank_score=11.993055555555555 | containment=0.0 | exact=False","id=categorical|6179|both_sexes|1| | type=categorical | description=Mineral and other dietary supplements | pops=EUR,MID | N_AFR=2250 | N_AMR=292 | N_CSA=1920 | N_EAS=828 | N_EUR=133111 | N_MID=323 | rank_score=11.770833333333334 | containment=0.0 | exact=False","id=categorical|6179|both_sexes|100| | type=categorical | description=Mineral and other dietary supplements | pops=EUR,MID | N_AFR=3388 | N_AMR=504 | N_CSA=5193 | N_EAS=1470 | N_EUR=238042 | N_MID=1052 | rank_score=11.770833333333334 | containment=0.0 | exact=False",,,,,,,
D006689,Hodgkin Disease,2,2,0,2,False,14.954022988505749,"id=categorical|20116|both_sexes|0| | type=categorical | description=Smoking status | pops=AFR,EAS,EUR | N_AFR=4595 | N_AMR=477 | N_CSA=6777 | N_EAS=1970 | N_EUR=227144 | N_MID=802 | rank_score=14.954022988505749 | containment=0.0 | exact=False","id=categorical|20116|both_sexes|1| | type=categorical | description=Smoking status | pops=AFR,EUR | N_AFR=1131 | N_AMR=341 | N_CSA=1082 | N_EAS=454 | N_EUR=148481 | N_MID=485 | rank_score=14.954022988505749 | containment=0.0 | exact=False","id=categorical|20116|both_sexes|2| | type=categorical | description=Smoking status | pops=AFR,CSA,EUR,MID | N_AFR=806 | N_AMR=144 | N_CSA=773 | N_EAS=225 | N_EUR=43192 | N_MID=276 | rank_score=14.954022988505749 | containment=0.0 | exact=False",,,,,,,
D017681,Hypereosinophilic Syndrome,2,2,0,2,False,12.473684210526317,"id=phecode|401|both_sexes|| | type=phecode | description=Hypertension | pops=CSA,EUR | N_AFR=2037 | N_AMR=160 | N_CSA=2690 | N_EAS=431 | N_EUR=94311 | N_MID=348 | rank_score=12.473684210526317 | containment=0.0 | exact=False","id=categorical|41200|both_sexes|J183| | type=categorical | description=Operative procedures - main OPCS4 | pops=CSA,EUR | N_AFR=91 | N_CSA=201 | N_EAS=54 | N_EUR=14065 | rank_score=11.490497076023392 | containment=0.0 | exact=False","id=categorical|2335|both_sexes|2335| | type=categorical | description=Chest pain or discomfort | pops=CSA,EUR | N_AFR=1620 | N_AMR=192 | N_CSA=1865 | N_EAS=491 | N_EUR=65852 | N_MID=363 | rank_score=11.45 | containment=0.0 | exact=False",,,,,,"id=continuous|30150|both_sexes||irnt | type=continuous | description=Eosinophill count | pops=CSA,EUR | N_AFR=6262 | N_AMR=949 | N_CSA=8502 | N_EAS=2630 | N_EUR=407265 | N_MID=1546 | rank_score=12.046511627906977 | containment=0.0 | exact=False","id=continuous|30210|both_sexes||irnt | type=continuous | description=Eosinophill percentage | pops=CSA,EUR | N_AFR=6262 | N_AMR=949 | N_CSA=8502 | N_EAS=2630 | N_EUR=407270 | N_MID=1546 | rank_score=10.92143906020558 | containment=0.0 | exact=False"
D007680,Kidney Neoplasms,2,2,2,0,False,42.55882352941177,"id=phecode|594.1|both_sexes|| | type=phecode | description=Calculus of kidney | pops=CSA,EUR | N_CSA=106 | N_EUR=3758 | rank_score=42.55882352941177 | containment=0.5 | exact=False","id=icd10|N20|both_sexes|| | type=icd10 | description=N20 Calculus of kidney and ureter | pops=CSA,EUR | N_AFR=59 | N_CSA=154 | N_EUR=5530 | rank_score=39.51360544217687 | containment=0.5 | exact=False","id=categorical|5556|both_sexes|5556| | type=categorical | description=FI9 : concept interpolation | pops=AFR,EUR | N_AFR=84 | N_CSA=187 | N_EUR=22621 | rank_score=12.42564909520063 | containment=0.0 | exact=False",,,,,,,
D008593,Menopause,2,2,1,1,False,12.683306494900698,"id=categorical|20116|both_sexes|0| | type=categorical | description=Smoking status | pops=AFR,EAS,EUR | N_AFR=4595 | N_AMR=477 | N_CSA=6777 | N_EAS=1970 | N_EUR=227144 | N_MID=802 | rank_score=12.683306494900698 | containment=0.0 | exact=False","id=categorical|20116|both_sexes|1| | type=categorical | description=Smoking status | pops=AFR,EUR | N_AFR=1131 | N_AMR=341 | N_CSA=1082 | N_EAS=454 | N_EUR=148481 | N_MID=485 | rank_score=12.683306494900698 | containment=0.0 | exact=False","id=categorical|20116|both_sexes|2| | type=categorical | description=Smoking status | pops=AFR,CSA,EUR,MID | N_AFR=806 | N_AMR=144 | N_CSA=773 | N_EAS=225 | N_EUR=43192 | N_MID=276 | rank_score=12.683306494900698 | containment=0.0 | exact=False",,,,,,,
D009101,Multiple Myeloma,2,2,0,2,False,12.333333333333334,"id=categorical|1418|both_sexes|1| | type=categorical | description=Milk type used | pops=EUR,MID | N_AFR=926 | N_AMR=96 | N_CSA=1593 | N_EAS=401 | N_EUR=26497 | N_MID=242 | rank_score=12.333333333333334 | containment=0.0 | exact=False","id=icd10|K42|both_sexes|| | type=icd10 | description=K42 Umbilical hernia | pops=CSA,EUR | N_AFR=105 | N_CSA=90 | N_EUR=4511 | rank_score=11.333333333333332 | containment=0.0 | exact=False","id=icd10|E11|both_sexes|| | type=icd10 | description=E11 Non-insulin-dependent diabetes mellitus | pops=CSA,EUR | N_AFR=792 | N_CSA=1662 | N_EAS=152 | N_EUR=22634 | N_MID=170 | rank_score=10.768361581920905 | containment=0.0 | exact=False",,,,,,,
D019578,Multiple System Atrophy,2,2,0,2,False,30.666666666666664,"id=phecode|459|both_sexes|| | type=phecode | description=Other disorders of circulatory system | pops=CSA,EUR | N_AFR=354 | N_CSA=384 | N_EAS=54 | N_EUR=21420 | N_MID=54 | rank_score=30.666666666666664 | containment=0.3333333333333333 | exact=False","id=icd10|R19|both_sexes|| | type=icd10 | description=R19 Other symptoms and signs involving the digestive system and abdomen | pops=EUR,MID | N_AFR=282 | N_CSA=436 | N_EAS=103 | N_EUR=19142 | N_MID=72 | rank_score=29.337933678359207 | containment=0.3333333333333333 | exact=False","id=categorical|1418|both_sexes|1| | type=categorical | description=Milk type used | pops=EUR,MID | N_AFR=926 | N_AMR=96 | N_CSA=1593 | N_EAS=401 | N_EUR=26497 | N_MID=242 | rank_score=11.64864864864865 | containment=0.0 | exact=False",,,,,,,
D009203,Myocardial Infarction,2,2,1,1,False,13.714485850378258,"id=categorical|4957|both_sexes|4957| | type=categorical | description=FI3 : word interpolation | pops=CSA,EUR | N_AFR=1975 | N_AMR=229 | N_CSA=2594 | N_EAS=656 | N_EUR=113724 | N_MID=302 | rank_score=13.714485850378258 | containment=0.0 | exact=False","id=icd10|M17|both_sexes|| | type=icd10 | description=M17 Gonarthrosis [arthrosis of knee] | pops=EUR,MID | N_AFR=408 | N_CSA=595 | N_EAS=73 | N_EUR=24753 | N_MID=76 | rank_score=12.584415584415584 | containment=0.0 | exact=False","id=categorical|4294|both_sexes|0| | type=categorical | description=Final attempt correct | pops=CSA,EUR | N_AFR=541 | N_AMR=61 | N_CSA=822 | N_EAS=166 | N_EUR=5328 | N_MID=110 | rank_score=12.483454398708636 | containment=0.0 | exact=False",,,,,,,
D009216,Myopia,2,2,2,0,False,11.64102564102564,"id=categorical|20116|both_sexes|0| | type=categorical | description=Smoking status | pops=AFR,EAS,EUR | N_AFR=4595 | N_AMR=477 | N_CSA=6777 | N_EAS=1970 | N_EUR=227144 | N_MID=802 | rank_score=11.64102564102564 | containment=0.0 | exact=False","id=categorical|20116|both_sexes|1| | type=categorical | description=Smoking status | pops=AFR,EUR | N_AFR=1131 | N_AMR=341 | N_CSA=1082 | N_EAS=454 | N_EUR=148481 | N_MID=485 | rank_score=11.64102564102564 | containment=0.0 | exact=False","id=categorical|20116|both_sexes|2| | type=categorical | description=Smoking status | pops=AFR,CSA,EUR,MID | N_AFR=806 | N_AMR=144 | N_CSA=773 | N_EAS=225 | N_EUR=43192 | N_MID=276 | rank_score=11.64102564102564 | containment=0.0 | exact=False",,,,,,,
D009290,Narcolepsy,2,2,1,1,False,12.285714285714285,"id=icd10|E66|both_sexes|| | type=icd10 | description=E66 Obesity | pops=EUR,MID | N_AFR=421 | N_CSA=362 | N_EUR=15917 | N_MID=79 | rank_score=12.285714285714285 | containment=0.0 | exact=False","id=phecode|594|both_sexes|| | type=phecode | description=Urinary calculus | pops=CSA,EUR | N_AFR=90 | N_CSA=206 | N_EUR=7593 | N_MID=54 | rank_score=12.230769230769232 | containment=0.0 | exact=False","id=icd10|K80|both_sexes|| | type=icd10 | description=K80 Cholelithiasis | pops=EAS,EUR | N_AFR=120 | N_CSA=253 | N_EAS=67 | N_EUR=16983 | rank_score=11.80952380952381 | containment=0.0 | exact=False",,,,,,,
D009771,Obsessive-Compulsive Disorder,2,2,0,2,False,16.06122448979592,"id=phecode|318|both_sexes|| | type=phecode | description=Tobacco use disorder | pops=EAS,EUR | N_AFR=254 | N_CSA=275 | N_EAS=50 | N_EUR=14988 | N_MID=81 | rank_score=16.06122448979592 | containment=0.0 | exact=False","id=phecode|327|both_sexes|| | type=phecode | description=Sleep disorders | pops=CSA,EUR | N_AFR=141 | N_CSA=174 | N_EUR=6623 | N_MID=52 | rank_score=14.818181818181818 | containment=0.0 | exact=False","id=icd10|G47|both_sexes|| | type=icd10 | description=G47 Sleep disorders | pops=CSA,EUR | N_AFR=140 | N_CSA=173 | N_EUR=6557 | N_MID=52 | rank_score=14.2984496124031 | containment=0.0 | exact=False",,,,,,,
D010003,Osteoarthritis,2,2,1,1,False,20.142857142857142,"id=phecode|740|both_sexes|| | type=phecode | description=Osteoarthrosis | pops=EUR,MID | N_AFR=423 | N_AMR=53 | N_CSA=547 | N_EAS=74 | N_EUR=36073 | N_MID=86 | rank_score=20.142857142857142 | containment=0.0 | exact=False","id=phecode|716|both_sexes|| | type=phecode | description=Other arthropathies | pops=EAS,EUR | N_AFR=607 | N_AMR=74 | N_CSA=881 | N_EAS=117 | N_EUR=42030 | N_MID=123 | rank_score=15.12121212121212 | containment=0.0 | exact=False","id=phecode|716.2|both_sexes|| | type=phecode | description=Unspecified monoarthritis | pops=CSA,EAS,EUR,MID | N_AFR=341 | N_CSA=504 | N_EAS=63 | N_EUR=20094 | N_MID=63 | rank_score=14.28205128205128 | containment=0.0 | exact=False",,,,,,,
D012148,Restless Legs Syndrome,2,2,1,1,False,12.613821138211383,"id=categorical|1677|both_sexes|1677| | type=categorical | description=Breastfed as a baby | pops=AFR,CSA,EUR,MID | N_AFR=5371 | N_AMR=653 | N_CSA=7023 | N_EAS=1769 | N_EUR=227321 | N_MID=1174 | rank_score=12.613821138211383 | containment=0.0 | exact=False","id=categorical|2207|both_sexes|2207| | type=categorical | description=Wears glasses or contact lenses | pops=EUR,MID | N_AFR=5147 | N_AMR=777 | N_CSA=7039 | N_EAS=2180 | N_EUR=374539 | N_MID=1246 | rank_score=11.10086404514195 | containment=0.0 | exact=False","id=categorical|20107|both_sexes|1| | type=categorical | description=Illnesses of father | pops=AFR,CSA,EAS,EUR | N_AFR=490 | N_AMR=206 | N_CSA=2401 | N_EAS=350 | N_EUR=121257 | N_MID=295 | rank_score=10.819245864872444 | containment=0.0 | exact=False",,,,,,,
D012174,Retinitis Pigmentosa,2,2,0,2,False,12.823439878234398,"id=categorical|6142|both_sexes|4| | type=categorical | description=Current employment status | pops=CSA,EUR,MID | N_AFR=396 | N_CSA=593 | N_EUR=16107 | N_MID=158 | rank_score=12.823439878234398 | containment=0.0 | exact=False","id=categorical|6142|both_sexes|6| | type=categorical | description=Current employment status | pops=CSA,EUR | N_AFR=216 | N_CSA=205 | N_EAS=100 | N_EUR=15484 | N_MID=62 | rank_score=12.823439878234398 | containment=0.0 | exact=False","id=categorical|6155|both_sexes|100| | type=categorical | description=Vitamin and mineral supplements | pops=CSA,EUR | N_AFR=3398 | N_AMR=548 | N_CSA=5284 | N_EAS=1604 | N_EUR=287888 | N_MID=1066 | rank_score=11.76780185758514 | containment=0.0 | exact=False",,,,,,,
D006255,"Rhinitis, Allergic, Seasonal",2,2,0,2,False,26.946953781512608,"id=categorical|6152|both_sexes|100| | type=categorical | description=Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor | pops=CSA,EUR | N_AFR=4236 | N_AMR=627 | N_CSA=5986 | N_EAS=1517 | N_EUR=285088 | N_MID=1121 | rank_score=26.946953781512608 | containment=0.3333333333333333 | exact=False","id=categorical|6152|both_sexes|8| | type=categorical | description=Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor | pops=CSA,EUR | N_AFR=782 | N_AMR=103 | N_CSA=1041 | N_EAS=232 | N_EUR=48560 | N_MID=173 | rank_score=26.946953781512608 | containment=0.3333333333333333 | exact=False","id=categorical|41232|both_sexes|10| | type=categorical | description=Administrative and legal statuses | pops=CSA,EUR | N_AFR=2080 | N_AMR=235 | N_CSA=2655 | N_EAS=541 | N_EUR=121284 | N_MID=405 | rank_score=12.50625296422955 | containment=0.0 | exact=False",,,,,,,
D013736,Testicular Neoplasms,2,2,0,2,False,12.231782265144863,"id=icd10|J44|both_sexes|| | type=icd10 | description=J44 Other chronic obstructive pulmonary disease | pops=CSA,EUR | N_AFR=74 | N_CSA=152 | N_EUR=11536 | rank_score=12.231782265144863 | containment=0.0 | exact=False","id=icd10|Z95|both_sexes|| | type=icd10 | description=Z95 Presence of cardiac and vascular implants and grafts | pops=CSA,EUR | N_AFR=104 | N_CSA=636 | N_EUR=15774 | N_MID=67 | rank_score=11.839009287925697 | containment=0.0 | exact=False","id=phecode|411|both_sexes|| | type=phecode | description=Ischemic Heart Disease | pops=CSA,EUR | N_AFR=400 | N_AMR=69 | N_CSA=1374 | N_EAS=103 | N_EUR=37672 | N_MID=163 | rank_score=11.571428571428571 | containment=0.0 | exact=False",,,,,,,
