indication_mesh_id,indication_mesh_term,n_pairs,n_genes,n_A,n_B,has_exact_candidate,best_overall_score,binary_candidate_1,binary_candidate_2,binary_candidate_3,selected_panukb_phenotype_id,mapping_tier,mapping_rationale,reviewer_notes,exclude_reason,quantitative_candidate_1,quantitative_candidate_2
D010051,Ovarian Neoplasms,7,7,0,7,False,12.50227716330514,"id=categorical|1538|both_sexes|0| | type=categorical | description=Major dietary changes in the last 5 years | pops=CSA,EUR | N_AFR=2892 | N_AMR=473 | N_CSA=4511 | N_EAS=1726 | N_EUR=257507 | N_MID=855 | rank_score=12.50227716330514 | containment=0.0 | exact=False","id=categorical|1538|both_sexes|1| | type=categorical | description=Major dietary changes in the last 5 years | pops=CSA,EUR | N_AFR=1260 | N_AMR=114 | N_CSA=1766 | N_EAS=236 | N_EUR=44564 | N_MID=288 | rank_score=12.50227716330514 | containment=0.0 | exact=False","id=categorical|1538|both_sexes|2| | type=categorical | description=Major dietary changes in the last 5 years | pops=EUR,MID | N_AFR=2352 | N_AMR=365 | N_CSA=2301 | N_EAS=655 | N_EUR=117438 | N_MID=420 | rank_score=12.50227716330514 | containment=0.0 | exact=False",,,,,,"id=continuous|1548|both_sexes|| | type=continuous | description=Variation in diet | pops=CSA,EUR,MID | N_AFR=6418 | N_AMR=950 | N_CSA=8309 | N_EAS=2517 | N_EUR=418883 | N_MID=1478 | rank_score=11.42156862745098 | containment=0.0 | exact=False",
D001281,Atrial Fibrillation,6,6,2,4,False,13.949741315594974,"id=categorical|6138|both_sexes|100| | type=categorical | description=Qualifications | pops=AFR,CSA,EAS,EUR,MID | N_AFR=931 | N_AMR=130 | N_CSA=1412 | N_EAS=358 | N_EUR=73293 | N_MID=252 | rank_score=13.949741315594974 | containment=0.0 | exact=False","id=categorical|6138|both_sexes|2| | type=categorical | description=Qualifications | pops=EAS,EUR | N_AFR=880 | N_AMR=177 | N_CSA=1399 | N_EAS=416 | N_EUR=112131 | N_MID=272 | rank_score=13.949741315594974 | containment=0.0 | exact=False","id=categorical|6138|both_sexes|3| | type=categorical | description=Qualifications | pops=CSA,EUR,MID | N_AFR=2078 | N_AMR=250 | N_CSA=2398 | N_EAS=574 | N_EUR=195589 | N_MID=353 | rank_score=13.949741315594974 | containment=0.0 | exact=False",,,,,,,
D057765,Eosinophilic Esophagitis,6,6,2,4,False,38.71311475409836,"id=phecode|530.1|both_sexes|| | type=phecode | description=Esophagitis, GERD and related diseases | pops=EUR,MID | N_AFR=478 | N_AMR=87 | N_CSA=910 | N_EAS=139 | N_EUR=40018 | N_MID=157 | rank_score=38.71311475409836 | containment=0.5 | exact=False","id=phecode|496.2|both_sexes|| | type=phecode | description=Chronic bronchitis | pops=CSA,EUR | N_AFR=77 | N_CSA=156 | N_EUR=11764 | rank_score=13.476190476190476 | containment=0.0 | exact=False","id=phecode|418|both_sexes|| | type=phecode | description=Nonspecific chest pain | pops=CSA,EUR | N_AFR=729 | N_AMR=90 | N_CSA=1267 | N_EAS=153 | N_EUR=33293 | N_MID=175 | rank_score=13.434782608695652 | containment=0.0 | exact=False",,,,,,"id=continuous|30150|both_sexes||irnt | type=continuous | description=Eosinophill count | pops=CSA,EUR | N_AFR=6262 | N_AMR=949 | N_CSA=8502 | N_EAS=2630 | N_EUR=407265 | N_MID=1546 | rank_score=13.621893965418527 | containment=0.0 | exact=False",
D007676,"Kidney Failure, Chronic",6,6,1,5,False,40.0,"id=phecode|496.2|both_sexes|| | type=phecode | description=Chronic bronchitis | pops=CSA,EUR | N_AFR=77 | N_CSA=156 | N_EUR=11764 | rank_score=40.0 | containment=0.5 | exact=False","id=phecode|594.1|both_sexes|| | type=phecode | description=Calculus of kidney | pops=CSA,EUR | N_CSA=106 | N_EUR=3758 | rank_score=39.0 | containment=0.5 | exact=False","id=icd10|N20|both_sexes|| | type=icd10 | description=N20 Calculus of kidney and ureter | pops=CSA,EUR | N_AFR=59 | N_CSA=154 | N_EUR=5530 | rank_score=32.282828282828284 | containment=0.3333333333333333 | exact=False",,,,,,"id=continuous|20153|both_sexes||irnt | type=continuous | description=Forced expiratory volume in 1-second (FEV1), predicted | pops=EUR,MID | N_AMR=138 | N_EUR=137532 | N_MID=130 | rank_score=35.339533293415336 | containment=0.6666666666666666 | exact=False",
D010300,Parkinson Disease,6,6,0,6,False,56.02308282120828,"id=categorical|20107|both_sexes|1| | type=categorical | description=Illnesses of father | pops=AFR,CSA,EAS,EUR | N_AFR=490 | N_AMR=206 | N_CSA=2401 | N_EAS=350 | N_EUR=121257 | N_MID=295 | rank_score=56.02308282120828 | containment=1.0 | exact=False","id=categorical|20107|both_sexes|100| | type=categorical | description=Illnesses of father | pops=CSA,EUR | N_AFR=2089 | N_AMR=322 | N_CSA=2434 | N_EAS=898 | N_EUR=136194 | N_MID=537 | rank_score=56.02308282120828 | containment=1.0 | exact=False","id=categorical|20107|both_sexes|101| | type=categorical | description=Illnesses of father | pops=AFR,EUR | N_AFR=3868 | N_AMR=585 | N_CSA=6296 | N_EAS=1797 | N_EUR=276893 | N_MID=1015 | rank_score=56.02308282120828 | containment=1.0 | exact=False",,,,,,,
D012859,Sjogren's Syndrome,6,6,1,5,False,12.203014386846313,"id=categorical|5001|both_sexes|5001| | type=categorical | description=FI7 : synonym | pops=CSA,EUR | N_AFR=744 | N_AMR=100 | N_CSA=838 | N_EAS=189 | N_EUR=85333 | N_MID=152 | rank_score=12.203014386846313 | containment=0.0 | exact=False","id=icd10|G47|both_sexes|| | type=icd10 | description=G47 Sleep disorders | pops=CSA,EUR | N_AFR=140 | N_CSA=173 | N_EUR=6557 | N_MID=52 | rank_score=12.130067567567568 | containment=0.0 | exact=False","id=categorical|20116|both_sexes|0| | type=categorical | description=Smoking status | pops=AFR,EAS,EUR | N_AFR=4595 | N_AMR=477 | N_CSA=6777 | N_EAS=1970 | N_EUR=227144 | N_MID=802 | rank_score=11.5 | containment=0.0 | exact=False",,,,,,,
D007319,Sleep Initiation and Maintenance Disorders,6,6,3,3,False,73.52631578947368,"id=phecode|327|both_sexes|| | type=phecode | description=Sleep disorders | pops=CSA,EUR | N_AFR=141 | N_CSA=174 | N_EUR=6623 | N_MID=52 | rank_score=73.52631578947368 | containment=1.0 | exact=False","id=icd10|G47|both_sexes|| | type=icd10 | description=G47 Sleep disorders | pops=CSA,EUR | N_AFR=140 | N_CSA=173 | N_EUR=6557 | N_MID=52 | rank_score=56.08606557377049 | containment=0.6666666666666666 | exact=False","id=phecode|327.3|both_sexes|| | type=phecode | description=Sleep apnea | pops=CSA,EUR | N_AFR=127 | N_CSA=151 | N_EUR=5621 | rank_score=37.5377358490566 | containment=0.5 | exact=False",,,,,,"id=continuous|1160|both_sexes|| | type=continuous | description=Sleep duration | pops=EUR,MID | N_AFR=6382 | N_AMR=959 | N_EAS=2631 | N_EUR=418009 | N_MID=1547 | rank_score=36.35714285714285 | containment=0.5 | exact=False",
D001714,Bipolar Disorder,5,5,3,2,False,15.903225806451612,"id=phecode|327|both_sexes|| | type=phecode | description=Sleep disorders | pops=CSA,EUR | N_AFR=141 | N_CSA=174 | N_EUR=6623 | N_MID=52 | rank_score=15.903225806451612 | containment=0.0 | exact=False","id=icd10|G47|both_sexes|| | type=icd10 | description=G47 Sleep disorders | pops=CSA,EUR | N_AFR=140 | N_CSA=173 | N_EUR=6557 | N_MID=52 | rank_score=15.428571428571429 | containment=0.0 | exact=False","id=phecode|318|both_sexes|| | type=phecode | description=Tobacco use disorder | pops=EAS,EUR | N_AFR=254 | N_CSA=275 | N_EAS=50 | N_EUR=14988 | N_MID=81 | rank_score=15.222222222222223 | containment=0.0 | exact=False",,,,,,,
D050171,Dyslipidemias,5,5,3,2,False,11.74074074074074,"id=icd10|F32|both_sexes|| | type=icd10 | description=F32 Depressive episode | pops=CSA,EUR | N_AFR=187 | N_CSA=277 | N_EUR=15674 | N_MID=76 | rank_score=11.74074074074074 | containment=0.0 | exact=False","id=phecode|327|both_sexes|| | type=phecode | description=Sleep disorders | pops=CSA,EUR | N_AFR=141 | N_CSA=174 | N_EUR=6623 | N_MID=52 | rank_score=11.571428571428571 | containment=0.0 | exact=False","id=phecode|272|both_sexes|| | type=phecode | description=Disorders of lipoid metabolism | pops=CSA,EUR | N_AFR=744 | N_AMR=86 | N_CSA=1800 | N_EAS=190 | N_EUR=44134 | N_MID=239 | rank_score=11.372093023255816 | containment=0.0 | exact=False",,,,,,"id=continuous|23104|both_sexes||irnt | type=continuous | description=Body mass index (BMI) | pops=CSA,EUR,MID | N_AFR=6458 | N_AMR=962 | N_CSA=8658 | N_EAS=2662 | N_EUR=413186 | N_MID=1535 | rank_score=11.01010101010101 | containment=0.0 | exact=False",
D016553,"Purpura, Thrombocytopenic, Idiopathic",5,5,1,4,False,11.516129032258064,"id=categorical|20003|both_sexes|1140865634| | type=categorical | description=Treatment/medication code | pops=CSA,EUR | N_AFR=352 | N_AMR=77 | N_CSA=636 | N_EAS=81 | N_EUR=24743 | N_MID=119 | rank_score=11.516129032258064 | containment=0.0 | exact=False","id=categorical|20003|both_sexes|1140866738| | type=categorical | description=Treatment/medication code | pops=CSA,EAS,EUR | N_AFR=227 | N_CSA=341 | N_EAS=58 | N_EUR=16428 | N_MID=59 | rank_score=11.516129032258064 | containment=0.0 | exact=False","id=categorical|20003|both_sexes|1140871310| | type=categorical | description=Treatment/medication code | pops=CSA,EAS,EUR | N_AFR=918 | N_AMR=181 | N_CSA=804 | N_EAS=208 | N_EUR=52343 | N_MID=196 | rank_score=11.516129032258064 | containment=0.0 | exact=False",,,,,,,
