indication_mesh_id,indication_mesh_term_in_trails,mesh2026_preferred_term,mesh2026_entry_terms,mesh2026_n_terms,mesh2026_tree_numbers,n_pairs,n_genes,n_A,n_B,mesh2026_record_found
D001851,"Bone Diseases, Metabolic","Bone Diseases, Metabolic","Bone Density, Low || Bone Disease, Metabolic || Bone Diseases, Metabolic || Low Bone Densities || Low Bone Density || Low Bone Mineral Density || Metabolic Bone Disease || Metabolic Bone Diseases || Osteopenia || Osteopenias",10,C05.116.198 || C18.452.104,1,1,0,1,True
D001943,Breast Neoplasms,Breast Neoplasms,"Breast Cancer || Breast Carcinoma || Breast Carcinomas || Breast Malignant Neoplasm || Breast Malignant Neoplasms || Breast Malignant Tumor || Breast Malignant Tumors || Breast Neoplasm || Breast Neoplasms || Breast Tumor || Breast Tumors || Cancer of Breast || Cancer of the Breast || Cancer, Breast || Cancer, Mammary || Cancers, Mammary || Carcinoma, Breast || Carcinoma, Human Mammary || Carcinomas, Breast || Carcinomas, Human Mammary || Human Mammary Carcinoma || Human Mammary Carcinomas || Human Mammary Neoplasm || Human Mammary Neoplasms || Malignant Neoplasm of Breast || Malignant Tumor of Breast || Mammary Cancer || Mammary Cancers || Mammary Carcinoma, Human || Mammary Carcinomas, Human || Mammary Neoplasm, Human || Mammary Neoplasms, Human || Neoplasm, Breast || Neoplasm, Human Mammary || Neoplasms, Breast || Neoplasms, Human Mammary || Tumor, Breast || Tumors, Breast",38,C04.588.180 || C17.800.090.500,16,16,2,14,True
D002289,"Carcinoma, Non-Small-Cell Lung","Carcinoma, Non-Small-Cell Lung","Carcinoma, Non Small Cell Lung || Carcinoma, Non-Small Cell Lung || Carcinoma, Non-Small-Cell Lung || Carcinomas, Non-Small-Cell Lung || Lung Carcinoma, Non-Small-Cell || Lung Carcinomas, Non-Small-Cell || Non Small Cell Lung Carcinoma || Non-Small Cell Lung Cancer || Non-Small Cell Lung Carcinoma || Non-Small-Cell Lung Carcinoma || Non-Small-Cell Lung Carcinomas || Nonsmall Cell Lung Cancer",12,C04.588.894.797.520.109.220.249 || C08.381.540.140.500 || C08.785.520.100.220.500,2,2,1,1,True
D002318,Cardiovascular Diseases,Cardiovascular Diseases,"Adverse Cardiac Event || Adverse Cardiac Events || Cardiac Event || Cardiac Event, Adverse || Cardiac Events || Cardiac Events, Adverse || Cardiovascular Disease || Cardiovascular Diseases || Disease, Cardiovascular || Event, Cardiac || Major Adverse Cardiac Events",11,C14,4,4,0,4,True
D002446,Celiac Disease,Celiac Disease,"Celiac Disease || Celiac Sprue || Disease, Celiac || Enteropathies, Gluten || Enteropathies, Gluten-Sensitive || Enteropathy, Gluten || Enteropathy, Gluten-Sensitive || Gluten Enteropathies || Gluten Enteropathy || Gluten Sensitive Enteropathy || Gluten-Sensitive Enteropathies || Gluten-Sensitive Enteropathy || Nontropical Sprue || Sprue || Sprue, Celiac || Sprue, Nontropical",16,C06.405.469.637.250 || C18.452.603.250,1,1,0,1,True
D002761,Cholangitis,Cholangitis,Cholangitides || Cholangitis,2,C06.130.120.200,1,1,0,1,True
D003093,"Colitis, Ulcerative","Colitis, Ulcerative","Colitis Gravis || Colitis, Ulcerative || Idiopathic Proctocolitis || Inflammatory Bowel Disease, Ulcerative Colitis Type || Ulcerative Colitis",5,C06.405.205.265.231 || C06.405.205.731.249 || C06.405.469.158.188.231 || C06.405.469.432.249,26,26,2,24,True
D003414,Crigler-Najjar Syndrome,Crigler-Najjar Syndrome,"Crigler Najar Syndrome || Crigler Najjar Syndrome || Crigler Najjar Syndrome, Type 1 || Crigler Najjar Syndrome, Type I || Crigler Najjar Syndromes || Crigler-Najar Syndrome || Crigler-Najjar Syndrome || Crigler-Najjar Syndrome, Type I || Familial Nonhemolytic Unconjugated Hyperbilirubinemia || Hereditary Unconjugated Hyperbilirubinemia || Hereditary Unconjugated Hyperbilirubinemias || Hyperbilirubinemia, Hereditary Unconjugated || Najjar Syndrome, Crigler || Syndrome, Crigler Najjar || Unconjugated Hyperbilirubinemia, Hereditary",15,C16.320.565.300.281 || C18.452.648.300.281,1,1,0,1,True
D003424,Crohn Disease,Crohn Disease,"Colitis, Granulomatous || Crohn Disease || Crohn's Disease || Crohn's Enteritis || Crohns Disease || Enteritis, Granulomatous || Enteritis, Regional || Granulomatous Colitis || Granulomatous Enteritis || Ileitis, Regional || Ileitis, Terminal || Ileocolitis || Inflammatory Bowel Disease 1 || Regional Enteritis || Regional Ileitides || Regional Ileitis || Terminal Ileitis",17,C06.405.205.731.500 || C06.405.469.432.500,19,19,1,18,True
D003704,Dementia,Dementia,"Amentia || Amentias || Dementia || Dementia, Familial || Dementias || Dementias, Familial || Dementias, Senile Paranoid || Familial Dementia || Familial Dementias || Paranoid Dementia, Senile || Paranoid Dementias, Senile || Senile Paranoid Dementia || Senile Paranoid Dementias",13,C10.228.140.380 || F03.615.400,1,1,0,1,True
D003863,Depression,Depression,"Depression || Depression, Emotional || Depressive Symptom || Depressive Symptoms || Emotional Depression || Symptom, Depressive",6,F01.145.126.350 || F01.470.282,2,2,1,1,True
D003865,"Depressive Disorder, Major",Major Depressive Disorder,"Clinical Depression || Depression Disorders, Major || Depression, Involutional || Depressions, Clinical || Depressions, Involutional || Depressive Disorder, Major || Depressive Disorders, Major || Disorder, Major Depressive || Disorders, Major Depression || Disorders, Major Depressive || Major Depression Disorder || Major Depressive Disorder || Major Depressive Disorders || Melancholia, Involutional || Melancholias, Involutional || Paraphrenia, Involutional || Paraphrenias, Involutional || Psychoses, Involutional || Psychosis, Involutional",19,F03.600.300.375,2,2,1,1,True
D003876,"Dermatitis, Atopic","Dermatitis, Atopic","Atopic Dermatitis || Atopic Eczema || Atopic Neurodermatitis || Dermatitis, Atopic || Disseminated Neurodermatitis || Eczema, Atopic || Eczema, Infantile || Infantile Eczema || Neurodermatitis, Atopic || Neurodermatitis, Disseminated",10,C16.320.850.210 || C17.800.174.193 || C17.800.815.193 || C17.800.827.210 || C20.543.480.343,12,12,2,10,True
D003920,Diabetes Mellitus,Diabetes Mellitus,Diabetes Mellitus,1,C18.452.394.750 || C19.246,13,13,2,11,True
D003922,"Diabetes Mellitus, Type 1","Diabetes Mellitus, Type 1","Autoimmune Diabetes || Brittle Diabetes Mellitus || Diabetes Mellitus, Brittle || Diabetes Mellitus, Insulin Dependent || Diabetes Mellitus, Insulin-Dependent || Diabetes Mellitus, Insulin-Dependent, 1 || Diabetes Mellitus, Juvenile Onset || Diabetes Mellitus, Juvenile-Onset || Diabetes Mellitus, Ketosis Prone || Diabetes Mellitus, Ketosis-Prone || Diabetes Mellitus, Sudden Onset || Diabetes Mellitus, Sudden-Onset || Diabetes Mellitus, Type 1 || Diabetes Mellitus, Type I || Diabetes, Autoimmune || Diabetes, Juvenile-Onset || Diabetes, Type 1 || IDDM || Insulin Dependent Diabetes Mellitus 1 || Insulin-Dependent Diabetes Mellitus || Insulin-Dependent Diabetes Mellitus 1 || Juvenile Onset Diabetes || Juvenile-Onset Diabetes || Juvenile-Onset Diabetes Mellitus || Ketosis-Prone Diabetes Mellitus || Sudden-Onset Diabetes Mellitus || Type 1 Diabetes || Type 1 Diabetes Mellitus",28,C18.452.394.750.124 || C19.246.267 || C20.111.327,4,4,0,4,True
