indication_mesh_id,indication_mesh_term_in_trails,mesh2026_preferred_term,mesh2026_entry_terms,mesh2026_n_terms,mesh2026_tree_numbers,n_pairs,n_genes,n_A,n_B,mesh2026_record_found
D008224,"Lymphoma, Follicular","Lymphoma, Follicular","Brill Symmers Disease || Brill-Symmers Disease || Disease, Brill-Symmers || Follicular Large Cell Lymphoma || Follicular Large-Cell Lymphoma || Follicular Large-Cell Lymphomas || Follicular Lymphoma || Follicular Lymphoma, Giant || Follicular Lymphoma, Grade 1 || Follicular Lymphoma, Grade 2 || Follicular Lymphoma, Grade 3 || Follicular Lymphomas || Follicular Lymphomas, Giant || Follicular Mixed Cell Lymphoma || Follicular Mixed-Cell Lymphoma || Follicular Mixed-Cell Lymphomas || Giant Follicular Lymphoma || Giant Follicular Lymphomas || Histiocytic Lymphoma, Nodular || Histiocytic Lymphomas, Nodular || Large Cell Lymphoma, Follicular || Large Lymphoid Lymphoma, Nodular || Large-Cell Lymphoma, Follicular || Large-Cell Lymphomas, Follicular || Lymphocytic Lymphoma, Nodular, Poorly Differentiated || Lymphocytic Lymphoma, Nodular, Poorly-Differentiated || Lymphoma, Follicular || Lymphoma, Follicular Large Cell || Lymphoma, Follicular Large-Cell || Lymphoma, Follicular Mixed-Cell || Lymphoma, Follicular, Grade 1 || Lymphoma, Follicular, Grade 2 || Lymphoma, Follicular, Grade 3 || Lymphoma, Follicular, Mixed Cell || Lymphoma, Follicular, Mixed Lymphocytic-Histiocytic || Lymphoma, Follicular, Mixed Small and Large Lymphoid || Lymphoma, Follicular, Small and Large Cleaved Cell || Lymphoma, Follicular, Small and Large Cleaved-Cell || Lymphoma, Giant Follicular || Lymphoma, Histiocytic, Nodular || Lymphoma, Large Cell, Follicular || Lymphoma, Large Lymphoid, Nodular || Lymphoma, Large-Cell, Follicular || Lymphoma, Lymphocytic, Nodular, Poorly Differentiated || Lymphoma, Lymphocytic, Nodular, Poorly-Differentiated || Lymphoma, Mixed-Cell, Follicular || Lymphoma, Nodular || Lymphoma, Nodular Histiocytic || Lymphoma, Nodular, Large Follicular Center Cell || Lymphoma, Nodular, Large Follicular Center-Cell || Lymphoma, Nodular, Mixed Lymphocytic Histiocytic || Lymphoma, Nodular, Mixed Lymphocytic-Histiocytic || Lymphoma, Nodular, Mixed Small and Large Cell || Lymphoma, Small Cleaved Cell, Follicular || Lymphoma, Small Cleaved-Cell, Follicular || Lymphoma, Small Follicular Center Cell || Lymphoma, Small Follicular Center-Cell || Lymphoma, Small Lymphoid, Follicular || Lymphomas, Follicular || Lymphomas, Follicular Large-Cell || Lymphomas, Follicular Mixed-Cell || Lymphomas, Giant Follicular || Lymphomas, Nodular || Lymphomas, Nodular Histiocytic || Mixed Cell Lymphoma, Follicular || Mixed-Cell Lymphoma, Follicular || Mixed-Cell Lymphomas, Follicular || Nodular Histiocytic Lymphoma || Nodular Histiocytic Lymphomas || Nodular Large Follicular Center Cell Lymphoma || Nodular Large Follicular Center-Cell Lymphoma || Nodular Lymphoma || Nodular Lymphomas || Small Cleaved Cell Lymphoma, Follicular || Small Cleaved-Cell Lymphoma, Follicular || Small Follicular Center Cell Lymphoma || Small Follicular Center-Cell Lymphoma",77,C04.557.386.480.350 || C15.604.515.569.480.350 || C20.683.515.761.480.350,1,1,0,1,True
D008269,Macular Edema,Macular Edema,"Central Retinal Edema, Cystoid || Cystoid Macular Dystrophy || Cystoid Macular Edema || Cystoid Macular Edema, Postoperative || Edema, Cystoid Macular || Edema, Macular || Irvine Gass Syndrome || Irvine-Gass Syndrome || Macular Dystrophy, Dominant Cystoid || Macular Edema || Macular Edema, Cystoid || Syndrome, Irvine-Gass",12,C11.768.585.439.245,4,4,1,3,True
D008527,Medulloblastoma,Medulloblastoma,"Adult Medulloblastoma || Adult Medulloblastomas || Arachnoidal Cerebellar Sarcoma, Circumscribed || Childhood Medulloblastoma || Childhood Medulloblastomas || Desmoplastic Medulloblastoma || Desmoplastic Medulloblastomas || Medulloblastoma || Medulloblastoma, Adult || Medulloblastoma, Childhood || Medulloblastoma, Desmoplastic || Medulloblastoma, Melanocytic || Medulloblastomas || Medulloblastomas, Adult || Medulloblastomas, Childhood || Medulloblastomas, Desmoplastic || Medulloblastomas, Melanocytic || Medullomyoblastoma || Medullomyoblastomas || Melanocytic Medulloblastoma || Melanocytic Medulloblastomas || Sarcoma, Cerebellar, Circumscribed Arachnoidal",22,C04.557.465.625.600.380.515 || C04.557.465.625.600.590.500 || C04.557.470.670.380.515 || C04.557.470.670.590.500 || C04.557.580.625.600.380.515 || C04.557.580.625.600.590.500,1,1,0,1,True
D008545,Melanoma,Melanoma,"Malignant Melanoma || Malignant Melanomas || Melanoma || Melanoma, Malignant || Melanomas || Melanomas, Malignant",6,C04.557.465.625.650.510 || C04.557.580.625.650.510 || C04.557.665.510 || C04.588.805.377 || C17.800.882.445,4,4,0,4,True
D008593,Menopause,Menopause,"Change of Life, Female || Menopause",2,G08.686.157.500 || G08.686.841.249.500,2,2,1,1,True
D008659,Metabolic Diseases,Metabolic Diseases,"Disease, Metabolic || Diseases, Metabolic || Metabolic Disease || Metabolic Diseases || Thesaurismoses || Thesaurismosis",6,C18.452,1,1,0,1,True
D008881,Migraine Disorders,Migraine Disorders,"Abdominal Migraine || Abdominal Migraines || Acute Confusional Migraine || Acute Confusional Migraines || Cervical Migraine Syndrome || Cervical Migraine Syndromes || Disorder, Migraine || Disorders, Migraine || Headache, Migraine || Headache, Sick || Headaches, Migraine || Headaches, Sick || Hemicrania Migraine || Hemicrania Migraines || Migraine || Migraine Disorder || Migraine Disorders || Migraine Headache || Migraine Headaches || Migraine Syndrome, Cervical || Migraine Syndromes, Cervical || Migraine Variant || Migraine Variants || Migraine, Abdominal || Migraine, Acute Confusional || Migraine, Hemicrania || Migraines || Migraines, Abdominal || Migraines, Acute Confusional || Migraines, Hemicrania || Sick Headache || Sick Headaches || Status Migrainosus || Variant, Migraine || Variants, Migraine",35,C10.228.140.546.399.750,3,3,2,1,True
D009101,Multiple Myeloma,Multiple Myeloma,"Cell Myeloma, Plasma || Cell Myelomas, Plasma || Disease, Kahler || Kahler Disease || Multiple Myeloma || Multiple Myelomas || Myeloma Multiple || Myeloma, Multiple || Myeloma, Plasma Cell || Myeloma, Plasma-Cell || Myeloma-Multiple || Myeloma-Multiples || Myelomas, Multiple || Myelomas, Plasma Cell || Myelomas, Plasma-Cell || Myelomatoses || Myelomatosis || Plasma Cell Myeloma || Plasma Cell Myelomas || Plasma-Cell Myeloma || Plasma-Cell Myelomas",21,C04.557.595.500 || C14.907.454.460 || C15.378.147.780.650 || C15.378.463.515.460 || C20.683.515.845 || C20.683.780.650,2,2,0,2,True
D009103,Multiple Sclerosis,Multiple Sclerosis,"Disseminated Sclerosis || MS (Multiple Sclerosis) || Multiple Sclerosis || Multiple Sclerosis, Acute Fulminating || Sclerosis, Disseminated || Sclerosis, Multiple",6,C10.114.375.500 || C10.314.350.500 || C20.111.258.250.500,7,7,0,7,True
D009196,Myeloproliferative Disorders,Myeloproliferative Disorders,"Disorder, Myeloproliferative || Disorders, Myeloproliferative || Myeloproliferative Disorder || Myeloproliferative Disorders",4,C15.378.190.636,1,1,0,1,True
D009203,Myocardial Infarction,Myocardial Infarction,"Cardiovascular Stroke || Cardiovascular Strokes || Heart Attack || Heart Attacks || Infarct, Myocardial || Infarction, Myocardial || Infarctions, Myocardial || Infarcts, Myocardial || Myocardial Infarct || Myocardial Infarction || Myocardial Infarctions || Myocardial Infarcts || Stroke, Cardiovascular || Strokes, Cardiovascular",14,C14.280.647.500 || C14.907.585.500 || C23.550.513.355.750 || C23.550.717.489.750,2,2,1,1,True
D009216,Myopia,Myopia,Myopia || Myopias || Nearsightedness || Nearsightednesses,4,C11.744.636,2,2,2,0,True
D009223,Myotonic Dystrophy,Myotonic Dystrophy,"Atrophica, Myotonia || Atrophicas, Myotonia || Congenital Myotonic Dystrophies || Congenital Myotonic Dystrophy || Disease, Steinert || Disease, Steinert's || Dystrophia Myotonica || Dystrophia Myotonica 1 || Dystrophia Myotonica 2 || Dystrophia Myotonica 2s || Dystrophia Myotonicas || Dystrophica, Myotonia || Dystrophicas, Myotonia || Dystrophies, Congenital Myotonic || Dystrophies, Myotonic || Dystrophy, Congenital Myotonic || Dystrophy, Myotonic || Dystrophy, Steinert Myotonic || Myopathies, Proximal Myotonic || Myopathy, Proximal Myotonic || Myotonia Atrophica || Myotonia Atrophicas || Myotonia Dystrophica || Myotonia Dystrophicas || Myotonic Dystrophies || Myotonic Dystrophies, Congenital || Myotonic Dystrophy || Myotonic Dystrophy 1 || Myotonic Dystrophy 2 || Myotonic Dystrophy, Congenital || Myotonic Dystrophy, Steinert || Myotonic Myopathies, Proximal || Myotonic Myopathy, Proximal || Myotonica, Dystrophia || Myotonicas, Dystrophia || PROMM (Proximal Myotonic Myopathy) || PROMMs (Proximal Myotonic Myopathy) || Proximal Myotonic Myopathies || Proximal Myotonic Myopathy || Ricker Syndrome || Steinert Disease || Steinert Myotonic Dystrophy || Steinert's Disease || Steinerts Disease || Syndrome, Ricker",45,C05.651.534.500.500 || C05.651.662.750 || C10.574.500.547 || C10.668.491.175.500.500 || C10.668.491.606.750 || C16.320.400.542 || C16.320.577.500,1,1,0,1,True
D009290,Narcolepsy,Narcolepsy,"Gelineau Syndrome || Gelineau's Syndrome || Gelineau's Syndromes || Gelineaus Syndrome || Narcolepsy || Narcolepsy Cataplexy Syndrome || Narcolepsy-Cataplexy Syndrome || Narcolepsy-Cataplexy Syndromes || Narcoleptic Syndrome || Narcoleptic Syndromes || Paroxysmal Sleep || Sleep, Paroxysmal || Syndrome, Gelineau || Syndrome, Gelineau's || Syndrome, Narcolepsy-Cataplexy || Syndrome, Narcoleptic || Syndromes, Gelineau's || Syndromes, Narcolepsy-Cataplexy || Syndromes, Narcoleptic",19,C10.886.425.800.200.750 || F03.870.400.800.200.750,2,2,1,1,True
D009293,Opioid-Related Disorders,Opioid-Related Disorders,"Abuse, Opiate || Abuse, Opioid || Abuse, Prescription Opioid || Addiction, Opiate || Addiction, Opioid || Dependence, Opiate || Dependence, Opioid || Disorder, Opioid Use || Misuse, Opioid || Misuse, Prescription Opioid || Opiate Abuse || Opiate Abuses || Opiate Addiction || Opiate Dependence || Opioid Abuse || Opioid Abuse, Prescription || Opioid Abuses || Opioid Addiction || Opioid Addictions || Opioid Dependence || Opioid Dependences || Opioid Misuse || Opioid Misuses || Opioid Related Disorders || Opioid Use Disorder || Opioid Use Disorders || Opioid-Related Disorder || Opioid-Related Disorders || Prescription Opioid Abuse || Prescription Opioid Abuses || Prescription Opioid Misuse || Prescription Opioid Misuses",32,C25.775.643.500 || F03.900.647.500,1,1,1,0,True
D009298,Nasal Polyps,Nasal Polyps,"Nasal Polyp || Nasal Polyps || Polyp, Nasal || Polyps, Nasal",4,C08.460.572 || C09.603.557 || C23.300.825.557,3,3,0,3,True
D009303,Nasopharyngeal Neoplasms,Nasopharyngeal Neoplasms,"Cancer of Nasopharynx || Cancer of the Nasopharynx || Cancer, Nasopharyngeal || Cancer, Nasopharynx || Cancers, Nasopharyngeal || Cancers, Nasopharynx || Nasopharyngeal Cancer || Nasopharyngeal Cancers || Nasopharyngeal Neoplasm || Nasopharyngeal Neoplasms || Nasopharynx Cancer || Nasopharynx Cancers || Nasopharynx Neoplasm || Nasopharynx Neoplasms || Neoplasm, Nasopharyngeal || Neoplasm, Nasopharynx || Neoplasms, Nasopharyngeal || Neoplasms, Nasopharynx",18,C04.588.443.665.710.650 || C07.550.350.650 || C07.550.745.650 || C09.647.710.650 || C09.775.350.650 || C09.775.549.650,1,1,0,1,True
D009369,Neoplasms,Neoplasms,"Benign Neoplasm || Benign Neoplasms || Cancer || Cancers || Malignancies || Malignancy || Malignant Neoplasm || Malignant Neoplasms || Neoplasia || Neoplasias || Neoplasm || Neoplasm, Benign || Neoplasm, Malignant || Neoplasms || Neoplasms, Benign || Neoplasms, Malignant || Tumor || Tumors",18,C04,11,11,1,10,True
D009437,Neuralgia,Neuralgia,"Atypical Neuralgia || Atypical Neuralgias || Iliohypogastric Nerve Neuralgia || Iliohypogastric Nerve Neuralgias || Ilioinguinal Neuralgia || Ilioinguinal Neuralgias || Nerve Neuralgia, Iliohypogastric || Nerve Neuralgias, Iliohypogastric || Nerve Pain || Nerve Pain, Paroxysmal || Nerve Pains || Nerve Pains, Paroxysmal || Neuralgia || Neuralgia, Atypical || Neuralgia, Iliohypogastric Nerve || Neuralgia, Ilioinguinal || Neuralgia, Perineal || Neuralgia, Stump || Neuralgia, Supraorbital || Neuralgia, Vidian || Neuralgias || Neuralgias, Atypical || Neuralgias, Iliohypogastric Nerve || Neuralgias, Ilioinguinal || Neuralgias, Perineal || Neuralgias, Stump || Neuralgias, Supraorbital || Neuralgias, Vidian || Neurodynia || Neurodynias || Neuropathic Pain || Neuropathic Pains || Pain, Nerve || Pain, Neuropathic || Pain, Paroxysmal Nerve || Pains, Nerve || Pains, Neuropathic || Pains, Paroxysmal Nerve || Paroxysmal Nerve Pain || Paroxysmal Nerve Pains || Perineal Neuralgia || Perineal Neuralgias || Stump Neuralgia || Stump Neuralgias || Supraorbital Neuralgia || Supraorbital Neuralgias || Vidian Neuralgia || Vidian Neuralgias",48,C10.668.829.600 || C23.888.592.612.664 || F02.830.816.444.515 || G11.561.790.444.538,1,1,0,1,True
D009503,Neutropenia,Neutropenia,Neutropenia || Neutropenias,2,C15.378.243.750.184.564 || C15.378.553.546.184.564,4,4,2,2,True
D009765,Obesity,Obesity,Obesity,1,C18.654.726.750.500 || C23.888.144.699.500,31,31,4,27,True
D009771,Obsessive-Compulsive Disorder,Obsessive-Compulsive Disorder,"Anankastic Personalities || Anankastic Personality || Disorder, Obsessive-Compulsive || Disorders, Obsessive-Compulsive || Neuroses, Obsessive-Compulsive || Neurosis, Obsessive Compulsive || Neurosis, Obsessive-Compulsive || Obsessive Compulsive Disorder || Obsessive-Compulsive Disorder || Obsessive-Compulsive Disorders || Obsessive-Compulsive Neuroses || Obsessive-Compulsive Neurosis || Personalities, Anankastic || Personality, Anankastic",14,F03.080.600,2,2,0,2,True
D010003,Osteoarthritis,Osteoarthritis,"Arthritides, Degenerative || Arthritis, Degenerative || Arthroses || Arthrosis || Degenerative Arthritides || Degenerative Arthritis || Osteoarthritides || Osteoarthritis || Osteoarthroses || Osteoarthrosis || Osteoarthrosis Deformans",11,C05.550.114.606 || C05.799.613,2,2,1,1,True
D010024,Osteoporosis,Osteoporosis,"Age Related Osteoporosis || Age-Related Bone Loss || Age-Related Bone Losses || Age-Related Osteoporoses || Age-Related Osteoporosis || Bone Loss, Age Related || Bone Loss, Age-Related || Bone Losses, Age-Related || Osteoporoses || Osteoporoses, Age-Related || Osteoporoses, Senile || Osteoporosis || Osteoporosis, Age Related || Osteoporosis, Age-Related || Osteoporosis, Involutional || Osteoporosis, Post Traumatic || Osteoporosis, Post-Traumatic || Osteoporosis, Senile || Post-Traumatic Osteoporoses || Post-Traumatic Osteoporosis || Senile Osteoporoses || Senile Osteoporosis",22,C05.116.198.579 || C18.452.104.579,3,3,1,2,True
D010051,Ovarian Neoplasms,Ovarian Neoplasms,"Cancer of Ovary || Cancer of the Ovary || Cancer, Ovarian || Cancer, Ovary || Cancers, Ovarian || Cancers, Ovary || Neoplasm, Ovarian || Neoplasm, Ovary || Neoplasms, Ovarian || Neoplasms, Ovary || Ovarian Cancer || Ovarian Cancers || Ovarian Neoplasm || Ovarian Neoplasms || Ovary Cancer || Ovary Cancers || Ovary Neoplasm || Ovary Neoplasms",18,C04.588.322.455 || C12.050.351.500.056.630.705 || C12.050.351.937.418.685 || C12.100.250.056.630.705 || C12.900.418.685 || C19.344.410 || C19.391.630.705,7,7,0,7,True
D010300,Parkinson Disease,Parkinson Disease,"Idiopathic Parkinson Disease || Idiopathic Parkinson's Disease || Lewy Body Parkinson Disease || Lewy Body Parkinson's Disease || Paralysis Agitans || Parkinson Disease || Parkinson Disease, Idiopathic || Parkinson's Disease || Parkinson's Disease, Idiopathic || Parkinson's Disease, Lewy Body || Parkinsonism, Primary || Primary Parkinsonism",12,C10.228.140.079.862.500 || C10.228.662.600.400 || C10.574.928.750,6,6,0,6,True
D010493,Pericarditis,Pericarditis,Pericarditis || Pleuropericarditis,2,C14.280.720,1,1,0,1,True
D010787,Photosensitivity Disorders,Photosensitivity Disorders,"Actinic Dermatitides || Actinic Dermatitides, Chronic || Actinic Dermatitis || Actinic Dermatitis, Chronic || Actinic Reticuloid Syndrome || Actinic Reticuloid Syndromes || Chronic Actinic Dermatitides || Chronic Actinic Dermatitis || Dermatitides, Actinic || Dermatitides, Chronic Actinic || Dermatitis, Actinic || Dermatitis, Chronic Actinic || Disorder, Photosensitivity || Disorders, Photosensitivity || Photodermatitides || Photodermatitis || Photosensitivity Disorder || Photosensitivity Disorders || Photosensitization || Reticuloid Syndrome, Actinic || Reticuloid Syndromes, Actinic || Syndrome, Actinic Reticuloid || Syndromes, Actinic Reticuloid",23,C17.800.600,1,1,0,1,True
D010916,Pityriasis Rubra Pilaris,Pityriasis Rubra Pilaris,Pityriasis Rubra Pilaris,1,C17.800.859.600.685,1,1,0,1,True
D011085,Polycystic Ovary Syndrome,Polycystic Ovary Syndrome,"Ovarian Degeneration, Sclerocystic || Ovarian Syndrome, Polycystic || Ovary Syndrome, Polycystic || Ovary, Sclerocystic || Polycystic Ovarian Syndrome || Polycystic Ovary Syndrome || Polycystic Ovary Syndrome 1 || Sclerocystic Ovarian Degeneration || Sclerocystic Ovaries || Sclerocystic Ovary || Sclerocystic Ovary Syndrome || Stein Leventhal Syndrome || Stein-Leventhal Syndrome || Syndrome, Polycystic Ovary || Syndrome, Stein-Leventhal",15,C04.182.612.765 || C12.050.351.500.056.630.580.765 || C12.100.250.056.630.580.765 || C19.391.630.580.765,1,1,1,0,True
D011087,Polycythemia Vera,Polycythemia Vera,"Disease, Osler-Vaquez || Erythremia || Erythremias || Osler Vaquez Disease || Osler-Vaquez Disease || Polycythemia Ruba Vera || Polycythemia Ruba Veras || Polycythemia Rubra Vera || Polycythemia Rubra Veras || Polycythemia Vera || Polycythemia, Primary || Polycythemias, Primary || Primary Polycythemia || Primary Polycythemias || Ruba Vera, Polycythemia || Ruba Veras, Polycythemia || Vera, Polycythemia Ruba || Vera, Polycythemia Rubra || Veras, Polycythemia Ruba || Veras, Polycythemia Rubra",20,C04.588.448.200.500 || C15.378.190.250.500 || C15.378.190.636.753 || C15.378.400.200.500,1,1,1,0,True
D011470,Prostatic Hyperplasia,Prostatic Hyperplasia,"Adenoma, Prostatic || Adenomas, Prostatic || Benign Prostatic Hyperplasia || Benign Prostatic Hyperplasias || Benign Prostatic Hypertrophy || Hyperplasia, Benign Prostatic || Hyperplasia, Prostatic || Hyperplasias, Benign Prostatic || Hypertrophies, Prostatic || Hypertrophy, Benign Prostatic || Hypertrophy, Prostatic || Prostatic Adenoma || Prostatic Adenomas || Prostatic Hyperplasia || Prostatic Hyperplasia, Benign || Prostatic Hyperplasias, Benign || Prostatic Hypertrophies || Prostatic Hypertrophy || Prostatic Hypertrophy, Benign",19,C12.100.500.565.500 || C12.200.294.565.500,1,1,1,0,True
D011471,Prostatic Neoplasms,Prostatic Neoplasms,"Cancer of Prostate || Cancer of the Prostate || Cancer, Prostate || Cancer, Prostatic || Cancers, Prostate || Cancers, Prostatic || Neoplasm, Prostate || Neoplasm, Prostatic || Neoplasms, Prostate || Neoplasms, Prostatic || Prostate Cancer || Prostate Cancers || Prostate Neoplasm || Prostate Neoplasms || Prostatic Cancer || Prostatic Cancers || Prostatic Neoplasm || Prostatic Neoplasms",18,C04.588.945.440.770 || C12.100.500.260.750 || C12.100.500.565.625 || C12.200.294.260.750 || C12.200.294.565.625 || C12.200.758.409.750 || C12.900.619.750,16,16,1,15,True
D011565,Psoriasis,Psoriasis,Palmoplantaris Pustulosis || Psoriases || Psoriasis || Pustular Psoriasis of Palms and Soles || Pustulosis Palmaris et Plantaris || Pustulosis of Palms and Soles,6,C17.800.859.675,12,12,3,9,True
D011618,Psychotic Disorders,Psychotic Disorders,"Brief Reactive Psychoses || Brief Reactive Psychosis || Disorder, Psychotic || Disorder, Schizoaffective || Disorder, Schizophreniform || Disorders, Psychotic || Disorders, Schizoaffective || Disorders, Schizophreniform || Psychoses || Psychoses, Brief Reactive || Psychosis || Psychosis, Brief Reactive || Psychotic Disorder || Psychotic Disorders || Reactive Psychoses, Brief || Reactive Psychosis, Brief || Schizoaffective Disorder || Schizoaffective Disorders || Schizophreniform Disorder || Schizophreniform Disorders",20,F03.700.675,3,3,1,2,True
D011628,"Puberty, Delayed","Puberty, Delayed","Delayed Puberty || Puberty, Delayed",2,C19.391.690,1,1,1,0,True
D011655,Pulmonary Embolism,Pulmonary Embolism,"Embolism, Pulmonary || Embolisms, Pulmonary || Pulmonary Embolism || Pulmonary Embolisms || Pulmonary Thromboembolism || Pulmonary Thromboembolisms || Thromboembolism, Pulmonary || Thromboembolisms, Pulmonary",8,C08.381.746 || C14.907.355.350.700,1,1,1,0,True
D012148,Restless Legs Syndrome,Restless Legs Syndrome,"Disease, Willis Ekbom || Disease, Willis-Ekbom || Restless Leg Syndrome || Restless Legs || Restless Legs Syndrome || Syndrome, Restless Leg || Syndrome, Willis Ekbom || Syndrome, Willis-Ekbom || Syndrome, Wittmaack Ekbom || Syndrome, Wittmaack-Ekbom || Willis Ekbom Disease || Willis Ekbom Syndrome || Willis-Ekbom Disease || Willis-Ekbom Syndrome || Wittmaack Ekbom Syndrome || Wittmaack-Ekbom Syndrome",16,C10.803 || C10.886.425.800.700 || C10.886.659.634 || F03.870.400.800.700 || F03.870.664.634,2,2,1,1,True
D012164,Retinal Diseases,Retinal Diseases,"Disease, Retinal || Diseases, Retinal || Retinal Disease || Retinal Diseases",4,C11.768,1,1,0,1,True
D012170,Retinal Vein Occlusion,Retinal Vein Occlusion,"Branch Retinal Vein Occlusion || Branch Vein Occlusion || Branch Vein Occlusions || Central Retinal Vein Occlusion || Occlusion, Branch Vein || Occlusion, Retinal Vein || Retinal Branch Vein Occlusion || Retinal Vein Occlusion || Retinal Vein Occlusions || Retinal Vein Thromboses || Retinal Vein Thrombosis || Thrombosis, Retinal Vein || Vein Occlusion, Branch || Vein Occlusion, Retinal || Vein Thrombosis, Retinal",15,C11.768.760 || C14.907.355.830.925.650 || C14.907.760,1,1,0,1,True
D012174,Retinitis Pigmentosa,Retinitis Pigmentosa,"Pigmentary Retinopathies || Pigmentary Retinopathy || Retinitis Pigmentosa || Retinopathies, Pigmentary || Retinopathy, Pigmentary || Tapetoretinal Degeneration || Tapetoretinal Degenerations",7,C11.270.684 || C11.768.585.658.500 || C16.320.290.684,2,2,0,2,True
D012208,Rhabdomyosarcoma,Rhabdomyosarcoma,Rhabdomyosarcoma || Rhabdomyosarcomas,2,C04.557.450.590.550.660 || C04.557.450.795.550.660,1,1,0,1,True
D012220,Rhinitis,Rhinitis,"Catarrh, Nasal || Catarrhs, Nasal || Nasal Catarrh || Nasal Catarrhs || Rhinitides || Rhinitis",6,C01.748.674 || C08.460.799 || C08.730.674 || C09.603.799,1,1,0,1,True
D012507,Sarcoidosis,Sarcoidosis,"Besnier Boeck Disease || Besnier Boeck Schaumann Syndrome || Besnier-Boeck Disease || Besnier-Boeck-Schaumann Syndrome || Boeck Disease || Boeck Sarcoid || Boeck's Disease || Boeck's Sarcoid || Boecks Disease || Boecks Sarcoid || Disease, Schaumann || Sarcoid, Boeck's || Sarcoidoses || Sarcoidosis || Schaumann Disease || Schaumann Syndrome || Schaumann's Syndrome || Schaumann's Syndromes || Syndrome, Besnier-Boeck-Schaumann || Syndrome, Schaumann || Syndrome, Schaumann's",21,C15.604.515.827 || C20.543.418.575,1,1,0,1,True
D012559,Schizophrenia,Schizophrenia,"Dementia Praecox || Disorder, Schizophrenic || Disorders, Schizophrenic || Schizophrenia || Schizophrenias || Schizophrenic Disorder || Schizophrenic Disorders",7,F03.700.750,4,4,1,3,True
D012852,Sinusitis,Sinusitis,"Infection, Sinus || Infections, Sinus || Sinus Infection || Sinus Infections || Sinusitides || Sinusitis",6,C01.748.749 || C08.460.692.752 || C08.730.749 || C09.603.692.752,3,3,0,3,True
D012859,Sjogren's Syndrome,Sjogren's Syndrome,"Sicca Syndrome || Sjogren Syndrome || Sjogren's Syndrome || Sjogrens Syndrome || Syndrome, Sicca || Syndrome, Sjogren's",6,C05.550.114.154.774 || C05.799.114.774 || C07.465.815.929.669 || C11.496.260.719 || C17.300.775.099.774 || C20.111.199.774,6,6,1,5,True
D012893,Sleep Wake Disorders,Sleep Wake Disorders,"Disorder, Sleep || Disorder, Sleep Wake || Disorders, Sleep || Disorders, Sleep Wake || Long Sleeper Syndrome || Long Sleeper Syndromes || Neurogenic Tachypnea, Sleep-Related || Neurogenic Tachypneas, Sleep-Related || Phenotype, Short Sleep || Phenotypes, Short Sleep || Short Sleep Phenotype || Short Sleep Phenotypes || Short Sleeper Syndrome || Short Sleeper Syndromes || Sleep Disorder || Sleep Disorders || Sleep Phenotypes, Short || Sleep Related Neurogenic Tachypnea || Sleep Wake Disorder || Sleep Wake Disorders || Sleep-Related Neurogenic Tachypnea || Sleep-Related Neurogenic Tachypneas || Sleeper Syndrome, Long || Sleeper Syndrome, Short || Sleeper Syndromes, Long || Sleeper Syndromes, Short || Subwakefullness Syndrome || Subwakefullness Syndromes || Syndrome, Long Sleeper || Syndrome, Short Sleeper || Syndrome, Subwakefullness || Syndromes, Long Sleeper || Syndromes, Short Sleeper || Syndromes, Subwakefullness || Tachypnea, Sleep-Related Neurogenic || Tachypneas, Sleep-Related Neurogenic || Wake Disorder, Sleep || Wake Disorders, Sleep",38,C10.886 || C23.888.592.796 || F03.870,5,5,1,4,True
D013167,"Spondylitis, Ankylosing","Spondylitis, Ankylosing","Ankylosing Spondylarthritides || Ankylosing Spondylarthritis || Ankylosing Spondylitis || Ankylosing Spondyloarthritides || Ankylosing Spondyloarthritis || Bechterew Disease || Bechterew's Disease || Bechterews Disease || Marie Struempell Disease || Marie-Struempell Disease || Rheumatoid Spondylitis || Spondylarthritides, Ankylosing || Spondylarthritis Ankylopoietica || Spondylarthritis, Ankylosing || Spondylitis Ankylopoietica || Spondylitis, Ankylosing || Spondylitis, Rheumatoid || Spondyloarthritides, Ankylosing || Spondyloarthritis Ankylopoietica || Spondyloarthritis, Ankylosing",20,C05.116.900.853.625.800.744.500 || C05.550.069.340.500 || C05.550.114.865.800.744.500,4,4,0,4,True
D013274,Stomach Neoplasms,Stomach Neoplasms,"Cancer of Stomach || Cancer of the Stomach || Cancer, Gastric || Cancer, Stomach || Cancers, Gastric || Cancers, Stomach || Gastric Cancer || Gastric Cancer, Familial Diffuse || Gastric Cancers || Gastric Neoplasm || Gastric Neoplasms || Neoplasm, Gastric || Neoplasm, Stomach || Neoplasms, Gastric || Neoplasms, Stomach || Stomach Cancer || Stomach Cancers || Stomach Neoplasm || Stomach Neoplasms",19,C04.588.274.476.767 || C06.301.371.767 || C06.405.249.767 || C06.405.748.789,3,3,0,3,True
D013276,Stomach Ulcer,Stomach Ulcer,"Gastric Ulcer || Gastric Ulcers || Stomach Ulcer || Stomach Ulcers || Ulcer, Gastric || Ulcer, Stomach || Ulcers, Gastric || Ulcers, Stomach",8,C06.405.469.275.800.849 || C06.405.748.586.849,1,1,0,1,True
