indication_mesh_id,indication_mesh_term,mesh2026_preferred_term,n_pairs,n_genes,n_A,n_B,n_conservative_candidates,candidate_1_id,candidate_1_description,candidate_1_pops_pass_qc,candidate_1_scope_relation,candidate_1_shared_tokens,candidate_1_subtype_conflict,selected_panukb_phenotype_id,mapping_decision,mapping_rationale,reviewer_notes,candidate_2_id,candidate_2_description,candidate_2_pops_pass_qc,candidate_2_scope_relation,candidate_2_shared_tokens,candidate_2_subtype_conflict,candidate_3_id,candidate_3_description,candidate_3_pops_pass_qc,candidate_3_scope_relation,candidate_3_shared_tokens,candidate_3_subtype_conflict
D004827,Epilepsy,Epilepsy,2,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,
D004829,"Epilepsy, Generalized","Epilepsy, Generalized",2,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,
D057180,Frontotemporal Dementia,Frontotemporal Dementia,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,
D005764,Gastroesophageal Reflux,Gastroesophageal Reflux,2,2,1,1,3,phecode|530.11|both_sexes||,GERD,"EUR,MID",same_informative_tokens,gerd,False,,,,,icd10|K21|both_sexes||,K21 Gastro-oesophageal reflux disease,"EUR,MID",same_informative_tokens,gastro | oesophageal | reflux,False,phecode|530.1|both_sexes||,"Esophagitis, GERD and related diseases","EUR,MID",phenotype_more_specific,gerd,False
D005770,Gastrointestinal Neoplasms,Gastrointestinal Neoplasms,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,
D005922,"Glomerulonephritis, IGA","Glomerulonephritis, IGA",2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,
D006073,Gout,Gout,2,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,
D006258,Head and Neck Neoplasms,Head and Neck Neoplasms,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,
D006689,Hodgkin Disease,Hodgkin Disease,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,
D017681,Hypereosinophilic Syndrome,Hypereosinophilic Syndrome,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,
D007680,Kidney Neoplasms,Kidney Neoplasms,2,2,2,0,1,phecode|594.1|both_sexes||,Calculus of kidney,"CSA,EUR",phenotype_more_specific,kidney,False,,,,,,,,,,,,,,,,
D008593,Menopause,Menopause,2,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,
D009101,Multiple Myeloma,Multiple Myeloma,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,
D019578,Multiple System Atrophy,Multiple System Atrophy,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,
D009203,Myocardial Infarction,Myocardial Infarction,2,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,
D009216,Myopia,Myopia,2,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,
D009290,Narcolepsy,Narcolepsy,2,2,1,1,2,icd10|G47|both_sexes||,G47 Sleep disorders,"CSA,EUR",phenotype_broader,sleep,False,,,,,phecode|327|both_sexes||,Sleep disorders,"CSA,EUR",phenotype_broader,sleep,False,,,,,,
D009771,Obsessive-Compulsive Disorder,Obsessive-Compulsive Disorder,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,
D010003,Osteoarthritis,Osteoarthritis,2,2,1,1,3,phecode|740|both_sexes||,Osteoarthrosis,"EUR,MID",same_informative_tokens,osteoarthrosi,False,,,,,icd10|M16|both_sexes||,M16 Coxarthrosis [arthrosis of hip],"CSA,EUR",phenotype_more_specific,arthrosi,False,icd10|M17|both_sexes||,M17 Gonarthrosis [arthrosis of knee],"EUR,MID",phenotype_more_specific,arthrosi,False
D012148,Restless Legs Syndrome,Restless Legs Syndrome,2,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,
D012174,Retinitis Pigmentosa,Retinitis Pigmentosa,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,
D006255,"Rhinitis, Allergic, Seasonal","Rhinitis, Allergic, Seasonal",2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,
D013736,Testicular Neoplasms,Testicular Neoplasms,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,
D014523,Urethral Neoplasms,Urethral Neoplasms,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,
D014565,Urogenital Neoplasms,Urogenital Neoplasms,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,
D057135,Wet Macular Degeneration,Wet Macular Degeneration,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,
D000417,Albinism,Albinism,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D019973,Alcohol-Related Disorders,Alcohol-Related Disorders,1,1,0,1,1,phecode|317|both_sexes||,Alcohol-related disorders,"AFR,EUR",same_informative_tokens,alcohol | related,False,,,,,,,,,,,,,,,,
D000505,Alopecia,Alopecia,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
D000690,Amyotrophic Lateral Sclerosis,Amyotrophic Lateral Sclerosis,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D001145,"Arrhythmias, Cardiac","Arrhythmias, Cardiac",1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D001171,"Arthritis, Juvenile","Arthritis, Juvenile",1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
D001850,"Bone Diseases, Infectious","Bone Diseases, Infectious",1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D001851,"Bone Diseases, Metabolic","Bone Diseases, Metabolic",1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D029481,"Bronchitis, Chronic","Bronchitis, Chronic",1,1,1,0,2,phecode|496.2|both_sexes||,Chronic bronchitis,"CSA,EUR",same_informative_tokens,bronchiti | chronic,False,,,,,phecode|496.21|both_sexes||,Obstructive chronic bronchitis,"CSA,EUR",phenotype_more_specific,bronchiti | chronic,False,,,,,,
D000086382,COVID-19,COVID-19,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
D002446,Celiac Disease,Celiac Disease,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D002761,Cholangitis,Cholangitis,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D003414,Crigler-Najjar Syndrome,Crigler-Najjar Syndrome,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D003704,Dementia,Dementia,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D003928,Diabetic Nephropathies,Diabetic Nephropathies,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D003929,Diabetic Neuropathies,Diabetic Neuropathies,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D004381,Duodenal Ulcer,Duodenal Ulcer,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D020920,Dyssomnias,Dyssomnias,1,1,0,1,2,icd10|G47|both_sexes||,G47 Sleep disorders,"CSA,EUR",phenotype_broader,sleep,False,,,,,phecode|327|both_sexes||,Sleep disorders,"CSA,EUR",phenotype_broader,sleep,False,,,,,,
D004485,Eczema,Eczema,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D016889,Endometrial Neoplasms,Endometrial Neoplasms,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D004715,Endometriosis,Endometriosis,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
D004828,"Epilepsies, Partial","Epilepsies, Partial",1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
D004938,Esophageal Neoplasms,Esophageal Neoplasms,1,1,0,1,1,phecode|530|both_sexes||,Diseases of esophagus,"EUR,MID",same_informative_tokens,esophagu,False,,,,,,,,,,,,,,,,
D005168,Factor VII Deficiency,Factor VII Deficiency,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D005173,Factor XI Deficiency,Factor XI Deficiency,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,
D042882,Gallstones,Gallstones,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D005909,Glioblastoma,Glioblastoma,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D006177,Gynecomastia,Gynecomastia,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D006333,Heart Failure,Heart Failure,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
D019337,Hematologic Neoplasms,Hematologic Neoplasms,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,
