indication_mesh_id,indication_mesh_term,mesh2026_preferred_term,n_pairs,n_genes,n_A,n_B,candidate_1_id,candidate_1_description,candidate_1_pops_pass_qc,candidate_1_score,candidate_1_matched_mesh_term,candidate_2_id,candidate_2_description,candidate_2_pops_pass_qc,candidate_2_score,candidate_2_matched_mesh_term,candidate_3_id,candidate_3_description,candidate_3_pops_pass_qc,candidate_3_score,candidate_3_matched_mesh_term,candidate_4_id,candidate_4_description,candidate_4_pops_pass_qc,candidate_4_score,candidate_4_matched_mesh_term,candidate_5_id,candidate_5_description,candidate_5_pops_pass_qc,candidate_5_score,candidate_5_matched_mesh_term,selected_panukb_phenotype_id,mapping_decision,mapping_rationale,reviewer_notes
D009369,Neoplasms,Neoplasms,11,11,1,10,icd10|K80|both_sexes||,K80 Cholelithiasis,"EAS,EUR",7.5,Neoplasias,phecode|574.1|both_sexes||,Cholelithiasis,"EAS,EUR",7.5,Neoplasias,phecode|740|both_sexes||,Osteoarthrosis,"EUR,MID",7.5,Neoplasias,icd10|R07|both_sexes||,R07 Pain in throat and chest,"CSA,EUR",6.666666666666666,Malignancies,icd10|J45|both_sexes||,J45 Asthma,"CSA,EUR,MID",6.428571428571428,Neoplasm,,,,
D001327,Autoimmune Diseases,Autoimmune Diseases,10,10,0,10,phecode|530|both_sexes||,Diseases of esophagus,"EUR,MID",52.416666666666664,"Diseases, Autoimmune",phecode|411|both_sexes||,Ischemic Heart Disease,"CSA,EUR",48.75,Autoimmune Disease,phecode|530.1|both_sexes||,"Esophagitis, GERD and related diseases","EUR,MID",47.0,Autoimmune Diseases,icd10|Z86|both_sexes||,Z86 Personal history of certain other diseases,"EUR,MID",46.877049180327866,Autoimmune Diseases,icd10|I25|both_sexes||,I25 Chronic ischaemic heart disease,"CSA,EUR",45.62244897959184,Autoimmune Disease,,,,
D008180,"Lupus Erythematosus, Systemic","Lupus Erythematosus, Systemic",10,10,0,10,phecode|411|both_sexes||,Ischemic Heart Disease,"CSA,EUR",36.52380952380952,Libman Sacks Disease,icd10|I25|both_sexes||,I25 Chronic ischaemic heart disease,"CSA,EUR",33.970588235294116,Libman Sacks Disease,icd10|K21|both_sexes||,K21 Gastro-oesophageal reflux disease,"EUR,MID",33.160377358490564,Libman Sacks Disease,icd10|J44|both_sexes||,J44 Other chronic obstructive pulmonary disease,"CSA,EUR",32.738095238095234,Libman Sacks Disease,phecode|411.8|both_sexes||,"Other chronic ischemic heart disease, unspecified","CSA,EAS,EUR",32.35294117647059,Libman Sacks Disease,,,,
D013921,Thrombocytopenia,Thrombocytopenia,10,10,4,6,phecode|306|both_sexes||,Other mental disorder,"EAS,EUR",7.0588235294117645,Thrombopenias,icd10|J45|both_sexes||,J45 Asthma,"CSA,EUR,MID",6.666666666666666,Thrombopenia,icd10|K44|both_sexes||,K44 Diaphragmatic hernia,"EUR,MID",6.666666666666666,Thrombocytopenia,phecode|550.2|both_sexes||,Diaphragmatic hernia,"CSA,EUR,MID",6.666666666666666,Thrombocytopenia,phecode|740|both_sexes||,Osteoarthrosis,"EUR,MID",6.666666666666666,Thrombopenias,,,,
D013922,Thrombocytosis,Thrombocytosis,10,10,2,8,phecode|496.2|both_sexes||,Chronic bronchitis,"CSA,EUR",8.4375,Thrombocytosis,phecode|740|both_sexes||,Osteoarthrosis,"EUR,MID",7.5,Thrombocytosis,phecode|716.9|both_sexes||,Arthropathy NOS,"EAS,EUR",7.241379310344828,Thrombocytoses,phecode|411.4|both_sexes||,Coronary atherosclerosis,"CSA,EUR",7.105263157894736,Thrombocytosis,icd10|K44|both_sexes||,K44 Diaphragmatic hernia,"EUR,MID",6.857142857142857,Thrombocythemia,,,,
D015535,"Arthritis, Psoriatic","Arthritis, Psoriatic",9,9,3,6,phecode|716|both_sexes||,Other arthropathies,"EAS,EUR",93.92857142857143,Psoriatic Arthropathies,phecode|716.9|both_sexes||,Arthropathy NOS,"EAS,EUR",93.33333333333333,"Arthropathy, Psoriatic",phecode|714|both_sexes||,Rheumatoid arthritis and other inflammatory polyarthropathies,"CSA,EUR",45.125,"Arthritis, Psoriatic",icd10|R07|both_sexes||,R07 Pain in throat and chest,"CSA,EUR",8.297872340425533,Psoriatic Arthropathies,phecode|740|both_sexes||,Osteoarthrosis,"EUR,MID",8.181818181818182,Arthritic Psoriasis,,,,
D050197,Atherosclerosis,Atherosclerosis,9,9,1,8,phecode|411.4|both_sexes||,Coronary atherosclerosis,"CSA,EUR",114.03846153846153,Atherosclerosis,phecode|740|both_sexes||,Osteoarthrosis,"EUR,MID",8.88888888888889,Atherogenesis,phecode|401|both_sexes||,Hypertension,"CSA,EUR",8.4,Atherogenesis,phecode|496.2|both_sexes||,Chronic bronchitis,"CSA,EUR",7.272727272727273,Atherosclerosis,phecode|306|both_sexes||,Other mental disorder,"EAS,EUR",7.0588235294117645,Atherogenesis,,,,
D015212,Inflammatory Bowel Diseases,Inflammatory Bowel Diseases,9,9,0,9,phecode|530|both_sexes||,Diseases of esophagus,"EUR,MID",48.125,"Bowel Diseases, Inflammatory",phecode|411|both_sexes||,Ischemic Heart Disease,"CSA,EUR",35.541666666666664,Inflammatory Bowel Disease,icd10|Z86|both_sexes||,Z86 Personal history of certain other diseases,"EUR,MID",34.891304347826086,Inflammatory Bowel Diseases,phecode|530.1|both_sexes||,"Esophagitis, GERD and related diseases","EUR,MID",34.53125,Inflammatory Bowel Diseases,icd10|I25|both_sexes||,I25 Chronic ischaemic heart disease,"CSA,EUR",34.34210526315789,Inflammatory Bowel Disease,,,,
D065631,"Rhinitis, Allergic","Rhinitis, Allergic",9,9,1,8,phecode|496.2|both_sexes||,Chronic bronchitis,"CSA,EUR",8.571428571428571,Allergic Rhinitis,icd10|K44|both_sexes||,K44 Diaphragmatic hernia,"EUR,MID",7.297297297297297,Allergic Rhinitis,phecode|550.2|both_sexes||,Diaphragmatic hernia,"CSA,EUR,MID",7.297297297297297,Allergic Rhinitis,phecode|496.21|both_sexes||,Obstructive chronic bronchitis,"CSA,EUR",7.0212765957446805,Allergic Rhinitis,icd10|K80|both_sexes||,K80 Cholelithiasis,"EAS,EUR",6.774193548387097,Allergic Rhinitis,,,,
D006938,Hyperlipoproteinemia Type II,Hyperlipoproteinemia Type II,8,8,3,5,phecode|401.1|both_sexes||,Essential hypertension,"CSA,EUR",54.55128205128205,Essential Hypercholesterolemia,icd10|G47|both_sexes||,G47 Sleep disorders,"CSA,EUR",52.601351351351354,LDL Receptor Disorders,phecode|327|both_sexes||,Sleep disorders,"CSA,EUR",52.601351351351354,LDL Receptor Disorders,phecode|250.2|both_sexes||,Type 2 diabetes,"CSA,EUR",51.30952380952381,"Type 2, Hyperlipoproteinemia",phecode|306|both_sexes||,Other mental disorder,"EAS,EUR",49.82142857142857,"Receptor Disorder, LDL",,,,
