weight_scheme,model_id,exposure_model,term,beta,cluster_robust_se,odds_ratio,ci_low,ci_high,p_value
unweighted,SW4,n_ancestries_all,mesh_C14,0.4277445441200553,0.4703751544203717,1.5337942141667373,0.6100747320469444,3.856125434859571,0.3631554241441979
unweighted,SW4,n_ancestries_all,mesh_F03,0.24257497378317702,0.5136349960196512,1.2745268016774884,0.4657384262030825,3.4878345371612736,0.6367332829646869
unweighted,SW4,n_ancestries_all,mesh_C12,-0.12173868355900584,0.5017790887393262,0.8853797025484144,0.3311421214946973,2.3672531121875764,0.8083043549132228
unweighted,SW4,n_ancestries_all,mesh_C19,0.7973680949931339,0.40529459662845446,2.219691217498318,1.0030098028612584,4.912244214347622,0.049139528748890375
unweighted,SW4,n_ancestries_all,mesh_C16,0.7234145770103162,0.45479073925292535,2.061460221361284,0.8453885858427458,5.02682235769552,0.11168752969743038
unweighted,SW4,n_ancestries_all,mesh_C05,0.7808137691702348,0.46450444616575526,2.1832482028771243,0.8784483065237054,5.426127729961723,0.09277052737440468
ipw_untrimmed,SW1,n_ancestries_all,Intercept,-1.7104399847293799,0.21037502543849637,0.1807862319343296,0.11969990526738418,0.27304667939381283,4.277607657471446e-16
ipw_untrimmed,SW1,n_ancestries_all,n_ancestries_all,0.11934524448564324,0.05645265644160716,1.1267588584272923,1.0087380266387496,1.2585879500099784,0.03450871862612323
ipw_untrimmed,SW2,n_ancestries_all,Intercept,-1.9434471654620862,0.24233149131012346,0.14320943131843517,0.08906327910161614,0.2302738168347705,1.059279004424635e-15
ipw_untrimmed,SW2,n_ancestries_all,n_ancestries_all,0.02461523557967023,0.07705246523941063,1.024920691632393,0.8812580226246075,1.192003246685553,0.7493771773375881
ipw_untrimmed,SW2,n_ancestries_all,log_studies,0.2943279548406347,0.16458784991757938,1.3422240203585196,0.9721372281226291,1.853200627144516,0.07373202594249943
ipw_untrimmed,SW3,n_ancestries_all,Intercept,-2.0231362430059483,0.24290399666435777,0.1322400770249851,0.08214910508987845,0.21287435757749495,8.155966697356406e-17
ipw_untrimmed,SW3,n_ancestries_all,n_ancestries_all,0.025661271875311337,0.07709435581001133,1.0259933568015356,0.8821079052337235,1.1933487524091164,0.7392434446294949
ipw_untrimmed,SW3,n_ancestries_all,log_studies,0.3602971054697051,0.17468334019834716,1.4337553278367443,1.018085649829707,2.019136936508333,0.03915323457649936
ipw_untrimmed,SW3,n_ancestries_all,earliest_year_centered,0.022797345643207532,0.02848502895222244,1.0230591911355573,0.9675073229156987,1.0818007096966833,0.42352120349882616
ipw_untrimmed,SW4,n_ancestries_all,Intercept,-1.984501377488155,0.4377051776665618,0.13744913226476993,0.05828632582683136,0.32412857891346797,5.791079811325807e-06
ipw_untrimmed,SW4,n_ancestries_all,n_ancestries_all,0.020966312142216167,0.08406469941255541,1.0211876494337588,0.8660631331314333,1.2040972250896946,0.8030460845628729
ipw_untrimmed,SW4,n_ancestries_all,log_studies,0.3849853425189965,0.17908351044415471,1.4695927807550118,1.0345723074767659,2.0875321382945002,0.031574745011768685
ipw_untrimmed,SW4,n_ancestries_all,earliest_year_centered,0.017656298031259763,0.03274261826740121,1.0178130919017483,0.9545473265087702,1.0852720040980373,0.5897177116578961
ipw_untrimmed,SW4,n_ancestries_all,mesh_C18,-0.3301567409152431,0.42087855572703997,0.7188110574986531,0.3150375150013257,1.6400882808517514,0.4327781194395891
