weight_scheme,model_id,exposure,formula,n,n_A,n_B,n_gene_clusters,effective_sample_size,status,error,converged,beta,cluster_robust_se,odds_ratio,ci_low,ci_high,p_value,warning_messages,n_parameters,bread_rank,design_full_rank,finite_sample_correction,condition_number
unweighted,SW2,has_east_asian,approval ~ has_east_asian + log_studies,790,157,633,383,790.0,ok,,True,-0.007087144781004773,0.2569637202006252,0.9929379098061333,0.600059308166022,1.6430470777021773,0.977996868283771,,3,3,True,1.0051657497156012,5.176924919589236
unweighted,SW3,has_east_asian,approval ~ has_east_asian + log_studies + earliest_year_centered,790,157,633,383,790.0,ok,,True,0.003952096057456849,0.2554723931511887,1.0039599158872599,0.6084962108770796,1.6564367940032474,0.9876574113513442,,4,4,True,1.0064445865473004,12.261734674217893
unweighted,SW4,has_east_asian,approval ~ has_east_asian + log_studies + earliest_year_centered + mesh_C18 + mesh_C20 + mesh_C23 + mesh_C04 + mesh_C17 + mesh_C06 + mesh_C15 + mesh_C08 + mesh_C10 + mesh_C14 + mesh_F03 + mesh_C12 + mesh_C19 + mesh_C16 + mesh_C05,790,157,633,383,790.0,ok,,True,0.10162298400954947,0.29027318119026063,1.1069660491439701,0.6266908032138201,1.9553084673867895,0.7262679340924101,,19,19,True,1.0260252205268197,36.50629322360666
ipw_untrimmed,SW1,has_east_asian,approval ~ has_east_asian,790,157,633,383,788.4793855532432,ok,,True,0.30720325330454523,0.22838307605541708,1.3596172866961305,0.8689937460677845,2.1272410470704974,0.17858562302097825,,2,2,True,1.0038901586626625,2.618033988749895
ipw_untrimmed,SW2,has_east_asian,approval ~ has_east_asian + log_studies,790,157,633,383,788.4793855532432,ok,,True,-0.006444074668374945,0.2581784196909643,0.9935766438530027,0.5990174922645186,1.6480229041028802,0.9800870503483305,,3,3,True,1.0051657497156012,5.176924919589236
ipw_untrimmed,SW3,has_east_asian,approval ~ has_east_asian + log_studies + earliest_year_centered,790,157,633,383,788.4793855532432,ok,,True,0.00444780879323051,0.2566170104583552,1.0044577149762517,0.6074336732730172,1.6609801951526595,0.9861713754674944,,4,4,True,1.0064445865473004,12.261734674217893
ipw_untrimmed,SW4,has_east_asian,approval ~ has_east_asian + log_studies + earliest_year_centered + mesh_C18 + mesh_C20 + mesh_C23 + mesh_C04 + mesh_C17 + mesh_C06 + mesh_C15 + mesh_C08 + mesh_C10 + mesh_C14 + mesh_F03 + mesh_C12 + mesh_C19 + mesh_C16 + mesh_C05,790,157,633,383,788.4793855532432,ok,,True,0.1005318802680293,0.2910159245216556,1.1057588930320492,0.6250967440640668,1.9560215936657428,0.7297549849615874,,19,19,True,1.0260252205268197,36.50629322360666
ipw_trimmed,SW1,has_east_asian,approval ~ has_east_asian,790,157,633,383,789.6388566004618,ok,,True,0.30547546356023736,0.2276368460120868,1.357270182127487,0.8687633144997127,2.120465167608077,0.17961477499357914,,2,2,True,1.0038901586626625,2.618033988749895
ipw_trimmed,SW2,has_east_asian,approval ~ has_east_asian + log_studies,790,157,633,383,789.6388566004618,ok,,True,-0.007283833918702801,0.2575052199819321,0.9927426289103108,0.5993049026558172,1.644468321364214,0.9774339187016443,,3,3,True,1.0051657497156012,5.176924919589236
ipw_trimmed,SW3,has_east_asian,approval ~ has_east_asian + log_studies + earliest_year_centered,790,157,633,383,789.6388566004618,ok,,True,0.0035374751439982283,0.2560124891303113,1.0035437393935598,0.6076004405810395,1.6575037962660693,0.9889755105337626,,4,4,True,1.0064445865473004,12.261734674217893
ipw_trimmed,SW4,has_east_asian,approval ~ has_east_asian + log_studies + earliest_year_centered + mesh_C18 + mesh_C20 + mesh_C23 + mesh_C04 + mesh_C17 + mesh_C06 + mesh_C15 + mesh_C08 + mesh_C10 + mesh_C14 + mesh_F03 + mesh_C12 + mesh_C19 + mesh_C16 + mesh_C05,790,157,633,383,789.6388566004618,ok,,True,0.10270945230142442,0.2906214887719003,1.1081693862319728,0.62694391079066,1.9587707408036321,0.7237787378529605,,19,19,True,1.0260252205268197,36.50629322360666
unweighted,SW1,has_south_asian,approval ~ has_south_asian,790,157,633,383,790.0,ok,,True,0.4962840718861237,0.2399662021424612,1.6426061097641813,1.026298826437407,2.629014827192902,0.03862671512592527,,2,2,True,1.0038901586626625,2.514138908184039
unweighted,SW2,has_south_asian,approval ~ has_south_asian + log_studies,790,157,633,383,790.0,ok,,True,0.23299320622996805,0.23419129465197489,1.262372903026931,0.7977074946535274,1.997706373548354,0.31979261437891426,,3,3,True,1.0051657497156012,5.7642334342329695
unweighted,SW3,has_south_asian,approval ~ has_south_asian + log_studies + earliest_year_centered,790,157,633,383,790.0,ok,,True,0.2379911271865717,0.23561507053477762,1.2686979358548887,0.799470276287167,2.0133261988395605,0.31245481480580706,,4,4,True,1.0064445865473004,13.520396021310598
unweighted,SW4,has_south_asian,approval ~ has_south_asian + log_studies + earliest_year_centered + mesh_C18 + mesh_C20 + mesh_C23 + mesh_C04 + mesh_C17 + mesh_C06 + mesh_C15 + mesh_C08 + mesh_C10 + mesh_C14 + mesh_F03 + mesh_C12 + mesh_C19 + mesh_C16 + mesh_C05,790,157,633,383,790.0,ok,,True,0.08624219463052386,0.30160172419391107,1.0900703055117957,0.603574184352953,1.9686946555416673,0.7749184957224704,,19,19,True,1.0260252205268197,36.22899071234524
ipw_untrimmed,SW1,has_south_asian,approval ~ has_south_asian,790,157,633,383,788.4793855532432,ok,,True,0.49799514527505406,0.23997562906657077,1.6454191353273602,1.0280374076517704,2.6335657737257385,0.03796888289575827,,2,2,True,1.0038901586626625,2.514138908184039
ipw_untrimmed,SW2,has_south_asian,approval ~ has_south_asian + log_studies,790,157,633,383,788.4793855532432,ok,,True,0.229903109818981,0.23402256909184643,1.2584780698541786,0.7955093344785905,1.9908843097887279,0.32590421951471615,,3,3,True,1.0051657497156012,5.7642334342329695
ipw_untrimmed,SW3,has_south_asian,approval ~ has_south_asian + log_studies + earliest_year_centered,790,157,633,383,788.4793855532432,ok,,True,0.23470808540320012,0.2354127140591496,1.264539577288486,0.7971659881779469,2.0059314700365682,0.3187611913836944,,4,4,True,1.0064445865473004,13.520396021310598
